Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 39372 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.66 MBytes  64217 Kbits/sec    0    436 KBytes       
[  4]   1.00-2.00   sec  7.08 MBytes  59429 Kbits/sec    0    728 KBytes       
[  4]   2.00-3.00   sec  5.65 MBytes  47431 Kbits/sec    0   1020 KBytes       
[  4]   3.00-4.00   sec  5.65 MBytes  47437 Kbits/sec    0   1.28 MBytes       
[  4]   4.00-5.00   sec  5.65 MBytes  47434 Kbits/sec    0   1.57 MBytes       
[  4]   5.00-6.00   sec  5.65 MBytes  47440 Kbits/sec    0   1.85 MBytes       
[  4]   6.00-7.00   sec  5.65 MBytes  47435 Kbits/sec    0   2.14 MBytes       
[  4]   7.00-8.00   sec  5.63 MBytes  47270 Kbits/sec    0   2.42 MBytes       
[  4]   8.00-9.00   sec  5.70 MBytes  47790 Kbits/sec    0   2.71 MBytes       
[  4]   9.00-10.00  sec  5.64 MBytes  47325 Kbits/sec    0   2.99 MBytes       
[  4]  10.00-11.00  sec  5.70 MBytes  47810 Kbits/sec    0   3.07 MBytes       
[  4]  11.00-12.00  sec  5.70 MBytes  47850 Kbits/sec    0   3.07 MBytes       
[  4]  12.00-13.00  sec  5.70 MBytes  47814 Kbits/sec    0   3.07 MBytes       
[  4]  13.00-14.00  sec  5.70 MBytes  47816 Kbits/sec    0   3.07 MBytes       
[  4]  14.00-15.00  sec  5.70 MBytes  47814 Kbits/sec    0   3.07 MBytes       
[  4]  15.00-16.00  sec  5.70 MBytes  47815 Kbits/sec    0   3.07 MBytes       
[  4]  16.00-17.00  sec  5.71 MBytes  47860 Kbits/sec    0   3.07 MBytes       
[  4]  17.00-18.00  sec  5.70 MBytes  47810 Kbits/sec    0   3.07 MBytes       
[  4]  18.00-19.00  sec  5.70 MBytes  47815 Kbits/sec    0   3.07 MBytes       
[  4]  19.00-20.00  sec  5.70 MBytes  47813 Kbits/sec    0   3.07 MBytes       
[  4]  20.00-21.00  sec  5.70 MBytes  47814 Kbits/sec    0   3.07 MBytes       
[  4]  21.00-22.00  sec  5.70 MBytes  47814 Kbits/sec    0   3.07 MBytes       
[  4]  22.00-23.00  sec  5.70 MBytes  47815 Kbits/sec    0   3.07 MBytes       
[  4]  23.00-24.00  sec  5.70 MBytes  47815 Kbits/sec    0   3.07 MBytes       
[  4]  24.00-25.00  sec  5.70 MBytes  47812 Kbits/sec    0   3.07 MBytes       
[  4]  25.00-26.00  sec  5.70 MBytes  47850 Kbits/sec    0   3.07 MBytes       
[  4]  26.00-27.00  sec  5.70 MBytes  47814 Kbits/sec    0   3.07 MBytes       
