Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41244 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   700 KBytes  5732 Kbits/sec    0    113 KBytes       
[  4]   1.00-2.00   sec  6.52 MBytes  54682 Kbits/sec    0   3.40 MBytes       
[  4]   2.00-3.00   sec  14.9 MBytes  125129 Kbits/sec    0   6.00 MBytes       
[  4]   3.00-4.00   sec  14.4 MBytes  120927 Kbits/sec    0   6.00 MBytes       
[  4]   4.00-5.00   sec  14.9 MBytes  125117 Kbits/sec    0   6.00 MBytes       
[  4]   5.00-6.00   sec  14.4 MBytes  120923 Kbits/sec    0   6.00 MBytes       
[  4]   6.00-7.00   sec  14.9 MBytes  125129 Kbits/sec    0   6.00 MBytes       
[  4]   7.00-8.00   sec  14.4 MBytes  120924 Kbits/sec    0   6.00 MBytes       
[  4]   8.00-9.00   sec  14.9 MBytes  125132 Kbits/sec    0   6.00 MBytes       
[  4]   9.00-10.00  sec  14.4 MBytes  120928 Kbits/sec    0   6.00 MBytes       
[  4]  10.00-11.00  sec  14.9 MBytes  124562 Kbits/sec    0   6.00 MBytes       
[  4]  11.00-12.00  sec  14.4 MBytes  120928 Kbits/sec    0   6.00 MBytes       
[  4]  12.00-13.00  sec  14.9 MBytes  124595 Kbits/sec    0   6.00 MBytes       
[  4]  13.00-14.00  sec  14.4 MBytes  120921 Kbits/sec    0   6.00 MBytes       
[  4]  14.00-15.00  sec  14.9 MBytes  124603 Kbits/sec    0   6.00 MBytes       
[  4]  15.00-16.00  sec  14.4 MBytes  120922 Kbits/sec    0   6.00 MBytes       
[  4]  16.00-17.00  sec  14.9 MBytes  124604 Kbits/sec    0   6.00 MBytes       
[  4]  17.00-18.00  sec  14.4 MBytes  120921 Kbits/sec    0   6.00 MBytes       
[  4]  18.00-19.00  sec  14.9 MBytes  124601 Kbits/sec    0   6.00 MBytes       
[  4]  19.00-20.00  sec  14.4 MBytes  120917 Kbits/sec    0   6.00 MBytes       
[  4]  20.00-21.00  sec  14.6 MBytes  122472 Kbits/sec    0   6.00 MBytes       
[  4]  21.00-22.00  sec  14.0 MBytes  117263 Kbits/sec    0   6.00 MBytes       
[  4]  22.00-23.00  sec  13.9 MBytes  116741 Kbits/sec    0   6.00 MBytes       
[  4]  23.00-24.00  sec  14.4 MBytes  120902 Kbits/sec    0   6.00 MBytes       
[  4]  24.00-25.00  sec  14.0 MBytes  117275 Kbits/sec    0   6.00 MBytes       
[  4]  25.00-26.00  sec  14.2 MBytes  119316 Kbits/sec    0   6.00 MBytes       
[  4]  26.00-27.00  sec  14.4 MBytes  120904 Kbits/sec    0   6.00 MBytes       
[  4]  27.00-28.00  sec  14.9 MBytes  125121 Kbits/sec    0   6.00 MBytes       
[  4]  28.00-29.00  sec  14.4 MBytes  120576 Kbits/sec    0   6.00 MBytes       
[  4]  29.00-30.00  sec  14.9 MBytes  125115 Kbits/sec    0   6.00 MBytes       
[  4]  30.00-31.00  sec  14.4 MBytes  120928 Kbits/sec    0   6.00 MBytes       
[  4]  31.00-32.00  sec  14.9 MBytes  125120 Kbits/sec    0   6.00 MBytes       
[  4]  32.00-33.00  sec  14.4 MBytes  120924 Kbits/sec    0   6.00 MBytes       
[  4]  33.00-34.00  sec  14.9 MBytes  124606 Kbits/sec    0   6.00 MBytes       
[  4]  34.00-35.00  sec  14.4 MBytes  120926 Kbits/sec    0   6.00 MBytes       
[  4]  35.00-36.00  sec  14.9 MBytes  124605 Kbits/sec    0   6.00 MBytes       
[  4]  36.00-37.00  sec  14.4 MBytes  120930 Kbits/sec    0   6.00 MBytes       
[  4]  37.00-38.00  sec  14.9 MBytes  124605 Kbits/sec    0   6.00 MBytes       
[  4]  38.00-39.00  sec  14.4 MBytes  120919 Kbits/sec    0   6.00 MBytes       
[  4]  39.00-40.00  sec  14.9 MBytes  124607 Kbits/sec    0   6.00 MBytes       
[  4]  40.00-41.00  sec  14.4 MBytes  120917 Kbits/sec    0   6.00 MBytes       
[  4]  41.00-42.00  sec  14.9 MBytes  124602 Kbits/sec    0   6.00 MBytes       
[  4]  42.00-43.00  sec  14.4 MBytes  120926 Kbits/sec    0   6.00 MBytes       
[  4]  43.00-44.00  sec  14.8 MBytes  124519 Kbits/sec    0   6.00 MBytes       
[  4]  44.00-45.00  sec  13.9 MBytes  116760 Kbits/sec    0   6.00 MBytes       
[  4]  45.00-46.00  sec  13.9 MBytes  116734 Kbits/sec    0   6.00 MBytes       
[  4]  46.00-47.00  sec  14.9 MBytes  124593 Kbits/sec    0   6.00 MBytes       
[  4]  47.00-48.00  sec  14.3 MBytes  119886 Kbits/sec    0   6.00 MBytes       
[  4]  48.00-49.00  sec  13.9 MBytes  116852 Kbits/sec    0   6.00 MBytes       
[  4]  49.00-50.00  sec  14.0 MBytes  117250 Kbits/sec    0   6.00 MBytes       
[  4]  50.00-51.00  sec  14.9 MBytes  125105 Kbits/sec    0   6.00 MBytes       
[  4]  51.00-52.00  sec  14.4 MBytes  120919 Kbits/sec    0   6.00 MBytes       
[  4]  52.00-53.00  sec  14.9 MBytes  125131 Kbits/sec    0   6.00 MBytes       
[  4]  53.00-54.00  sec  14.4 MBytes  120920 Kbits/sec    0   6.00 MBytes       
[  4]  54.00-55.00  sec  14.9 MBytes  125127 Kbits/sec    0   6.00 MBytes       
[  4]  55.00-56.00  sec  14.4 MBytes  120917 Kbits/sec    0   6.00 MBytes       
[  4]  56.00-57.00  sec  14.9 MBytes  124612 Kbits/sec    0   6.00 MBytes       
[  4]  57.00-58.00  sec  14.4 MBytes  120928 Kbits/sec    0   6.00 MBytes       
[  4]  58.00-59.00  sec  14.9 MBytes  124597 Kbits/sec    0   6.00 MBytes       
[  4]  59.00-60.00  sec  14.4 MBytes  120412 Kbits/sec    0   6.00 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   851 MBytes  118962 Kbits/sec    0             sender
[  4]   0.00-60.00  sec   850 MBytes  118841 Kbits/sec                  receiver

iperf Done.
