Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52326 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.31 MBytes  10946 Kbits/sec    0    210 KBytes       
[  4]   1.00-2.00   sec  6.34 MBytes  53240 Kbits/sec    0   3.88 MBytes       
[  4]   2.00-3.00   sec  14.4 MBytes  120684 Kbits/sec    0   8.78 MBytes       
[  4]   3.00-4.00   sec  14.9 MBytes  124622 Kbits/sec    0   8.78 MBytes       
[  4]   4.00-5.00   sec  14.1 MBytes  118648 Kbits/sec    0   8.78 MBytes       
[  4]   5.00-6.00   sec  14.1 MBytes  118639 Kbits/sec    0   8.78 MBytes       
[  4]   6.00-7.00   sec  14.4 MBytes  121106 Kbits/sec    0   8.78 MBytes       
[  4]   7.00-8.00   sec  14.8 MBytes  124117 Kbits/sec    0   8.78 MBytes       
[  4]   8.00-9.00   sec  14.0 MBytes  117678 Kbits/sec    0   8.78 MBytes       
[  4]   9.00-10.00  sec  14.1 MBytes  118137 Kbits/sec    0   8.78 MBytes       
[  4]  10.00-11.00  sec  14.4 MBytes  121105 Kbits/sec    0   8.78 MBytes       
[  4]  11.00-12.00  sec  14.8 MBytes  124072 Kbits/sec    0   8.78 MBytes       
[  4]  12.00-13.00  sec  9.38 MBytes  78665 Kbits/sec    0   8.81 MBytes       
[  4]  13.00-14.00  sec  14.9 MBytes  124628 Kbits/sec    0   8.81 MBytes       
[  4]  14.00-15.00  sec  14.4 MBytes  120614 Kbits/sec    0   8.81 MBytes       
[  4]  15.00-16.00  sec  14.9 MBytes  124650 Kbits/sec    0   8.81 MBytes       
[  4]  16.00-17.00  sec  14.4 MBytes  120679 Kbits/sec    0   8.81 MBytes       
[  4]  17.00-18.00  sec  14.6 MBytes  122116 Kbits/sec    0   8.81 MBytes       
[  4]  18.00-19.00  sec  14.0 MBytes  117638 Kbits/sec    0   8.81 MBytes       
[  4]  19.00-20.00  sec  14.0 MBytes  117642 Kbits/sec    0   8.81 MBytes       
[  4]  20.00-21.00  sec  14.3 MBytes  119604 Kbits/sec    0   8.81 MBytes       
