Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52342 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  89.5 MBytes  750408 Kbits/sec  906   1.14 MBytes       
[  4]   1.00-2.00   sec  88.6 MBytes  743588 Kbits/sec  1189    786 KBytes       
[  4]   2.00-3.00   sec  89.0 MBytes  746667 Kbits/sec  1056    603 KBytes       
[  4]   3.00-4.00   sec  88.0 MBytes  738089 Kbits/sec  1112   1.25 MBytes       
[  4]   4.00-5.00   sec  89.1 MBytes  747632 Kbits/sec  1132   1.25 MBytes       
[  4]   5.00-6.00   sec  89.0 MBytes  746629 Kbits/sec  1134    673 KBytes       
[  4]   6.00-7.00   sec  88.8 MBytes  744429 Kbits/sec  1115   1.23 MBytes       
[  4]   7.00-8.00   sec  88.7 MBytes  744251 Kbits/sec  1023   1.23 MBytes       
[  4]   8.00-9.00   sec  88.2 MBytes  740132 Kbits/sec  1100    559 KBytes       
[  4]   9.00-10.00  sec  89.2 MBytes  748639 Kbits/sec  1114   1.23 MBytes       
[  4]  10.00-11.00  sec  52.1 MBytes  436939 Kbits/sec  625   1.13 MBytes       
[  4]  11.00-12.00  sec  89.1 MBytes  747148 Kbits/sec  1148    533 KBytes       
[  4]  12.00-13.00  sec  88.8 MBytes  744441 Kbits/sec  1111   1.25 MBytes       
[  4]  13.00-14.00  sec  87.9 MBytes  737766 Kbits/sec  1163   1.13 MBytes       
[  4]  14.00-15.00  sec  89.8 MBytes  753109 Kbits/sec  1129    664 KBytes       
[  4]  15.00-16.00  sec  88.8 MBytes  744480 Kbits/sec  1109   1.23 MBytes       
[  4]  16.00-17.00  sec  88.4 MBytes  741255 Kbits/sec  1169    996 KBytes       
[  4]  17.00-18.00  sec  89.1 MBytes  747149 Kbits/sec  1089   1.23 MBytes       
[  4]  18.00-19.00  sec  88.5 MBytes  742073 Kbits/sec  1128   1.23 MBytes       
[  4]  19.00-20.00  sec  88.5 MBytes  742610 Kbits/sec  1166   1.25 MBytes       
[  4]  20.00-21.00  sec  71.2 MBytes  597704 Kbits/sec  866    551 KBytes       
[  4]  21.00-22.00  sec  88.8 MBytes  744483 Kbits/sec  1193    542 KBytes       
[  4]  22.00-23.00  sec  88.7 MBytes  743826 Kbits/sec  1142   1.21 MBytes       
[  4]  23.00-24.00  sec  88.9 MBytes  745679 Kbits/sec  1104    603 KBytes       
[  4]  24.00-25.00  sec  88.5 MBytes  742065 Kbits/sec  1175   1.23 MBytes       
[  4]  25.00-26.00  sec  88.9 MBytes  746166 Kbits/sec  1102    620 KBytes       
[  4]  26.00-27.00  sec  88.5 MBytes  742556 Kbits/sec  1111    533 KBytes       
[  4]  27.00-28.00  sec  88.8 MBytes  744600 Kbits/sec  1119    551 KBytes       
[  4]  28.00-29.00  sec  88.8 MBytes  744381 Kbits/sec  1170    638 KBytes       
[  4]  29.00-30.00  sec  88.4 MBytes  741881 Kbits/sec  1106    533 KBytes       
[  4]  30.00-31.00  sec  71.6 MBytes  600332 Kbits/sec  881    594 KBytes       
[  4]  31.00-32.00  sec  89.1 MBytes  747118 Kbits/sec  1170   1.25 MBytes       
[  4]  32.00-33.00  sec  88.4 MBytes  741573 Kbits/sec  1102    568 KBytes       
[  4]  33.00-34.00  sec  88.9 MBytes  746168 Kbits/sec  1125   1.25 MBytes       
[  4]  34.00-35.00  sec  88.6 MBytes  743562 Kbits/sec  1143    533 KBytes       
[  4]  35.00-36.00  sec  88.8 MBytes  744484 Kbits/sec  1134   1.19 MBytes       
[  4]  36.00-37.00  sec  88.4 MBytes  741758 Kbits/sec  1167   1.23 MBytes       
[  4]  37.00-38.00  sec  88.7 MBytes  744097 Kbits/sec  1213   1.02 MBytes       
[  4]  38.00-39.00  sec  88.8 MBytes  744480 Kbits/sec  1112    542 KBytes       
[  4]  39.00-40.00  sec  89.0 MBytes  746312 Kbits/sec  1182   1.25 MBytes       
[  4]  40.00-41.00  sec  79.8 MBytes  669367 Kbits/sec  1111   35.0 KBytes       
[  4]  41.00-42.00  sec  80.0 MBytes  670994 Kbits/sec  977    664 KBytes       
[  4]  42.00-43.00  sec  88.6 MBytes  743125 Kbits/sec  1074   1.23 MBytes       
[  4]  43.00-44.00  sec  88.5 MBytes  742115 Kbits/sec  1164   1.15 MBytes       
[  4]  44.00-45.00  sec  89.1 MBytes  747653 Kbits/sec  1090   1.23 MBytes       
[  4]  45.00-46.00  sec  87.7 MBytes  735606 Kbits/sec  1186   1.07 MBytes       
