Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52536 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  15.2 MBytes  127403 Kbits/sec   20   2.96 MBytes       
[  4]   1.00-2.00   sec  27.4 MBytes  230035 Kbits/sec  170   7.15 MBytes       
[  4]   2.00-3.00   sec  37.7 MBytes  316460 Kbits/sec    0   6.45 MBytes       
[  4]   3.00-4.00   sec  37.7 MBytes  316435 Kbits/sec    0   6.43 MBytes       
[  4]   4.00-5.00   sec  37.8 MBytes  316937 Kbits/sec    0   6.45 MBytes       
[  4]   5.00-6.00   sec  37.8 MBytes  316904 Kbits/sec    0   6.45 MBytes       
[  4]   6.00-7.00   sec  37.7 MBytes  316404 Kbits/sec    0   6.45 MBytes       
[  4]   7.00-8.00   sec  37.8 MBytes  316935 Kbits/sec    0   6.45 MBytes       
[  4]   8.00-9.00   sec  37.7 MBytes  316439 Kbits/sec    0   6.45 MBytes       
[  4]   9.00-10.00  sec  37.8 MBytes  316970 Kbits/sec    0   6.45 MBytes       
[  4]  10.00-11.00  sec  37.8 MBytes  317118 Kbits/sec    0   35.0 KBytes       
[  4]  11.00-12.00  sec  27.5 MBytes  230565 Kbits/sec    0   6.79 MBytes       
[  4]  12.00-13.00  sec  37.8 MBytes  317008 Kbits/sec    0   6.45 MBytes       
[  4]  13.00-14.00  sec  37.7 MBytes  316390 Kbits/sec    0   6.45 MBytes       
[  4]  14.00-15.00  sec  37.8 MBytes  316935 Kbits/sec    0   6.45 MBytes       
[  4]  15.00-16.00  sec  37.8 MBytes  316938 Kbits/sec    0   6.45 MBytes       
[  4]  16.00-17.00  sec  37.7 MBytes  315904 Kbits/sec    0   6.45 MBytes       
[  4]  17.00-18.00  sec  37.8 MBytes  316934 Kbits/sec    0   6.45 MBytes       
[  4]  18.00-19.00  sec  37.7 MBytes  316437 Kbits/sec    0   6.45 MBytes       
[  4]  19.00-20.00  sec  37.8 MBytes  316910 Kbits/sec    0   6.45 MBytes       
[  4]  20.00-21.00  sec  37.8 MBytes  316965 Kbits/sec    0   6.45 MBytes       
[  4]  21.00-22.00  sec  37.8 MBytes  316904 Kbits/sec    0   6.45 MBytes       
[  4]  22.00-23.00  sec  37.7 MBytes  316403 Kbits/sec    0   6.45 MBytes       
[  4]  23.00-24.00  sec  37.8 MBytes  316937 Kbits/sec    0   6.45 MBytes       
[  4]  24.00-25.00  sec  37.7 MBytes  316438 Kbits/sec    0   6.45 MBytes       
[  4]  25.00-26.00  sec  37.8 MBytes  316902 Kbits/sec    0   6.45 MBytes       
[  4]  26.00-27.00  sec  37.7 MBytes  316438 Kbits/sec    0   6.45 MBytes       
[  4]  27.00-28.00  sec  37.8 MBytes  316970 Kbits/sec    0   6.45 MBytes       
[  4]  28.00-29.00  sec  37.7 MBytes  316437 Kbits/sec    0   6.45 MBytes       
[  4]  29.00-30.00  sec  37.8 MBytes  316938 Kbits/sec    0   6.45 MBytes       
[  4]  30.00-31.00  sec  26.3 MBytes  221034 Kbits/sec    0   6.43 MBytes       
[  4]  31.00-32.00  sec  37.6 MBytes  315434 Kbits/sec    0   6.45 MBytes       
[  4]  32.00-33.00  sec  37.6 MBytes  315402 Kbits/sec    0   6.45 MBytes       
[  4]  33.00-34.00  sec  37.7 MBytes  315933 Kbits/sec    0   6.45 MBytes       
[  4]  34.00-35.00  sec  37.7 MBytes  316400 Kbits/sec    0   6.45 MBytes       
[  4]  35.00-36.00  sec  37.8 MBytes  316948 Kbits/sec    0   6.45 MBytes       
[  4]  36.00-37.00  sec  37.7 MBytes  316460 Kbits/sec    0   6.45 MBytes       
[  4]  37.00-38.00  sec  37.7 MBytes  316404 Kbits/sec    0   6.45 MBytes       
[  4]  38.00-39.00  sec  37.8 MBytes  316943 Kbits/sec    0   6.45 MBytes       
[  4]  39.00-40.00  sec  37.7 MBytes  316431 Kbits/sec    0   6.45 MBytes       
[  4]  40.00-41.00  sec  37.8 MBytes  316968 Kbits/sec    0   6.45 MBytes       
[  4]  41.00-42.00  sec  37.7 MBytes  316439 Kbits/sec    0   6.45 MBytes       
[  4]  42.00-43.00  sec  37.8 MBytes  316937 Kbits/sec    0   6.45 MBytes       
[  4]  43.00-44.00  sec  37.8 MBytes  316938 Kbits/sec    0   6.45 MBytes       
[  4]  44.00-45.00  sec  26.2 MBytes  220010 Kbits/sec    0   6.18 MBytes       
[  4]  45.00-46.00  sec  37.6 MBytes  315473 Kbits/sec    0   6.45 MBytes       
[  4]  46.00-47.00  sec  37.6 MBytes  315424 Kbits/sec    0   6.45 MBytes       
[  4]  47.00-48.00  sec  37.7 MBytes  315934 Kbits/sec    0   6.45 MBytes       
[  4]  48.00-49.00  sec  37.7 MBytes  316435 Kbits/sec    0   6.45 MBytes       
[  4]  49.00-50.00  sec  37.8 MBytes  316902 Kbits/sec    0   6.45 MBytes       
[  4]  50.00-51.00  sec  37.7 MBytes  316437 Kbits/sec    0   6.45 MBytes       
[  4]  51.00-52.00  sec  37.8 MBytes  316935 Kbits/sec    0   6.45 MBytes       
[  4]  52.00-53.00  sec  37.7 MBytes  316439 Kbits/sec    0   6.45 MBytes       
[  4]  53.00-54.00  sec  37.8 MBytes  316936 Kbits/sec    0   6.45 MBytes       
[  4]  54.00-55.00  sec  37.8 MBytes  316938 Kbits/sec    0   6.45 MBytes       
[  4]  55.00-56.00  sec  37.8 MBytes  316938 Kbits/sec    0   6.45 MBytes       
[  4]  56.00-57.00  sec  37.7 MBytes  316404 Kbits/sec    0   6.45 MBytes       
[  4]  57.00-58.00  sec  37.8 MBytes  316971 Kbits/sec    0   6.45 MBytes       
[  4]  58.00-59.00  sec  27.0 MBytes  226111 Kbits/sec    0   6.42 MBytes       
[  4]  59.00-60.00  sec  37.4 MBytes  313407 Kbits/sec    0   6.45 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  2.14 GBytes  305795 Kbits/sec  190             sender
[  4]   0.00-60.00  sec  2.13 GBytes  305645 Kbits/sec                  receiver

iperf Done.
