iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 07:12:49 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 46768 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   138 MBytes  1152670 Kbits/sec    0   1.08 MBytes       
[  4]   1.00-2.00   sec  11.2 MBytes  94375 Kbits/sec    0   1.65 MBytes       
[  4]   2.00-3.00   sec  12.5 MBytes  104861 Kbits/sec    0   2.22 MBytes       
[  4]   3.00-4.00   sec  11.2 MBytes  94374 Kbits/sec    0   2.79 MBytes       
[  4]   4.00-5.00   sec  11.2 MBytes  94369 Kbits/sec    0   3.36 MBytes       
[  4]   5.00-6.00   sec  12.5 MBytes  104855 Kbits/sec    0   3.93 MBytes       
[  4]   6.00-7.00   sec  11.2 MBytes  94378 Kbits/sec    0   4.50 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  94372 Kbits/sec    0   5.07 MBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  94368 Kbits/sec    0   5.63 MBytes       
[  4]   9.00-10.00  sec  12.5 MBytes  104864 Kbits/sec    0   6.20 MBytes       
[  4]  10.00-11.00  sec  11.2 MBytes  94371 Kbits/sec    0   6.77 MBytes       
[  4]  11.00-12.00  sec  11.2 MBytes  94372 Kbits/sec    0   7.34 MBytes       
[  4]  12.00-13.00  sec  11.2 MBytes  94371 Kbits/sec    0   7.91 MBytes       
[  4]  13.00-14.00  sec  11.2 MBytes  94371 Kbits/sec    0   8.48 MBytes       
[  4]  14.00-15.00  sec  11.2 MBytes  94366 Kbits/sec    0   9.05 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94373 Kbits/sec    0   9.62 MBytes       
[  4]  16.00-17.00  sec  11.2 MBytes  94373 Kbits/sec    0   10.2 MBytes       
[  4]  17.00-18.00  sec  5.00 MBytes  41918 Kbits/sec  261   7.88 MBytes       
[  4]  18.00-19.00  sec  18.8 MBytes  157391 Kbits/sec   96   7.29 MBytes       
[  4]  19.00-20.00  sec  11.2 MBytes  94369 Kbits/sec    0   7.60 MBytes       
[  4]  20.00-21.00  sec  11.2 MBytes  94370 Kbits/sec    0   8.01 MBytes       
[  4]  21.00-22.00  sec  11.2 MBytes  94365 Kbits/sec    0   8.40 MBytes       
[  4]  22.00-23.00  sec  11.2 MBytes  94376 Kbits/sec    0   8.75 MBytes       
[  4]  23.00-24.00  sec  11.2 MBytes  94367 Kbits/sec    0   9.06 MBytes       
[  4]  24.00-25.00  sec  11.2 MBytes  94377 Kbits/sec    0   9.33 MBytes       
[  4]  25.00-26.00  sec  11.2 MBytes  94371 Kbits/sec    0   9.56 MBytes       
[  4]  26.00-27.00  sec  11.2 MBytes  94372 Kbits/sec    0   9.75 MBytes       
