iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 10:33:42 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 47616 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   162 MBytes  1362697 Kbits/sec    0   8.53 MBytes       
[  4]   1.00-2.00   sec  57.5 MBytes  482207 Kbits/sec    0   5.94 MBytes       
[  4]   2.00-3.00   sec  57.5 MBytes  482355 Kbits/sec    0   5.90 MBytes       
[  4]   3.00-4.00   sec  57.5 MBytes  482308 Kbits/sec    0   5.99 MBytes       
[  4]   4.00-5.00   sec  56.2 MBytes  471873 Kbits/sec    0   5.90 MBytes       
[  4]   5.00-6.00   sec  57.5 MBytes  482425 Kbits/sec    0   5.99 MBytes       
[  4]   6.00-7.00   sec  56.2 MBytes  471785 Kbits/sec    0   5.95 MBytes       
[  4]   7.00-8.00   sec  56.2 MBytes  471964 Kbits/sec    0   5.97 MBytes       
[  4]   8.00-9.00   sec  57.5 MBytes  482382 Kbits/sec    0   5.94 MBytes       
[  4]   9.00-10.00  sec  56.2 MBytes  471853 Kbits/sec    0   5.98 MBytes       
[  4]  10.00-11.00  sec  40.0 MBytes  335537 Kbits/sec    0   5.95 MBytes       
[  4]  11.00-12.00  sec  57.5 MBytes  482293 Kbits/sec    0   6.00 MBytes       
[  4]  12.00-13.00  sec  56.2 MBytes  471888 Kbits/sec    0   5.98 MBytes       
[  4]  13.00-14.00  sec  57.5 MBytes  482274 Kbits/sec    0   5.92 MBytes       
[  4]  14.00-15.00  sec  56.2 MBytes  471871 Kbits/sec    0   5.99 MBytes       
[  4]  15.00-16.00  sec  57.5 MBytes  482387 Kbits/sec    0   5.93 MBytes       
[  4]  16.00-17.00  sec  56.2 MBytes  471779 Kbits/sec    0   5.92 MBytes       
[  4]  17.00-18.00  sec  57.5 MBytes  482426 Kbits/sec    0   5.99 MBytes       
[  4]  18.00-19.00  sec  56.2 MBytes  471907 Kbits/sec    0   5.94 MBytes       
[  4]  19.00-20.00  sec  57.5 MBytes  482234 Kbits/sec    0   5.93 MBytes       
[  4]  20.00-21.00  sec  50.0 MBytes  419381 Kbits/sec    0   5.66 KBytes       
[  4]  21.00-22.00  sec  48.8 MBytes  408972 Kbits/sec    0   5.95 MBytes       
[  4]  22.00-23.00  sec  57.5 MBytes  482401 Kbits/sec    0   5.95 MBytes       
[  4]  23.00-24.00  sec  56.2 MBytes  471827 Kbits/sec    0   5.99 MBytes       
