iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 18:48:04 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 43668 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089311 Kbits/sec    0    120 KBytes       
[  4]   1.00-2.00   sec  3.75 MBytes  31471 Kbits/sec    0   3.38 MBytes       
[  4]   2.00-3.00   sec  3.75 MBytes  31471 Kbits/sec  4966   4.75 MBytes       
[  4]   3.00-4.00   sec  17.5 MBytes  146738 Kbits/sec  1826   4.70 MBytes       
[  4]   4.00-5.00   sec  11.2 MBytes  94377 Kbits/sec   57   2.77 MBytes       
[  4]   5.00-6.00   sec  12.5 MBytes  104865 Kbits/sec  334   4.63 MBytes       
[  4]   6.00-7.00   sec  11.2 MBytes  94374 Kbits/sec  408   4.64 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  94357 Kbits/sec   14   4.65 MBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  94377 Kbits/sec  400   4.65 MBytes       
[  4]   9.00-10.00  sec  11.2 MBytes  94381 Kbits/sec  400   4.65 MBytes       
[  4]  10.00-11.00  sec  11.2 MBytes  94363 Kbits/sec    0   4.64 MBytes       
[  4]  11.00-12.00  sec  11.2 MBytes  94388 Kbits/sec  382   4.63 MBytes       
[  4]  12.00-13.00  sec  10.0 MBytes  83876 Kbits/sec  419   2.83 MBytes       
[  4]  13.00-14.00  sec  7.50 MBytes  62914 Kbits/sec   10   2.85 MBytes       
[  4]  14.00-15.00  sec  11.2 MBytes  94374 Kbits/sec  370   4.64 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94371 Kbits/sec  377   4.64 MBytes       
[  4]  16.00-17.00  sec  10.0 MBytes  83872 Kbits/sec   22   2.43 MBytes       
[  4]  17.00-18.00  sec  12.5 MBytes  104871 Kbits/sec   52   4.63 MBytes       
[  4]  18.00-19.00  sec  11.2 MBytes  94378 Kbits/sec  383   4.65 MBytes       
[  4]  19.00-20.00  sec  11.2 MBytes  94366 Kbits/sec    0   4.65 MBytes       
[  4]  20.00-21.00  sec  11.2 MBytes  94375 Kbits/sec  390   4.65 MBytes       
[  4]  21.00-22.00  sec  11.2 MBytes  94373 Kbits/sec  443   4.65 MBytes       
[  4]  22.00-23.00  sec  8.75 MBytes  73387 Kbits/sec   32   2.41 MBytes       
[  4]  23.00-24.00  sec  11.2 MBytes  94365 Kbits/sec   29   5.66 KBytes       
[  4]  24.00-25.00  sec  6.25 MBytes  52434 Kbits/sec    0   4.64 MBytes       
[  4]  25.00-26.00  sec  11.2 MBytes  94380 Kbits/sec  383   4.65 MBytes       
[  4]  26.00-27.00  sec  11.2 MBytes  94376 Kbits/sec    0   4.65 MBytes       
[  4]  27.00-28.00  sec  11.2 MBytes  94368 Kbits/sec  388   4.63 MBytes       
[  4]  28.00-29.00  sec  10.0 MBytes  83895 Kbits/sec  426   3.42 MBytes       
[  4]  29.00-30.00  sec  12.5 MBytes  104845 Kbits/sec   42   4.66 MBytes       
[  4]  30.00-31.00  sec  11.2 MBytes  94374 Kbits/sec  390   4.65 MBytes       
[  4]  31.00-32.00  sec  10.0 MBytes  83904 Kbits/sec  218   4.34 MBytes       
[  4]  32.00-33.00  sec  10.0 MBytes  83848 Kbits/sec   41   3.34 MBytes       
[  4]  33.00-34.00  sec  13.8 MBytes  115364 Kbits/sec  389   4.63 MBytes       
[  4]  34.00-35.00  sec  8.75 MBytes  73392 Kbits/sec  384   2.83 MBytes       
[  4]  35.00-36.00  sec  11.2 MBytes  94361 Kbits/sec   16   5.66 KBytes       
