iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 18:16:10 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 43534 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   134 MBytes  1121439 Kbits/sec  1484   1.82 MBytes       
[  4]   1.00-2.00   sec  12.5 MBytes  104848 Kbits/sec  718   1.79 MBytes       
[  4]   2.00-3.00   sec  11.2 MBytes  94372 Kbits/sec  198   1.09 MBytes       
[  4]   3.00-4.00   sec  12.5 MBytes  104860 Kbits/sec  333   1.78 MBytes       
[  4]   4.00-5.00   sec  11.2 MBytes  94363 Kbits/sec  286   1.79 MBytes       
[  4]   5.00-6.00   sec  10.0 MBytes  83887 Kbits/sec  292    990 KBytes       
[  4]   6.00-7.00   sec  12.5 MBytes  104863 Kbits/sec  137   1.79 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  94374 Kbits/sec  270   1.80 MBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  94372 Kbits/sec  254   1.80 MBytes       
[  4]   9.00-10.00  sec  11.2 MBytes  94362 Kbits/sec  155   1.04 MBytes       
[  4]  10.00-11.00  sec  12.5 MBytes  104873 Kbits/sec  129   1.78 MBytes       
[  4]  11.00-12.00  sec  7.50 MBytes  62906 Kbits/sec  135   1.77 MBytes       
[  4]  12.00-13.00  sec  11.2 MBytes  94381 Kbits/sec  239   1.79 MBytes       
[  4]  13.00-14.00  sec  10.0 MBytes  83889 Kbits/sec  250    938 KBytes       
[  4]  14.00-15.00  sec  12.5 MBytes  104843 Kbits/sec  145   1.78 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94380 Kbits/sec  291   1.80 MBytes       
[  4]  16.00-17.00  sec  10.0 MBytes  83873 Kbits/sec  280   1.23 MBytes       
[  4]  17.00-18.00  sec  12.5 MBytes  104867 Kbits/sec  157   1.78 MBytes       
[  4]  18.00-19.00  sec  11.2 MBytes  94371 Kbits/sec  295   1.80 MBytes       
[  4]  19.00-20.00  sec  11.2 MBytes  94374 Kbits/sec  277   1.79 MBytes       
[  4]  20.00-21.00  sec  11.2 MBytes  94380 Kbits/sec  130   1.78 MBytes       
[  4]  21.00-22.00  sec  7.50 MBytes  62915 Kbits/sec  260   1.80 MBytes       
[  4]  22.00-23.00  sec  11.2 MBytes  94366 Kbits/sec  146   1.77 MBytes       
[  4]  23.00-24.00  sec  11.2 MBytes  94362 Kbits/sec  253   1.80 MBytes       
[  4]  24.00-25.00  sec  11.2 MBytes  94381 Kbits/sec  271   1.78 MBytes       
[  4]  25.00-26.00  sec  10.0 MBytes  83876 Kbits/sec  298    960 KBytes       
[  4]  26.00-27.00  sec  11.2 MBytes  94370 Kbits/sec  157    962 KBytes       
[  4]  27.00-28.00  sec  12.5 MBytes  104873 Kbits/sec  148   1.78 MBytes       
[  4]  28.00-29.00  sec  11.2 MBytes  94375 Kbits/sec  270   1.81 MBytes       
[  4]  29.00-30.00  sec  11.2 MBytes  94372 Kbits/sec  130   1.78 MBytes       
[  4]  30.00-31.00  sec  11.2 MBytes  94368 Kbits/sec  289   1.79 MBytes       
[  4]  31.00-32.00  sec  11.2 MBytes  94370 Kbits/sec  318   5.66 KBytes       
[  4]  32.00-33.00  sec  7.50 MBytes  62917 Kbits/sec  161   1.10 MBytes       
[  4]  33.00-34.00  sec  11.2 MBytes  94358 Kbits/sec  265   1.80 MBytes       
