iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 23:19:06 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 44814 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   134 MBytes  1121322 Kbits/sec    0   3.26 MBytes       
[  4]   1.00-2.00   sec  68.8 MBytes  576787 Kbits/sec  22172   9.98 MBytes       
[  4]   2.00-3.00   sec  83.8 MBytes  702455 Kbits/sec  1973   17.6 MBytes       
[  4]   3.00-4.00   sec  82.5 MBytes  692068 Kbits/sec  2695   9.11 MBytes       
[  4]   4.00-5.00   sec  87.5 MBytes  734055 Kbits/sec  1103   8.73 MBytes       
[  4]   5.00-6.00   sec  86.2 MBytes  723516 Kbits/sec  1752   17.6 MBytes       
[  4]   6.00-7.00   sec  76.2 MBytes  639547 Kbits/sec  1927   11.1 MBytes       
[  4]   7.00-8.00   sec  87.5 MBytes  734104 Kbits/sec  1535   17.5 MBytes       
[  4]   8.00-9.00   sec  83.8 MBytes  702459 Kbits/sec  1812   17.6 MBytes       
[  4]   9.00-10.00  sec  78.8 MBytes  660650 Kbits/sec  2991   17.5 MBytes       
[  4]  10.00-11.00  sec  91.2 MBytes  765484 Kbits/sec  1222   17.6 MBytes       
[  4]  11.00-12.00  sec  36.2 MBytes  303958 Kbits/sec  175   17.6 MBytes       
[  4]  12.00-13.00  sec  71.2 MBytes  597867 Kbits/sec  2579   9.71 MBytes       
[  4]  13.00-14.00  sec  87.5 MBytes  734198 Kbits/sec  511   8.51 MBytes       
[  4]  14.00-15.00  sec  82.5 MBytes  691939 Kbits/sec  2090   17.6 MBytes       
[  4]  15.00-16.00  sec  82.5 MBytes  692024 Kbits/sec  2731   16.6 MBytes       
[  4]  16.00-17.00  sec  82.5 MBytes  692184 Kbits/sec  2217   17.6 MBytes       
[  4]  17.00-18.00  sec  88.8 MBytes  744421 Kbits/sec  2144   17.6 MBytes       
[  4]  18.00-19.00  sec  72.5 MBytes  608079 Kbits/sec  3140   17.6 MBytes       
[  4]  19.00-20.00  sec  96.2 MBytes  807652 Kbits/sec  914   8.54 MBytes       
[  4]  20.00-21.00  sec  77.5 MBytes  650018 Kbits/sec  1672   17.6 MBytes       
[  4]  21.00-22.00  sec  82.5 MBytes  692323 Kbits/sec  2292   5.66 KBytes       
[  4]  22.00-23.00  sec  52.5 MBytes  440277 Kbits/sec  1197   9.42 MBytes       
[  4]  23.00-24.00  sec  82.5 MBytes  692071 Kbits/sec  2503   8.77 MBytes       
[  4]  24.00-25.00  sec  81.2 MBytes  681491 Kbits/sec  701   8.56 MBytes       
[  4]  25.00-26.00  sec  85.0 MBytes  712992 Kbits/sec  3058   17.5 MBytes       
[  4]  26.00-27.00  sec  82.5 MBytes  692077 Kbits/sec  1249   15.5 MBytes       
[  4]  27.00-28.00  sec  91.2 MBytes  765563 Kbits/sec  2372   17.6 MBytes       
[  4]  28.00-29.00  sec  76.2 MBytes  639565 Kbits/sec  2170   17.7 MBytes       
[  4]  29.00-30.00  sec  82.5 MBytes  691994 Kbits/sec  2224   17.6 MBytes       
[  4]  30.00-31.00  sec  85.0 MBytes  713115 Kbits/sec  2087   8.53 MBytes       
[  4]  31.00-32.00  sec  82.5 MBytes  692062 Kbits/sec  3199   9.66 MBytes       
[  4]  32.00-33.00  sec  56.2 MBytes  471913 Kbits/sec  1296   16.3 MBytes       
[  4]  33.00-34.00  sec  83.8 MBytes  702451 Kbits/sec  2201   17.6 MBytes       
[  4]  34.00-35.00  sec  86.2 MBytes  723507 Kbits/sec  1521   17.6 MBytes       
[  4]  35.00-36.00  sec  72.5 MBytes  608298 Kbits/sec  3858   17.5 MBytes       
[  4]  36.00-37.00  sec  88.8 MBytes  744289 Kbits/sec  1759   17.6 MBytes       
[  4]  37.00-38.00  sec  92.5 MBytes  775976 Kbits/sec  318   17.6 MBytes       
[  4]  38.00-39.00  sec  76.2 MBytes  639647 Kbits/sec  2192   17.6 MBytes       
[  4]  39.00-40.00  sec  82.5 MBytes  692110 Kbits/sec  1875   15.8 MBytes       
[  4]  40.00-41.00  sec  91.2 MBytes  765406 Kbits/sec  678   17.6 MBytes       
[  4]  41.00-42.00  sec  77.5 MBytes  650219 Kbits/sec  2526   17.6 MBytes       
