Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 60844 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  14.1 MBytes  117882 Kbits/sec    0    284 KBytes       
[  5]   1.00-2.00   sec  11.2 MBytes  93829 Kbits/sec    0    260 KBytes       
[  5]   2.00-3.00   sec  11.2 MBytes  93949 Kbits/sec    0    263 KBytes       
[  5]   3.00-4.00   sec  11.2 MBytes  94230 Kbits/sec    0    262 KBytes       
[  5]   4.00-5.00   sec  12.5 MBytes  104683 Kbits/sec    0    262 KBytes       
[  5]   5.00-6.00   sec  9.95 MBytes  83505 Kbits/sec    0    262 KBytes       
[  5]   6.00-7.00   sec  11.2 MBytes  93829 Kbits/sec    0    264 KBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  93832 Kbits/sec    0    263 KBytes       
[  5]   8.00-9.00   sec  11.2 MBytes  93828 Kbits/sec    0    263 KBytes       
[  5]   9.00-10.00  sec  11.2 MBytes  94255 Kbits/sec    0    259 KBytes       
[  5]  10.00-11.00  sec  9.98 MBytes  83740 Kbits/sec    0    260 KBytes       
[  5]  11.00-12.00  sec  12.5 MBytes  104664 Kbits/sec    0    260 KBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94234 Kbits/sec    0    263 KBytes       
[  5]  13.00-14.00  sec  11.2 MBytes  93827 Kbits/sec    0    260 KBytes       
[  5]  14.00-15.00  sec  11.2 MBytes  93830 Kbits/sec    0    262 KBytes       
[  5]  15.00-16.00  sec  9.94 MBytes  83404 Kbits/sec    0    260 KBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  93828 Kbits/sec    0    263 KBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  93829 Kbits/sec    0    263 KBytes       
[  5]  18.00-19.00  sec  12.4 MBytes  104443 Kbits/sec    0    262 KBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94171 Kbits/sec    0    262 KBytes       
[  5]  20.00-21.00  sec  9.94 MBytes  83405 Kbits/sec    0    262 KBytes       
[  5]  21.00-22.00  sec  11.2 MBytes  93829 Kbits/sec    0    263 KBytes       
[  5]  22.00-23.00  sec  11.2 MBytes  94189 Kbits/sec    0    260 KBytes       
[  5]  23.00-24.00  sec  11.2 MBytes  93990 Kbits/sec    0    257 KBytes       
[  5]  24.00-25.00  sec  12.4 MBytes  104265 Kbits/sec    0    260 KBytes       
[  5]  25.00-26.00  sec  9.94 MBytes  83395 Kbits/sec    0   62.2 KBytes       
[  5]  26.00-27.00  sec  11.2 MBytes  93838 Kbits/sec    0    262 KBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94352 Kbits/sec    0    260 KBytes       
[  5]  28.00-29.00  sec  11.2 MBytes  94071 Kbits/sec    0    262 KBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94110 Kbits/sec    0    260 KBytes       
[  5]  30.00-31.00  sec  11.2 MBytes  94350 Kbits/sec    0    260 KBytes       
[  5]  31.00-32.00  sec  9.98 MBytes  83705 Kbits/sec    0    262 KBytes       
[  5]  32.00-33.00  sec  12.5 MBytes  104483 Kbits/sec    0    263 KBytes       
[  5]  33.00-34.00  sec  11.2 MBytes  94252 Kbits/sec    0    267 KBytes       
[  5]  34.00-35.00  sec  11.2 MBytes  93932 Kbits/sec    0    263 KBytes       
[  5]  35.00-36.00  sec  11.2 MBytes  94250 Kbits/sec    0    263 KBytes       
[  5]  36.00-37.00  sec  9.96 MBytes  83562 Kbits/sec    0    263 KBytes       
[  5]  37.00-38.00  sec  11.2 MBytes  94291 Kbits/sec    0    263 KBytes       
[  5]  38.00-39.00  sec  12.4 MBytes  104264 Kbits/sec    0    263 KBytes       
[  5]  39.00-40.00  sec  11.2 MBytes  94247 Kbits/sec    0    260 KBytes       
[  5]  40.00-41.00  sec  11.2 MBytes  94112 Kbits/sec    0    266 KBytes       
[  5]  41.00-42.00  sec  9.98 MBytes  83744 Kbits/sec    0    266 KBytes       
[  5]  42.00-43.00  sec  11.2 MBytes  94350 Kbits/sec    0    266 KBytes       
[  5]  43.00-44.00  sec  11.2 MBytes  94350 Kbits/sec    0    266 KBytes       
[  5]  44.00-45.00  sec  11.2 MBytes  94350 Kbits/sec    0    260 KBytes       
[  5]  45.00-46.00  sec  12.4 MBytes  104382 Kbits/sec    0    260 KBytes       
[  5]  46.00-47.00  sec  9.99 MBytes  83803 Kbits/sec    0   62.2 KBytes       
[  5]  47.00-48.00  sec  11.2 MBytes  93834 Kbits/sec    0    260 KBytes       
[  5]  48.00-49.00  sec  11.2 MBytes  94352 Kbits/sec    0    260 KBytes       
[  5]  49.00-50.00  sec  11.2 MBytes  94190 Kbits/sec    0    264 KBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  93990 Kbits/sec    0    266 KBytes       
[  5]  51.00-52.00  sec  11.2 MBytes  93830 Kbits/sec    0    264 KBytes       
[  5]  52.00-53.00  sec  11.2 MBytes  94135 Kbits/sec    0    264 KBytes       
[  5]  53.00-54.00  sec  11.2 MBytes  94050 Kbits/sec    0    262 KBytes       
[  5]  54.00-55.00  sec  11.2 MBytes  93892 Kbits/sec    0    264 KBytes       
[  5]  55.00-56.00  sec  11.2 MBytes  94289 Kbits/sec    0    264 KBytes       
[  5]  56.00-57.00  sec  11.2 MBytes  93828 Kbits/sec    0    264 KBytes       
[  5]  57.00-58.00  sec  11.2 MBytes  93835 Kbits/sec    0    264 KBytes       
[  5]  58.00-59.00  sec  11.2 MBytes  93830 Kbits/sec    0    263 KBytes       
[  5]  59.00-60.00  sec  11.2 MBytes  93829 Kbits/sec    0    262 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   673 MBytes  94092 Kbits/sec    0             sender
[  5]   0.00-60.00  sec   670 MBytes  93673 Kbits/sec                  receiver

iperf Done.
