Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 33386 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  33.4 MBytes  279894 Kbits/sec    0   8.25 MBytes       
[  5]   1.00-2.00   sec  52.5 MBytes  440396 Kbits/sec    0   8.31 MBytes       
[  5]   2.00-3.00   sec  53.8 MBytes  450885 Kbits/sec    0   8.41 MBytes       
[  5]   3.00-4.00   sec  53.8 MBytes  450889 Kbits/sec    0   8.41 MBytes       
[  5]   4.00-5.00   sec  53.8 MBytes  450895 Kbits/sec    0   8.45 MBytes       
[  5]   5.00-6.00   sec  53.8 MBytes  450887 Kbits/sec    0   8.46 MBytes       
[  5]   6.00-7.00   sec  53.8 MBytes  450888 Kbits/sec    0   8.46 MBytes       
[  5]   7.00-8.00   sec  52.5 MBytes  440399 Kbits/sec    0   8.46 MBytes       
[  5]   8.00-9.00   sec  53.8 MBytes  450890 Kbits/sec    0   8.46 MBytes       
[  5]   9.00-10.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.46 MBytes       
[  5]  10.00-11.00  sec  53.8 MBytes  450883 Kbits/sec    0   8.51 MBytes       
[  5]  11.00-12.00  sec  47.5 MBytes  398463 Kbits/sec    0   8.54 MBytes       
[  5]  12.00-13.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  13.00-14.00  sec  52.5 MBytes  440402 Kbits/sec    0   8.60 MBytes       
[  5]  14.00-15.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  15.00-16.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  16.00-17.00  sec  53.8 MBytes  450884 Kbits/sec    0   8.60 MBytes       
[  5]  17.00-18.00  sec  53.8 MBytes  450892 Kbits/sec    0   8.60 MBytes       
[  5]  18.00-19.00  sec  53.8 MBytes  450887 Kbits/sec    0   8.60 MBytes       
[  5]  19.00-20.00  sec  52.5 MBytes  440399 Kbits/sec    0   8.60 MBytes       
[  5]  20.00-21.00  sec  47.5 MBytes  398462 Kbits/sec    0   8.60 MBytes       
[  5]  21.00-22.00  sec  53.8 MBytes  450887 Kbits/sec    0   8.60 MBytes       
[  5]  22.00-23.00  sec  53.8 MBytes  450883 Kbits/sec    0   8.60 MBytes       
[  5]  23.00-24.00  sec  53.8 MBytes  450893 Kbits/sec    0   8.60 MBytes       
[  5]  24.00-25.00  sec  53.8 MBytes  450885 Kbits/sec    0   8.60 MBytes       
[  5]  25.00-26.00  sec  53.8 MBytes  450868 Kbits/sec    0   8.60 MBytes       
[  5]  26.00-27.00  sec  52.5 MBytes  440423 Kbits/sec    0   8.60 MBytes       
[  5]  27.00-28.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  28.00-29.00  sec  53.8 MBytes  450885 Kbits/sec    0   8.60 MBytes       
[  5]  29.00-30.00  sec  53.8 MBytes  450898 Kbits/sec    0   8.60 MBytes       
[  5]  30.00-31.00  sec  53.8 MBytes  450880 Kbits/sec    0   8.60 MBytes       
[  5]  31.00-32.00  sec  52.5 MBytes  440402 Kbits/sec    0   8.60 MBytes       
[  5]  32.00-33.00  sec  47.5 MBytes  398458 Kbits/sec    0   8.60 MBytes       
[  5]  33.00-34.00  sec  53.8 MBytes  450889 Kbits/sec    0   8.60 MBytes       
[  5]  34.00-35.00  sec  53.8 MBytes  450887 Kbits/sec    0   8.60 MBytes       
[  5]  35.00-36.00  sec  53.8 MBytes  450903 Kbits/sec    0   8.60 MBytes       
[  5]  36.00-37.00  sec  53.8 MBytes  450885 Kbits/sec    0   8.60 MBytes       
[  5]  37.00-38.00  sec  47.5 MBytes  398449 Kbits/sec    0   8.60 MBytes       
[  5]  38.00-39.00  sec  52.5 MBytes  440394 Kbits/sec    0   8.60 MBytes       
[  5]  39.00-40.00  sec  53.8 MBytes  450895 Kbits/sec    0   8.60 MBytes       
[  5]  40.00-41.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  41.00-42.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  42.00-43.00  sec  53.8 MBytes  450884 Kbits/sec    0   8.60 MBytes       
[  5]  43.00-44.00  sec  53.8 MBytes  450872 Kbits/sec    0   8.60 MBytes       
[  5]  44.00-45.00  sec  46.2 MBytes  387989 Kbits/sec    0   8.60 MBytes       
[  5]  45.00-46.00  sec  53.8 MBytes  450883 Kbits/sec    0   8.60 MBytes       
[  5]  46.00-47.00  sec  53.8 MBytes  450893 Kbits/sec    0   8.60 MBytes       
[  5]  47.00-48.00  sec  53.8 MBytes  450904 Kbits/sec    0   8.60 MBytes       
[  5]  48.00-49.00  sec  53.8 MBytes  450871 Kbits/sec    0   8.60 MBytes       
[  5]  49.00-50.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  50.00-51.00  sec  46.2 MBytes  387973 Kbits/sec    0   8.60 MBytes       
[  5]  51.00-52.00  sec  53.8 MBytes  450887 Kbits/sec    0   8.60 MBytes       
[  5]  52.00-53.00  sec  53.8 MBytes  450883 Kbits/sec    0   8.60 MBytes       
[  5]  53.00-54.00  sec  53.8 MBytes  450893 Kbits/sec    0   8.60 MBytes       
[  5]  54.00-55.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
[  5]  55.00-56.00  sec  52.5 MBytes  440402 Kbits/sec    0   8.60 MBytes       
[  5]  56.00-57.00  sec  53.8 MBytes  450911 Kbits/sec    0   8.60 MBytes       
[  5]  57.00-58.00  sec  53.8 MBytes  450860 Kbits/sec    0   8.60 MBytes       
[  5]  58.00-59.00  sec  53.8 MBytes  450888 Kbits/sec    0   8.60 MBytes       
