Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 50498 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  90.5 MBytes  758846 Kbits/sec  1034   1.01 MBytes       
[  5]   1.00-2.00   sec  98.8 MBytes  828378 Kbits/sec  110   1.03 MBytes       
[  5]   2.00-3.00   sec  98.8 MBytes  828366 Kbits/sec   74   1.02 MBytes       
[  5]   3.00-4.00   sec  97.5 MBytes  817899 Kbits/sec  146   1.03 MBytes       
[  5]   4.00-5.00   sec   100 MBytes  838904 Kbits/sec   57   1.09 MBytes       
[  5]   5.00-6.00   sec   101 MBytes  849333 Kbits/sec   64   1.07 MBytes       
[  5]   6.00-7.00   sec   102 MBytes  859803 Kbits/sec   52   1.07 MBytes       
[  5]   7.00-8.00   sec   101 MBytes  849347 Kbits/sec   59   1.07 MBytes       
[  5]   8.00-9.00   sec   101 MBytes  849347 Kbits/sec   65   1.02 MBytes       
[  5]   9.00-10.00  sec  97.5 MBytes  817888 Kbits/sec  102   1.03 MBytes       
[  5]  10.00-11.00  sec  97.5 MBytes  817888 Kbits/sec   52   1.02 MBytes       
[  5]  11.00-12.00  sec   102 MBytes  859835 Kbits/sec  103   1.06 MBytes       
[  5]  12.00-13.00  sec   101 MBytes  849339 Kbits/sec   90   1.07 MBytes       
[  5]  13.00-14.00  sec   101 MBytes  849389 Kbits/sec   96   1.07 MBytes       
[  5]  14.00-15.00  sec   101 MBytes  849313 Kbits/sec   38   1.04 MBytes       
[  5]  15.00-16.00  sec   101 MBytes  849381 Kbits/sec   77   1.09 MBytes       
[  5]  16.00-17.00  sec   100 MBytes  838826 Kbits/sec  158   1.03 MBytes       
[  5]  17.00-18.00  sec  96.2 MBytes  807403 Kbits/sec   16   1.03 MBytes       
[  5]  18.00-19.00  sec   100 MBytes  838889 Kbits/sec  122   1.06 MBytes       
[  5]  19.00-20.00  sec   102 MBytes  859806 Kbits/sec   70   1.06 MBytes       
[  5]  20.00-21.00  sec   100 MBytes  838857 Kbits/sec   39   1.06 MBytes       
