Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 49236 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.27 MBytes  60960 Kbits/sec  408    645 KBytes       
[  5]   1.00-2.00   sec  8.75 MBytes  73394 Kbits/sec    0    700 KBytes       
[  5]   2.00-3.00   sec  10.0 MBytes  83891 Kbits/sec    0    738 KBytes       
[  5]   3.00-4.00   sec  8.75 MBytes  73394 Kbits/sec    0    761 KBytes       
[  5]   4.00-5.00   sec  10.0 MBytes  83889 Kbits/sec    0    773 KBytes       
[  5]   5.00-6.00   sec  10.0 MBytes  83887 Kbits/sec    0    778 KBytes       
[  5]   6.00-7.00   sec  10.0 MBytes  83886 Kbits/sec    0    778 KBytes       
[  5]   7.00-8.00   sec  10.0 MBytes  83885 Kbits/sec    0    778 KBytes       
[  5]   8.00-9.00   sec  10.0 MBytes  83887 Kbits/sec    0    781 KBytes       
[  5]   9.00-10.00  sec  10.0 MBytes  83886 Kbits/sec    0    792 KBytes       
[  5]  10.00-11.00  sec  11.2 MBytes  94377 Kbits/sec    0    810 KBytes       
[  5]  11.00-12.00  sec  10.0 MBytes  83883 Kbits/sec    0    841 KBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94373 Kbits/sec    0    891 KBytes       
[  5]  13.00-14.00  sec  11.2 MBytes  94371 Kbits/sec    0    957 KBytes       
[  5]  14.00-15.00  sec  10.0 MBytes  83886 Kbits/sec    6    751 KBytes       
[  5]  15.00-16.00  sec  10.0 MBytes  83883 Kbits/sec    0    831 KBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94376 Kbits/sec    0    891 KBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  94371 Kbits/sec    0    930 KBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94371 Kbits/sec    0    956 KBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94373 Kbits/sec    6    689 KBytes       
[  5]  20.00-21.00  sec  8.75 MBytes  73398 Kbits/sec    0    744 KBytes       
[  5]  21.00-22.00  sec  10.0 MBytes  83887 Kbits/sec    0    782 KBytes       
[  5]  22.00-23.00  sec  10.0 MBytes  83889 Kbits/sec    0    806 KBytes       
[  5]  23.00-24.00  sec  11.2 MBytes  94372 Kbits/sec    0    819 KBytes       
[  5]  24.00-25.00  sec  10.0 MBytes  83883 Kbits/sec    0    823 KBytes       
[  5]  25.00-26.00  sec  11.2 MBytes  94375 Kbits/sec    0    823 KBytes       
[  5]  26.00-27.00  sec  10.0 MBytes  83885 Kbits/sec    0    823 KBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94374 Kbits/sec    0    826 KBytes       
[  5]  28.00-29.00  sec  10.0 MBytes  83883 Kbits/sec    0    836 KBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94375 Kbits/sec    0    854 KBytes       
[  5]  30.00-31.00  sec  11.2 MBytes  94372 Kbits/sec    0    885 KBytes       
[  5]  31.00-32.00  sec  11.2 MBytes  94372 Kbits/sec    0    932 KBytes       
[  5]  32.00-33.00  sec  10.0 MBytes  83880 Kbits/sec    6    703 KBytes       
[  5]  33.00-34.00  sec  10.0 MBytes  83890 Kbits/sec    0    793 KBytes       
[  5]  34.00-35.00  sec  10.0 MBytes  83882 Kbits/sec    0    863 KBytes       
[  5]  35.00-36.00  sec  12.5 MBytes  104866 Kbits/sec    0    911 KBytes       
[  5]  36.00-37.00  sec  11.2 MBytes  94371 Kbits/sec    0    943 KBytes       
[  5]  37.00-38.00  sec  11.2 MBytes  94373 Kbits/sec    0    962 KBytes       
[  5]  38.00-39.00  sec  10.0 MBytes  83883 Kbits/sec    6    701 KBytes       
[  5]  39.00-40.00  sec  10.0 MBytes  83890 Kbits/sec    0    752 KBytes       
[  5]  40.00-41.00  sec  8.75 MBytes  73403 Kbits/sec    0    788 KBytes       
[  5]  41.00-42.00  sec  11.2 MBytes  94368 Kbits/sec    0    807 KBytes       
[  5]  42.00-43.00  sec  10.0 MBytes  83882 Kbits/sec    0    819 KBytes       
[  5]  43.00-44.00  sec  11.2 MBytes  94375 Kbits/sec    0    822 KBytes       
[  5]  44.00-45.00  sec  10.0 MBytes  83886 Kbits/sec    0    822 KBytes       
[  5]  45.00-46.00  sec  10.0 MBytes  83882 Kbits/sec    0    822 KBytes       
[  5]  46.00-47.00  sec  11.2 MBytes  94377 Kbits/sec    0    826 KBytes       
[  5]  47.00-48.00  sec  10.0 MBytes  83881 Kbits/sec    0    837 KBytes       
[  5]  48.00-49.00  sec  11.2 MBytes  94375 Kbits/sec    0    858 KBytes       
[  5]  49.00-50.00  sec  11.2 MBytes  94372 Kbits/sec    0    892 KBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  94372 Kbits/sec    0    945 KBytes       
[  5]  51.00-52.00  sec  10.0 MBytes  83888 Kbits/sec    5    730 KBytes       
[  5]  52.00-53.00  sec  10.0 MBytes  83882 Kbits/sec    0    813 KBytes       
[  5]  53.00-54.00  sec  11.2 MBytes  94376 Kbits/sec    0    875 KBytes       
[  5]  54.00-55.00  sec  11.2 MBytes  94371 Kbits/sec    0    919 KBytes       
[  5]  55.00-56.00  sec  11.2 MBytes  94371 Kbits/sec    0    947 KBytes       
[  5]  56.00-57.00  sec  11.2 MBytes  94371 Kbits/sec    0    963 KBytes       
[  5]  57.00-58.00  sec  10.0 MBytes  83883 Kbits/sec    3    708 KBytes       
[  5]  58.00-59.00  sec  10.0 MBytes  83892 Kbits/sec    0    758 KBytes       
[  5]  59.00-60.00  sec  10.0 MBytes  83886 Kbits/sec    0    790 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   626 MBytes  87523 Kbits/sec  440             sender
[  5]   0.00-60.00  sec   624 MBytes  87176 Kbits/sec                  receiver

iperf Done.
