Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 48346 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   549 KBytes  4494 Kbits/sec    0    113 KBytes       
[  5]   1.00-2.00   sec  3.49 MBytes  29250 Kbits/sec  222    437 KBytes       
[  5]   2.00-3.00   sec  1.24 MBytes  10422 Kbits/sec   86    328 KBytes       
[  5]   3.00-4.00   sec  1.25 MBytes  10488 Kbits/sec    7    245 KBytes       
[  5]   4.00-5.00   sec  1.24 MBytes  10366 Kbits/sec    0    269 KBytes       
[  5]   5.00-6.00   sec  1.24 MBytes  10426 Kbits/sec    0    281 KBytes       
[  5]   6.00-7.00   sec  1.24 MBytes  10427 Kbits/sec    0    287 KBytes       
[  5]   7.00-8.00   sec  1.24 MBytes  10426 Kbits/sec    0    287 KBytes       
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 Kbits/sec    0    287 KBytes       
[  5]   9.00-10.00  sec  1.24 MBytes  10423 Kbits/sec    0    290 KBytes       
[  5]  10.00-11.00  sec  1.24 MBytes  10432 Kbits/sec    0    298 KBytes       
[  5]  11.00-12.00  sec  1.24 MBytes  10421 Kbits/sec    0    317 KBytes       
[  5]  12.00-13.00  sec  1.24 MBytes  10427 Kbits/sec    8    232 KBytes       
[  5]  13.00-14.00  sec  1.24 MBytes  10426 Kbits/sec    0    272 KBytes       
[  5]  14.00-15.00  sec  1.24 MBytes  10427 Kbits/sec    0    304 KBytes       
[  5]  15.00-16.00  sec  1.24 MBytes  10427 Kbits/sec    0    324 KBytes       
[  5]  16.00-17.00  sec  1.25 MBytes  10489 Kbits/sec    2    235 KBytes       
[  5]  17.00-18.00  sec  1.24 MBytes  10364 Kbits/sec    0    259 KBytes       
[  5]  18.00-19.00  sec  1.24 MBytes  10427 Kbits/sec    0    274 KBytes       
[  5]  19.00-20.00  sec  1.24 MBytes  10426 Kbits/sec    0    280 KBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 Kbits/sec    0    280 KBytes       
[  5]  21.00-22.00  sec  1.24 MBytes  10421 Kbits/sec    0    280 KBytes       
[  5]  22.00-23.00  sec  1.24 MBytes  10422 Kbits/sec    0    283 KBytes       
[  5]  23.00-24.00  sec  1.24 MBytes  10432 Kbits/sec    0    291 KBytes       
[  5]  24.00-25.00  sec  1.24 MBytes  10422 Kbits/sec    0    307 KBytes       
[  5]  25.00-26.00  sec  1.24 MBytes  10425 Kbits/sec    0    335 KBytes       
[  5]  26.00-27.00  sec  1.24 MBytes  10427 Kbits/sec    8    260 KBytes       
[  5]  27.00-28.00  sec  1.24 MBytes  10426 Kbits/sec    0    297 KBytes       
[  5]  28.00-29.00  sec  1.24 MBytes  10430 Kbits/sec    0    320 KBytes       
[  5]  29.00-30.00  sec  1.24 MBytes  10423 Kbits/sec    2    257 KBytes       
[  5]  30.00-31.00  sec  1.24 MBytes  10426 Kbits/sec    2    252 KBytes       
[  5]  31.00-32.00  sec  1.24 MBytes  10427 Kbits/sec    0    269 KBytes       
