BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,59,100,10,5
0,60,100,10,5
0,48,100,10,5
0,54,100,10,5
0,60,100,10,5
0,48,100,10,10
0,48,100,10,10
0,48,100,10,10
0,48,100,10,10
0,48,100,10,10
0,55,100,10,25
0,61,100,10,25
0,61,100,10,25
0,61,100,10,25
0,61,100,10,25
40,132,100,10,50
53,131,100,10,50
44,134,100,10,50
77,121,100,10,50
51,121,100,10,50
126,89,100,10,75
126,89,100,10,75
134,94,100,10,75
126,89,100,10,75
130,89,100,10,75
202,230,100,10,100
202,232,100,10,100
202,237,100,10,100
202,237,100,10,100
202,237,100,10,100
372,174,100,10,150
371,180,100,10,150
375,170,100,10,150
370,169,100,10,150
371,176,100,10,150
516,361,100,10,200
514,361,100,10,200
516,361,100,10,200
516,360,100,10,200
517,369,100,10,200
0,89,100,20,5
0,89,100,20,5
0,90,100,20,5
0,90,100,20,5
0,90,100,20,5
0,135,100,20,10
0,59,100,20,10
0,134,100,20,10
0,141,100,20,10
0,139,100,20,10
70,172,100,20,25
75,170,100,20,25
80,175,100,20,25
75,170,100,20,25
75,171,100,20,25
213,241,100,20,50
204,232,100,20,50
212,240,100,20,50
211,238,100,20,50
211,232,100,20,50
379,175,100,20,75
379,140,100,20,75
380,174,100,20,75
379,173,100,20,75
380,173,100,20,75
515,333,100,20,100
517,334,100,20,100
517,341,100,20,100
515,333,100,20,100
516,333,100,20,100
738,250,100,20,150
739,263,100,20,150
741,250,100,20,150
737,247,100,20,150
739,263,100,20,150
1232,285,100,20,200
1239,284,100,20,200
1240,278,100,20,200
1248,286,100,20,200
1238,283,100,20,200
20,352,100,50,5
42,395,100,50,5
30,382,100,50,5
31,397,100,50,5
28,379,100,50,5
153,317,100,50,10
165,330,100,50,10
174,304,100,50,10
176,309,100,50,10
159,310,100,50,10
331,246,100,50,25
322,243,100,50,25
329,227,100,50,25
317,237,100,50,25
318,213,100,50,25
629,287,100,50,50
625,283,100,50,50
633,293,100,50,50
635,282,100,50,50
632,283,100,50,50
1287,255,100,50,75
1192,267,100,50,75
1164,245,100,50,75
1253,258,100,50,75
1209,254,100,50,75
1581,486,100,50,100
1528,468,100,50,100
1527,484,100,50,100
1564,492,100,50,100
1557,475,100,50,100
2336,457,100,50,150
2353,509,100,50,150
2324,516,100,50,150
2331,507,100,50,150
2377,449,100,50,150
3069,665,100,50,200
3022,582,100,50,200
3077,580,100,50,200
3028,586,100,50,200
3074,673,100,50,200
185,836,100,100,5
233,801,100,100,5
225,957,100,100,5
195,618,100,100,5
237,965,100,100,5
647,587,100,100,10
617,697,100,100,10
469,587,100,100,10
616,697,100,100,10
464,639,100,100,10
684,336,100,100,25
673,350,100,100,25
686,297,100,100,25
679,302,100,100,25
675,317,100,100,25
1494,487,100,100,50
1437,486,100,100,50
1528,487,100,100,50
1477,503,100,100,50
1473,498,100,100,50
2193,487,100,100,75
2299,452,100,100,75
2381,480,100,100,75
2316,458,100,100,75
2325,488,100,100,75
2965,572,100,100,100
2970,601,100,100,100
3013,562,100,100,100
3110,529,100,100,100
3036,582,100,100,100
4518,875,100,100,150
4552,881,100,100,150
4360,880,100,100,150
4433,884,100,100,150
4485,857,100,100,150
5108,1117,100,100,200
5423,1108,100,100,200
5309,1126,100,100,200
5466,1114,100,100,200
5270,1134,100,100,200
685,1260,100,250,5
541,1363,100,250,5
532,1347,100,250,5
981,1328,100,250,5
530,1538,100,250,5
654,622,100,250,10
673,631,100,250,10
679,640,100,250,10
706,616,100,250,10
660,670,100,250,10
2290,542,100,250,25
2326,537,100,250,25
2305,601,100,250,25
2246,617,100,250,25
2207,615,100,250,25
3867,795,100,250,50
3698,830,100,250,50
3798,824,100,250,50
3759,801,100,250,50
3687,802,100,250,50
5203,1010,100,250,75
5209,874,100,250,75
5193,981,100,250,75
5322,991,100,250,75
5305,989,100,250,75
7252,1408,100,250,100
7145,1403,100,250,100
6967,1416,100,250,100
7151,1391,100,250,100
6827,1398,100,250,100
9556,1503,100,250,150
9637,1834,100,250,150
9683,1836,100,250,150
9498,1819,100,250,150
10072,1558,100,250,150
12405,2311,100,250,200
12883,2292,100,250,200
12986,2001,100,250,200
12679,2277,100,250,200
12745,2271,100,250,200
816,1866,100,500,5
1290,1653,100,500,5
815,1498,100,500,5
659,1735,100,500,5
696,1807,100,500,5
5200,945,100,500,10
4598,867,100,500,10
5071,843,100,500,10
4135,906,100,500,10
