Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 60010 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  34.2 MBytes  286682 Kbits/sec    0   8.78 MBytes       
[  5]   1.00-2.00   sec  57.5 MBytes  482339 Kbits/sec    0   8.84 MBytes       
[  5]   2.00-3.00   sec  56.2 MBytes  471835 Kbits/sec    0   8.84 MBytes       
[  5]   3.00-4.00   sec  57.5 MBytes  482374 Kbits/sec    0   8.84 MBytes       
[  5]   4.00-5.00   sec  56.2 MBytes  471832 Kbits/sec    0   8.84 MBytes       
[  5]   5.00-6.00   sec  57.5 MBytes  482373 Kbits/sec    0   8.84 MBytes       
[  5]   6.00-7.00   sec  56.2 MBytes  471830 Kbits/sec    0   8.84 MBytes       
[  5]   7.00-8.00   sec  57.5 MBytes  482344 Kbits/sec    0   8.84 MBytes       
[  5]   8.00-9.00   sec  56.2 MBytes  471862 Kbits/sec    0   8.84 MBytes       
[  5]   9.00-10.00  sec  57.5 MBytes  482340 Kbits/sec    0   8.84 MBytes       
[  5]  10.00-11.00  sec  57.5 MBytes  482210 Kbits/sec    0   8.84 MBytes       
[  5]  11.00-12.00  sec  56.2 MBytes  472024 Kbits/sec    0   8.84 MBytes       
[  5]  12.00-13.00  sec  57.5 MBytes  482330 Kbits/sec    0   8.84 MBytes       
[  5]  13.00-14.00  sec  56.2 MBytes  471826 Kbits/sec    0   8.84 MBytes       
[  5]  14.00-15.00  sec  57.5 MBytes  482393 Kbits/sec    0   8.84 MBytes       
[  5]  15.00-16.00  sec  56.2 MBytes  471859 Kbits/sec    0   8.84 MBytes       
[  5]  16.00-17.00  sec  57.5 MBytes  482360 Kbits/sec    0   8.84 MBytes       
[  5]  17.00-18.00  sec  56.2 MBytes  471845 Kbits/sec    0   8.84 MBytes       
[  5]  18.00-19.00  sec  57.5 MBytes  482341 Kbits/sec    0   8.84 MBytes       
[  5]  19.00-20.00  sec  56.2 MBytes  471826 Kbits/sec    0   8.84 MBytes       
[  5]  20.00-21.00  sec  57.5 MBytes  482310 Kbits/sec    0   8.84 MBytes       
[  5]  21.00-22.00  sec  56.2 MBytes  471932 Kbits/sec    0   8.84 MBytes       
[  5]  22.00-23.00  sec  40.0 MBytes  335519 Kbits/sec    0   8.84 MBytes       
[  5]  23.00-24.00  sec  57.5 MBytes  482381 Kbits/sec    0   8.84 MBytes       
[  5]  24.00-25.00  sec  56.2 MBytes  471831 Kbits/sec    0   8.84 MBytes       
[  5]  25.00-26.00  sec  57.5 MBytes  482373 Kbits/sec    0   8.84 MBytes       
[  5]  26.00-27.00  sec  56.2 MBytes  471815 Kbits/sec    0   8.84 MBytes       
[  5]  27.00-28.00  sec  57.5 MBytes  482391 Kbits/sec    0   8.84 MBytes       
[  5]  28.00-29.00  sec  56.2 MBytes  471831 Kbits/sec    0   8.84 MBytes       
[  5]  29.00-30.00  sec  56.2 MBytes  471859 Kbits/sec    0   8.84 MBytes       
[  5]  30.00-31.00  sec  57.5 MBytes  482370 Kbits/sec    0   8.84 MBytes       
[  5]  31.00-32.00  sec  56.2 MBytes  471859 Kbits/sec    0   8.84 MBytes       
[  5]  32.00-33.00  sec  57.5 MBytes  482350 Kbits/sec    0   8.84 MBytes       
[  5]  33.00-34.00  sec  42.5 MBytes  356516 Kbits/sec    0   8.84 MBytes       
[  5]  34.00-35.00  sec  56.2 MBytes  471830 Kbits/sec    0   8.84 MBytes       
[  5]  35.00-36.00  sec  57.5 MBytes  482345 Kbits/sec    0   8.84 MBytes       
[  5]  36.00-37.00  sec  56.2 MBytes  471856 Kbits/sec    0   8.84 MBytes       
[  5]  37.00-38.00  sec  57.5 MBytes  482372 Kbits/sec    0   8.84 MBytes       
[  5]  38.00-39.00  sec  56.2 MBytes  471834 Kbits/sec    0   8.84 MBytes       
[  5]  39.00-40.00  sec  57.5 MBytes  482371 Kbits/sec    0   8.84 MBytes       
[  5]  40.00-41.00  sec  56.2 MBytes  471836 Kbits/sec    0   8.84 MBytes       
[  5]  41.00-42.00  sec  57.5 MBytes  482374 Kbits/sec    0   8.84 MBytes       
[  5]  42.00-43.00  sec  56.2 MBytes  471831 Kbits/sec    0   8.84 MBytes       
[  5]  43.00-44.00  sec  43.8 MBytes  367024 Kbits/sec    0   8.84 MBytes       
[  5]  44.00-45.00  sec  56.2 MBytes  471854 Kbits/sec    0   8.84 MBytes       
[  5]  45.00-46.00  sec  57.5 MBytes  482350 Kbits/sec    0   8.84 MBytes       
[  5]  46.00-47.00  sec  56.2 MBytes  471854 Kbits/sec    0   8.84 MBytes       
[  5]  47.00-48.00  sec  57.5 MBytes  482201 Kbits/sec    0   8.84 MBytes       
[  5]  48.00-49.00  sec  56.2 MBytes  472006 Kbits/sec    0   8.84 MBytes       
[  5]  49.00-50.00  sec  56.2 MBytes  471833 Kbits/sec    0   8.84 MBytes       
[  5]  50.00-51.00  sec  57.5 MBytes  482366 Kbits/sec    0   8.84 MBytes       
[  5]  51.00-52.00  sec  57.5 MBytes  482350 Kbits/sec    0   8.84 MBytes       
[  5]  52.00-53.00  sec  56.2 MBytes  471861 Kbits/sec    0   8.84 MBytes       
[  5]  53.00-54.00  sec  57.5 MBytes  482241 Kbits/sec    0   8.84 MBytes       
[  5]  54.00-55.00  sec  56.2 MBytes  471955 Kbits/sec    0   8.84 MBytes       
[  5]  55.00-56.00  sec  57.5 MBytes  482026 Kbits/sec    0   8.84 MBytes       
[  5]  56.00-57.00  sec  56.2 MBytes  472172 Kbits/sec    0   8.84 MBytes       
[  5]  57.00-58.00  sec  57.5 MBytes  482230 Kbits/sec    0   8.84 MBytes       
[  5]  58.00-59.00  sec  42.5 MBytes  356601 Kbits/sec    0   8.84 MBytes       
[  5]  59.00-60.00  sec  56.2 MBytes  471807 Kbits/sec    0   8.84 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  3.25 GBytes  465626 Kbits/sec    0             sender
[  5]   0.00-60.05  sec  3.25 GBytes  465198 Kbits/sec                  receiver

iperf Done.
