Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 57598 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  5.37 MBytes  45001 Kbits/sec  142   2.02 MBytes       
[  5]   1.00-2.00   sec  10.0 MBytes  83891 Kbits/sec  2451   2.43 MBytes       
[  5]   2.00-3.00   sec  10.0 MBytes  83887 Kbits/sec  360   1.70 MBytes       
[  5]   3.00-4.00   sec  12.5 MBytes  104857 Kbits/sec  180   2.36 MBytes       
[  5]   4.00-5.00   sec  11.2 MBytes  94370 Kbits/sec  175   2.36 MBytes       
[  5]   5.00-6.00   sec  10.0 MBytes  83881 Kbits/sec  206   1.32 MBytes       
[  5]   6.00-7.00   sec  12.5 MBytes  104867 Kbits/sec  301   2.36 MBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94372 Kbits/sec  170   2.36 MBytes       
[  5]   8.00-9.00   sec  10.0 MBytes  83881 Kbits/sec  170   2.37 MBytes       
[  5]   9.00-10.00  sec  11.2 MBytes  94372 Kbits/sec  345   1.16 MBytes       
[  5]  10.00-11.00  sec  11.2 MBytes  94373 Kbits/sec  175   2.36 MBytes       
[  5]  11.00-12.00  sec  6.25 MBytes  52404 Kbits/sec  167   2.35 MBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94418 Kbits/sec  342   1.71 MBytes       
[  5]  13.00-14.00  sec  12.5 MBytes  104861 Kbits/sec  170   2.36 MBytes       
[  5]  14.00-15.00  sec  11.2 MBytes  94371 Kbits/sec  167   2.37 MBytes       
[  5]  15.00-16.00  sec  10.0 MBytes  83881 Kbits/sec  240   1.30 MBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94375 Kbits/sec  277   2.36 MBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  94369 Kbits/sec  180   2.35 MBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94372 Kbits/sec  167   2.37 MBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94378 Kbits/sec  337   1.18 MBytes       
[  5]  20.00-21.00  sec  11.2 MBytes  94369 Kbits/sec  180   2.37 MBytes       
[  5]  21.00-22.00  sec  11.2 MBytes  94368 Kbits/sec  175   5.66 KBytes       
[  5]  22.00-23.00  sec  6.25 MBytes  52429 Kbits/sec   68   1.27 MBytes       
[  5]  23.00-24.00  sec  12.5 MBytes  104863 Kbits/sec  264   2.36 MBytes       
[  5]  24.00-25.00  sec  11.2 MBytes  94372 Kbits/sec  162   2.36 MBytes       
[  5]  25.00-26.00  sec  11.2 MBytes  94371 Kbits/sec  175   2.37 MBytes       
[  5]  26.00-27.00  sec  10.0 MBytes  83881 Kbits/sec  337   1.23 MBytes       
[  5]  27.00-28.00  sec  12.5 MBytes  104809 Kbits/sec  170   2.36 MBytes       
[  5]  28.00-29.00  sec  10.0 MBytes  83927 Kbits/sec  162   2.37 MBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94368 Kbits/sec  180   2.37 MBytes       
[  5]  30.00-31.00  sec  11.2 MBytes  94374 Kbits/sec  345   2.36 MBytes       
[  5]  31.00-32.00  sec  11.2 MBytes  94373 Kbits/sec  167   2.36 MBytes       
[  5]  32.00-33.00  sec  11.2 MBytes  94375 Kbits/sec  170   2.35 MBytes       
[  5]  33.00-34.00  sec  3.75 MBytes  31458 Kbits/sec   36   2.36 MBytes       
[  5]  34.00-35.00  sec  10.0 MBytes  83883 Kbits/sec  355   1.95 MBytes       
