Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 45788 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.76 MBytes  56685 Kbits/sec   22   90.5 KBytes       
[  5]   1.00-2.00   sec  5.47 MBytes  45871 Kbits/sec    0   96.2 KBytes       
[  5]   2.00-3.00   sec  5.97 MBytes  50045 Kbits/sec    2   90.5 KBytes       
[  5]   3.00-4.00   sec  5.84 MBytes  49001 Kbits/sec    0   90.5 KBytes       
[  5]   4.00-5.00   sec  5.47 MBytes  45871 Kbits/sec    0   90.5 KBytes       
[  5]   5.00-6.00   sec  5.97 MBytes  50043 Kbits/sec    0   90.5 KBytes       
[  5]   6.00-7.00   sec  5.41 MBytes  45351 Kbits/sec    0   96.2 KBytes       
[  5]   7.00-8.00   sec  5.97 MBytes  50042 Kbits/sec    0   90.5 KBytes       
[  5]   8.00-9.00   sec  5.47 MBytes  45873 Kbits/sec    0   90.5 KBytes       
[  5]   9.00-10.00  sec  5.90 MBytes  49522 Kbits/sec    0   5.66 KBytes       
[  5]  10.00-11.00  sec  4.47 MBytes  37532 Kbits/sec    0   87.7 KBytes       
[  5]  11.00-12.00  sec  5.97 MBytes  50045 Kbits/sec    0   87.7 KBytes       
[  5]  12.00-13.00  sec  5.47 MBytes  45870 Kbits/sec    0   84.8 KBytes       
[  5]  13.00-14.00  sec  5.90 MBytes  49522 Kbits/sec    0   87.7 KBytes       
[  5]  14.00-15.00  sec  5.34 MBytes  44829 Kbits/sec    0   87.7 KBytes       
[  5]  15.00-16.00  sec  5.97 MBytes  50045 Kbits/sec    0   96.2 KBytes       
[  5]  16.00-17.00  sec  5.47 MBytes  45871 Kbits/sec    0   87.7 KBytes       
[  5]  17.00-18.00  sec  5.97 MBytes  50045 Kbits/sec    0   87.7 KBytes       
[  5]  18.00-19.00  sec  5.47 MBytes  45872 Kbits/sec    0   87.7 KBytes       
[  5]  19.00-20.00  sec  5.97 MBytes  50044 Kbits/sec    0   87.7 KBytes       
[  5]  20.00-21.00  sec  4.47 MBytes  37532 Kbits/sec    0   87.7 KBytes       
[  5]  21.00-22.00  sec  5.97 MBytes  50043 Kbits/sec    0   87.7 KBytes       
[  5]  22.00-23.00  sec  5.47 MBytes  45873 Kbits/sec    0   84.8 KBytes       
[  5]  23.00-24.00  sec  5.90 MBytes  49526 Kbits/sec    0   87.7 KBytes       
[  5]  24.00-25.00  sec  5.47 MBytes  45869 Kbits/sec    0   87.7 KBytes       
[  5]  25.00-26.00  sec  5.97 MBytes  50044 Kbits/sec    0   87.7 KBytes       
[  5]  26.00-27.00  sec  5.41 MBytes  45350 Kbits/sec    0   87.7 KBytes       
[  5]  27.00-28.00  sec  5.97 MBytes  50044 Kbits/sec    0   87.7 KBytes       
[  5]  28.00-29.00  sec  5.47 MBytes  45872 Kbits/sec    0   87.7 KBytes       
[  5]  29.00-30.00  sec  5.97 MBytes  50043 Kbits/sec    0   87.7 KBytes       
[  5]  30.00-31.00  sec  4.35 MBytes  36488 Kbits/sec    0   87.7 KBytes       
[  5]  31.00-32.00  sec  5.97 MBytes  50045 Kbits/sec    0   87.7 KBytes       
[  5]  32.00-33.00  sec  5.84 MBytes  49002 Kbits/sec    0   87.7 KBytes       
[  5]  33.00-34.00  sec  5.47 MBytes  45871 Kbits/sec    0   87.7 KBytes       
[  5]  34.00-35.00  sec  5.90 MBytes  49523 Kbits/sec    0   87.7 KBytes       
[  5]  35.00-36.00  sec  5.41 MBytes  45349 Kbits/sec    0   96.2 KBytes       
[  5]  36.00-37.00  sec  5.97 MBytes  50044 Kbits/sec    0   90.5 KBytes       
[  5]  37.00-38.00  sec  5.47 MBytes  45872 Kbits/sec    0   96.2 KBytes       
[  5]  38.00-39.00  sec  5.97 MBytes  50043 Kbits/sec    0   87.7 KBytes       
[  5]  39.00-40.00  sec  5.47 MBytes  45872 Kbits/sec    0   84.8 KBytes       
[  5]  40.00-41.00  sec  4.97 MBytes  41702 Kbits/sec    0   87.7 KBytes       
[  5]  41.00-42.00  sec  5.47 MBytes  45873 Kbits/sec    0   96.2 KBytes       
[  5]  42.00-43.00  sec  5.97 MBytes  50043 Kbits/sec    0   87.7 KBytes       
[  5]  43.00-44.00  sec  5.47 MBytes  45872 Kbits/sec    0   87.7 KBytes       
[  5]  44.00-45.00  sec  5.47 MBytes  45871 Kbits/sec    0   87.7 KBytes       
[  5]  45.00-46.00  sec  5.97 MBytes  50045 Kbits/sec    0   96.2 KBytes       
[  5]  46.00-47.00  sec  5.84 MBytes  49000 Kbits/sec    0   87.7 KBytes       
[  5]  47.00-48.00  sec  5.41 MBytes  45351 Kbits/sec    0   87.7 KBytes       
[  5]  48.00-49.00  sec  5.97 MBytes  50044 Kbits/sec    0   87.7 KBytes       
[  5]  49.00-50.00  sec  5.47 MBytes  45872 Kbits/sec    0   87.7 KBytes       
[  5]  50.00-51.00  sec  4.97 MBytes  41696 Kbits/sec    0   5.66 KBytes       
[  5]  51.00-52.00  sec  5.47 MBytes  45880 Kbits/sec    0   87.7 KBytes       
[  5]  52.00-53.00  sec  5.97 MBytes  50043 Kbits/sec    0   87.7 KBytes       
[  5]  53.00-54.00  sec  5.47 MBytes  45873 Kbits/sec    0   87.7 KBytes       
[  5]  54.00-55.00  sec  5.47 MBytes  45870 Kbits/sec    0   87.7 KBytes       
[  5]  55.00-56.00  sec  5.97 MBytes  50045 Kbits/sec    0   96.2 KBytes       
[  5]  56.00-57.00  sec  5.47 MBytes  45871 Kbits/sec    0   87.7 KBytes       
[  5]  57.00-58.00  sec  5.97 MBytes  50044 Kbits/sec    0   84.8 KBytes       
[  5]  58.00-59.00  sec  5.47 MBytes  45871 Kbits/sec    0   87.7 KBytes       
[  5]  59.00-60.00  sec  5.97 MBytes  50045 Kbits/sec    0   87.7 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   338 MBytes  47287 Kbits/sec   24             sender
[  5]   0.00-60.05  sec   337 MBytes  47093 Kbits/sec                  receiver

iperf Done.
