BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
482,170,100,10,5
403,162,100,10,5
536,164,100,10,5
463,166,100,10,5
571,172,100,10,5
546,198,100,10,10
625,199,100,10,10
500,202,100,10,10
672,203,100,10,10
591,203,100,10,10
465,145,100,10,25
413,142,100,10,25
405,140,100,10,25
397,139,100,10,25
387,147,100,10,25
370,126,100,10,50
339,127,100,10,50
338,115,100,10,50
373,119,100,10,50
383,121,100,10,50
323,115,100,10,75
335,117,100,10,75
339,116,100,10,75
303,118,100,10,75
315,117,100,10,75
310,114,100,10,100
347,114,100,10,100
286,113,100,10,100
290,113,100,10,100
278,109,100,10,100
274,84,100,10,150
270,78,100,10,150
254,83,100,10,150
276,77,100,10,150
270,89,100,10,150
309,62,100,10,200
319,54,100,10,200
313,63,100,10,200
313,63,100,10,200
309,58,100,10,200
301,394,100,20,5
268,369,100,20,5
268,353,100,20,5
287,354,100,20,5
249,375,100,20,5
729,292,100,20,10
483,280,100,20,10
750,288,100,20,10
486,295,100,20,10
535,282,100,20,10
331,218,100,20,25
343,218,100,20,25
360,220,100,20,25
356,217,100,20,25
346,217,100,20,25
413,135,100,20,50
409,137,100,20,50
422,128,100,20,50
384,138,100,20,50
419,137,100,20,50
397,103,100,20,75
450,103,100,20,75
418,101,100,20,75
417,85,100,20,75
406,100,100,20,75
575,58,100,20,100
579,59,100,20,100
511,57,100,20,100
522,57,100,20,100
578,58,100,20,100
595,68,100,20,150
607,75,100,20,150
545,73,100,20,150
603,75,100,20,150
591,68,100,20,150
638,40,100,20,200
627,52,100,20,200
637,52,100,20,200
638,52,100,20,200
637,51,100,20,200
269,707,100,50,5
291,704,100,50,5
282,711,100,50,5
311,710,100,50,5
287,714,100,50,5
609,449,100,50,10
500,441,100,50,10
410,419,100,50,10
409,440,100,50,10
681,433,100,50,10
1161,231,100,50,25
979,237,100,50,25
970,228,100,50,25
957,231,100,50,25
1093,233,100,50,25
1146,81,100,50,50
1106,73,100,50,50
1118,80,100,50,50
1153,60,100,50,50
1117,83,100,50,50
1251,69,100,50,75
1244,72,100,50,75
1248,74,100,50,75
1236,70,100,50,75
1275,73,100,50,75
1315,37,100,50,100
1317,41,100,50,100
1332,41,100,50,100
1324,41,100,50,100
1292,41,100,50,100
1420,39,100,50,150
1443,45,100,50,150
1323,40,100,50,150
1344,44,100,50,150
1346,40,100,50,150
1596,59,100,50,200
1487,59,100,50,200
1545,53,100,50,200
1553,47,100,50,200
1511,58,100,50,200
983,790,100,100,5
1234,781,100,100,5
1224,768,100,100,5
1327,775,100,100,5
1707,787,100,100,5
2294,474,100,100,10
2352,461,100,100,10
2273,457,100,100,10
2276,467,100,100,10
2133,452,100,100,10
1929,129,100,100,25
1928,117,100,100,25
1958,121,100,100,25
1971,121,100,100,25
1947,126,100,100,25
2334,45,100,100,50
2338,50,100,100,50
2334,48,100,100,50
2366,45,100,100,50
2364,47,100,100,50
2297,40,100,100,75
2512,32,100,100,75
2546,36,100,100,75
2451,43,100,100,75
2308,37,100,100,75
2712,41,100,100,100
2648,41,100,100,100
2648,39,100,100,100
2632,39,100,100,100
2686,43,100,100,100
3104,37,100,100,150
2788,37,100,100,150
3066,37,100,100,150
2794,47,100,100,150
2549,50,100,100,150
3032,31,100,100,200
3030,33,100,100,200
3451,38,100,100,200
3210,35,100,100,200
3447,33,100,100,200
12019,1665,100,250,5
11658,1614,100,250,5
11907,1667,100,250,5
12337,1643,100,250,5
11701,1592,100,250,5
8291,602,100,250,10
8366,622,100,250,10
8308,695,100,250,10
8453,688,100,250,10
8347,683,100,250,10
6967,162,100,250,25
7163,162,100,250,25
7169,161,100,250,25
7352,164,100,250,25
7014,161,100,250,25
7531,56,100,250,50
7699,54,100,250,50
7715,56,100,250,50
7718,54,100,250,50
7382,55,100,250,50
7200,47,100,250,75
7258,44,100,250,75
6879,53,100,250,75
7600,43,100,250,75
7194,50,100,250,75
7353,45,100,250,100
7805,51,100,250,100
7800,48,100,250,100
7806,41,100,250,100
7887,49,100,250,100
7392,34,100,250,150
7947,33,100,250,150
8056,33,100,250,150
7307,36,100,250,150
7951,30,100,250,150
7587,28,100,250,200
8472,29,100,250,200
7584,27,100,250,200
6732,34,100,250,200
7595,32,100,250,200
43995,2460,100,500,5
44393,2448,100,500,5
44401,2435,100,500,5
45203,2470,100,500,5
45066,2410,100,500,5
27029,632,100,500,10
26321,819,100,500,10
26388,840,100,500,10
26598,869,100,500,10
23843,842,100,500,10
17680,117,100,500,25
17076,183,100,500,25
17211,182,100,500,25
17213,111,100,500,25
17584,180,100,500,25
15532,68,100,500,50
15123,75,100,500,50
14845,78,100,500,50
14839,64,100,500,50
14331,49,100,500,50
13938,61,100,500,75
14581,62,100,500,75
15133,60,100,500,75
14812,53,100,500,75
15068,57,100,500,75
13708,44,100,500,100
13803,60,100,500,100
15511,61,100,500,100
13934,44,100,500,100
15424,43,100,500,100
15068,28,100,500,150
13187,32,100,500,150
14999,30,100,500,150
14803,32,100,500,150
16185,34,100,500,150
15318,29,100,500,200
13304,31,100,500,200
15138,32,100,500,200
13207,28,100,500,200
13223,34,100,500,200
55685,1529,100,750,5
55607,2250,100,750,5
55207,2228,100,750,5
55632,2230,100,750,5
56147,2203,100,750,5
31022,801,100,750,10
31698,839,100,750,10
31014,829,100,750,10
29278,460,100,750,10
30567,843,100,750,10
23775,247,100,750,25
24590,232,100,750,25
23485,242,100,750,25
24689,208,100,750,25
22555,215,100,750,25
21257,94,100,750,50
20329,64,100,750,50
21167,96,100,750,50
21912,77,100,750,50
21395,80,100,750,50
19761,65,100,750,75
22198,99,100,750,75
20825,74,100,750,75
21610,119,100,750,75
22311,57,100,750,75
21397,67,100,750,100
20126,67,100,750,100
20414,84,100,750,100
20348,64,100,750,100
21195,64,100,750,100
20169,44,100,750,150
23138,53,100,750,150
20389,60,100,750,150
20010,61,100,750,150
19962,64,100,750,150
23270,65,100,750,200
23385,35,100,750,200
25515,56,100,750,200
22259,52,100,750,200
21462,68,100,750,200
54525,2138,100,1000,5
54981,2117,100,1000,5
55674,2065,100,1000,5
54948,2159,100,1000,5
53839,1209,100,1000,5
34486,977,100,1000,10
34655,894,100,1000,10
34572,948,100,1000,10
35698,940,100,1000,10
34688,907,100,1000,10
28052,325,100,1000,25
27599,399,100,1000,25
27808,303,100,1000,25
28051,301,100,1000,25
28130,327,100,1000,25
27909,73,100,1000,50
27921,103,100,1000,50
28646,148,100,1000,50
29164,126,100,1000,50
27893,171,100,1000,50
26971,240,100,1000,75
26684,100,100,1000,75
26523,104,100,1000,75
27933,159,100,1000,75
26442,195,100,1000,75
29199,192,100,1000,100
27709,168,100,1000,100
30534,121,100,1000,100
29810,228,100,1000,100
28127,106,100,1000,100
30549,73,100,1000,150
30894,99,100,1000,150
30287,73,100,1000,150
28509,143,100,1000,150
32494,115,100,1000,150
31341,145,100,1000,200
31288,113,100,1000,200
31021,152,100,1000,200
30201,110,100,1000,200
31113,92,100,1000,200
0,2583,10000,10,5
0,2699,10000,10,5
0,2181,10000,10,5
0,1550,10000,10,5
0,1055,10000,10,5
0,2187,10000,10,10
0,2160,10000,10,10
0,883,10000,10,10
0,1284,10000,10,10
0,1241,10000,10,10
0,1005,10000,10,25
0,1859,10000,10,25
0,1847,10000,10,25
0,953,10000,10,25
0,969,10000,10,25
0,2245,10000,10,50
0,1874,10000,10,50
0,1087,10000,10,50
0,806,10000,10,50
0,1083,10000,10,50
0,1218,10000,10,75
0,1161,10000,10,75
0,773,10000,10,75
0,1321,10000,10,75
0,1577,10000,10,75
0,683,10000,10,100
0,1098,10000,10,100
0,643,10000,10,100
0,1052,10000,10,100
0,1115,10000,10,100
0,1219,10000,10,150
0,1255,10000,10,150
0,740,10000,10,150
0,974,10000,10,150
0,943,10000,10,150
0,1193,10000,10,200
0,1247,10000,10,200
0,1101,10000,10,200
0,1104,10000,10,200
0,1077,10000,10,200
0,722,10000,20,5
0,735,10000,20,5
0,771,10000,20,5
0,1013,10000,20,5
0,1012,10000,20,5
0,1028,10000,20,10
0,1252,10000,20,10
0,1278,10000,20,10
0,701,10000,20,10
0,781,10000,20,10
0,817,10000,20,25
0,816,10000,20,25
0,815,10000,20,25
0,816,10000,20,25
0,705,10000,20,25
0,740,10000,20,50
0,1614,10000,20,50
0,1627,10000,20,50
0,819,10000,20,50
0,818,10000,20,50
0,791,10000,20,75
0,714,10000,20,75
0,840,10000,20,75
0,846,10000,20,75
0,841,10000,20,75
0,826,10000,20,100
0,829,10000,20,100
0,829,10000,20,100
0,903,10000,20,100
0,853,10000,20,100
0,772,10000,20,150
0,784,10000,20,150
0,1032,10000,20,150
0,1028,10000,20,150
0,837,10000,20,150
0,991,10000,20,200
0,760,10000,20,200
0,739,10000,20,200
0,1217,10000,20,200
0,1202,10000,20,200
0,614,10000,50,5
0,615,10000,50,5
0,603,10000,50,5
0,613,10000,50,5
0,615,10000,50,5
0,622,10000,50,10
0,620,10000,50,10
0,618,10000,50,10
0,621,10000,50,10
0,617,10000,50,10
0,622,10000,50,25
0,619,10000,50,25
0,621,10000,50,25
0,622,10000,50,25
0,621,10000,50,25
0,623,10000,50,50
0,620,10000,50,50
0,623,10000,50,50
0,621,10000,50,50
0,617,10000,50,50
0,633,10000,50,75
0,637,10000,50,75
0,638,10000,50,75
0,636,10000,50,75
0,635,10000,50,75
0,646,10000,50,100
0,651,10000,50,100
0,652,10000,50,100
0,654,10000,50,100
0,654,10000,50,100
0,679,10000,50,150
0,682,10000,50,150
0,678,10000,50,150
0,681,10000,50,150
0,680,10000,50,150
0,706,10000,50,200
0,706,10000,50,200
0,704,10000,50,200
0,705,10000,50,200
0,706,10000,50,200
0,302,10000,100,5
0,303,10000,100,5
0,300,10000,100,5
0,302,10000,100,5
0,301,10000,100,5
0,296,10000,100,10
0,298,10000,100,10
0,298,10000,100,10
0,299,10000,100,10
0,298,10000,100,10
0,282,10000,100,25
0,310,10000,100,25
0,289,10000,100,25
0,286,10000,100,25
0,283,10000,100,25
0,308,10000,100,50
0,313,10000,100,50
0,314,10000,100,50
0,311,10000,100,50
0,312,10000,100,50
0,411,10000,100,75
0,330,10000,100,75
0,410,10000,100,75
0,329,10000,100,75
0,328,10000,100,75
0,353,10000,100,100
0,352,10000,100,100
0,355,10000,100,100
0,353,10000,100,100
0,351,10000,100,100
0,382,10000,100,150
0,385,10000,100,150
0,383,10000,100,150
0,385,10000,100,150
0,199,10000,100,150
0,422,10000,100,200
0,424,10000,100,200
0,424,10000,100,200
0,424,10000,100,200
0,422,10000,100,200
0,126,10000,250,5
0,135,10000,250,5
0,133,10000,250,5
0,128,10000,250,5
0,134,10000,250,5
0,139,10000,250,10
0,142,10000,250,10
0,143,10000,250,10
0,137,10000,250,10
0,150,10000,250,10
0,141,10000,250,25
0,143,10000,250,25
0,141,10000,250,25
0,144,10000,250,25
0,138,10000,250,25
0,147,10000,250,50
0,146,10000,250,50
0,152,10000,250,50
0,148,10000,250,50
0,152,10000,250,50
0,160,10000,250,75
0,167,10000,250,75
0,158,10000,250,75
0,166,10000,250,75
0,155,10000,250,75
0,182,10000,250,100
0,186,10000,250,100
0,181,10000,250,100
0,179,10000,250,100
0,179,10000,250,100
0,155,10000,250,150
0,162,10000,250,150
0,156,10000,250,150
0,155,10000,250,150
0,155,10000,250,150
405,186,10000,250,200
403,187,10000,250,200
404,187,10000,250,200
403,191,10000,250,200
406,180,10000,250,200
0,108,10000,500,5
0,110,10000,500,5
0,104,10000,500,5
0,104,10000,500,5
0,98,10000,500,5
0,113,10000,500,10
0,110,10000,500,10
0,103,10000,500,10
0,102,10000,500,10
0,110,10000,500,10
0,136,10000,500,25
0,126,10000,500,25
0,125,10000,500,25
0,134,10000,500,25
0,121,10000,500,25
0,146,10000,500,50
0,153,10000,500,50
0,158,10000,500,50
0,150,10000,500,50
0,150,10000,500,50
0,145,10000,500,75
0,174,10000,500,75
0,150,10000,500,75
0,148,10000,500,75
0,144,10000,500,75
406,157,10000,500,100
400,170,10000,500,100
402,166,10000,500,100
406,175,10000,500,100
403,165,10000,500,100
1711,212,10000,500,150
1717,175,10000,500,150
1719,182,10000,500,150
1705,219,10000,500,150
1712,179,10000,500,150
4541,203,10000,500,200
3014,200,10000,500,200
3028,204,10000,500,200
3019,208,10000,500,200
3018,205,10000,500,200
0,98,10000,750,5
0,92,10000,750,5
0,105,10000,750,5
0,98,10000,750,5
0,105,10000,750,5
0,119,10000,750,10
0,115,10000,750,10
0,103,10000,750,10
0,115,10000,750,10
0,108,10000,750,10
0,119,10000,750,25
0,117,10000,750,25
0,115,10000,750,25
0,124,10000,750,25
0,113,10000,750,25
0,134,10000,750,50
0,137,10000,750,50
0,134,10000,750,50
0,135,10000,750,50
0,143,10000,750,50
719,156,10000,750,75
725,154,10000,750,75
730,157,10000,750,75
734,152,10000,750,75
732,155,10000,750,75
1711,187,10000,750,100
1703,178,10000,750,100
1720,186,10000,750,100
1706,201,10000,750,100
1704,180,10000,750,100
5260,190,10000,750,150
3669,198,10000,750,150
3657,204,10000,750,150
5498,207,10000,750,150
3661,197,10000,750,150
5626,230,10000,750,200
5626,252,10000,750,200
5617,243,10000,750,200
5627,232,10000,750,200
5608,239,10000,750,200
0,95,10000,1000,5
0,99,10000,1000,5
0,87,10000,1000,5
0,89,10000,1000,5
0,102,10000,1000,5
0,111,10000,1000,10
0,109,10000,1000,10
0,103,10000,1000,10
0,124,10000,1000,10
0,108,10000,1000,10
0,114,10000,1000,25
0,115,10000,1000,25
0,129,10000,1000,25
0,121,10000,1000,25
0,122,10000,1000,25
604,139,10000,1000,50
404,150,10000,1000,50
392,129,10000,1000,50
403,142,10000,1000,50
397,143,10000,1000,50
1709,167,10000,1000,75
1716,164,10000,1000,75
1708,173,10000,1000,75
1682,165,10000,1000,75
1697,170,10000,1000,75
2986,206,10000,1000,100
2997,199,10000,1000,100
3002,202,10000,1000,100
4501,198,10000,1000,100
3014,190,10000,1000,100
5580,248,10000,1000,150
8399,245,10000,1000,150
5603,239,10000,1000,150
5595,225,10000,1000,150
8419,229,10000,1000,150
11659,302,10000,1000,200
11130,291,10000,1000,200
11704,278,10000,1000,200
10683,282,10000,1000,200
11631,279,10000,1000,200
