BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
9921,9920,100,10,5
9920,9920,100,10,5
9920,9920,100,10,5
9920,9920,100,10,5
9920,9920,100,10,5
9920,9920,100,10,10
9920,9908,100,10,10
9919,9908,100,10,10
9920,9920,100,10,10
9914,9920,100,10,10
9915,9920,100,10,25
9915,9920,100,10,25
9914,9920,100,10,25
9910,9920,100,10,25
9912,9920,100,10,25
9816,9910,100,10,50
9819,9910,100,10,50
9804,9910,100,10,50
9823,9910,100,10,50
9817,9903,100,10,50
9745,9898,100,10,75
9746,9898,100,10,75
9741,9898,100,10,75
9746,9898,100,10,75
9748,9898,100,10,75
9704,9886,100,10,100
9706,9886,100,10,100
9707,9886,100,10,100
9709,9886,100,10,100
9709,9886,100,10,100
9564,9839,100,10,150
9563,9839,100,10,150
9541,9839,100,10,150
9566,9839,100,10,150
9568,9839,100,10,150
9528,9771,100,10,200
9524,9746,100,10,200
9491,9772,100,10,200
9495,9765,100,10,200
9534,9764,100,10,200
19840,19840,100,20,5
19840,19840,100,20,5
19840,19840,100,20,5
19840,19840,100,20,5
19840,19840,100,20,5
19835,19841,100,20,10
19833,19841,100,20,10
19833,19840,100,20,10
19831,19840,100,20,10
19829,19841,100,20,10
19650,19840,100,20,25
19649,19840,100,20,25
19646,19826,100,20,25
19650,19840,100,20,25
19647,19840,100,20,25
19500,19812,100,20,50
19504,19813,100,20,50
19501,19813,100,20,50
19504,19813,100,20,50
19498,19813,100,20,50
19356,19737,100,20,75
19370,19749,100,20,75
19373,19738,100,20,75
19374,19739,100,20,75
19376,19737,100,20,75
19311,19506,100,20,100
19313,19514,100,20,100
19295,19504,100,20,100
19299,19507,100,20,100
19311,19500,100,20,100
18968,19173,100,20,150
19078,19143,100,20,150
18996,19151,100,20,150
19108,19162,100,20,150
19076,19169,100,20,150
18944,18167,100,20,200
18938,18725,100,20,200
19066,18739,100,20,200
18889,18727,100,20,200
19066,18232,100,20,200
49434,49600,100,50,5
49426,49600,100,50,5
49439,49599,100,50,5
49430,49599,100,50,5
49428,49600,100,50,5
49122,49601,100,50,10
49129,49601,100,50,10
49132,49602,100,50,10
49125,49602,100,50,10
49132,49601,100,50,10
48801,49570,100,50,25
48804,49566,100,50,25
48812,49569,100,50,25
48805,49571,100,50,25
48808,49570,100,50,25
48695,48659,100,50,50
48732,48666,100,50,50
48733,48681,100,50,50
48552,48477,100,50,50
48546,48650,100,50,50
48127,47847,100,50,75
48105,47806,100,50,75
48074,47812,100,50,75
48110,47855,100,50,75
48067,47807,100,50,75
47785,46322,100,50,100
47852,46316,100,50,100
47852,46246,100,50,100
47714,46328,100,50,100
47730,46233,100,50,100
46162,41163,100,50,150
46693,41697,100,50,150
46191,42650,100,50,150
46194,42881,100,50,150
46108,42638,100,50,150
46163,40815,100,50,200
46225,40811,100,50,200
46212,40831,100,50,200
46132,40152,100,50,200
46090,40815,100,50,200
98249,99200,100,100,5
98240,99199,100,100,5
98240,99199,100,100,5
98253,99180,100,100,5
98258,99198,100,100,5
97824,99194,100,100,10
97822,99194,100,100,10
97850,99194,100,100,10
97843,99194,100,100,10
97837,99178,100,100,10
97355,96193,100,100,25
97313,96169,100,100,25
97332,96100,100,100,25
97349,96108,100,100,25
97337,96170,100,100,25
96208,93906,100,100,50
96199,93849,100,100,50
96262,93910,100,100,50
96265,93808,100,100,50
96119,93917,100,100,50
94278,88614,100,100,75
94671,86820,100,100,75
94738,88434,100,100,75
94470,87185,100,100,75
94294,88584,100,100,75
93989,80766,100,100,100
93944,82897,100,100,100
94050,83016,100,100,100
93721,83072,100,100,100
94045,82936,100,100,100
91976,78959,100,100,150
91798,78925,100,100,150
92020,78951,100,100,150
92159,78468,100,100,150
91699,74986,100,100,150
91066,72067,100,100,200
91751,71323,100,100,200
91625,71398,100,100,200
91478,70864,100,100,200
91766,71463,100,100,200
245158,246138,100,250,5
245173,245368,100,250,5
244452,246020,100,250,5
244443,245919,100,250,5
244453,245288,100,250,5
243818,238047,100,250,10
243862,238217,100,250,10
