Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 49936 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.42 MBytes  20324 Kbits/sec    0    233 KBytes       
[  4]   1.00-2.00   sec  1.43 MBytes  11988 Kbits/sec    0    291 KBytes       
[  4]   2.00-3.00   sec  1.49 MBytes  12512 Kbits/sec    0    349 KBytes       
[  4]   3.00-4.00   sec  1.43 MBytes  11984 Kbits/sec    0    409 KBytes       
[  4]   4.00-5.00   sec  1.43 MBytes  11991 Kbits/sec    0    467 KBytes       
[  4]   5.00-6.00   sec  1.49 MBytes  12511 Kbits/sec    0    525 KBytes       
[  4]   6.00-7.00   sec  1.43 MBytes  11992 Kbits/sec    0    583 KBytes       
[  4]   7.00-8.00   sec  1.43 MBytes  11991 Kbits/sec    0    642 KBytes       
[  4]   8.00-9.00   sec  1.37 MBytes  11469 Kbits/sec    0    700 KBytes       
[  4]   9.00-10.00  sec  1.12 MBytes  9372 Kbits/sec    0    758 KBytes       
[  4]  10.00-11.00  sec  1.12 MBytes  9383 Kbits/sec    0    829 KBytes       
[  4]  11.00-12.00  sec  1.06 MBytes  8862 Kbits/sec    0    984 KBytes       
[  4]  12.00-13.00  sec  1.06 MBytes  8862 Kbits/sec    0   1.16 MBytes       
[  4]  13.00-14.00  sec  1.06 MBytes  8862 Kbits/sec    0   1.39 MBytes       
[  4]  14.00-15.00  sec  1.06 MBytes  8861 Kbits/sec    0   1.65 MBytes       
[  4]  15.00-16.00  sec  1018 KBytes  8341 Kbits/sec    0   1.94 MBytes       
[  4]  16.00-17.00  sec  1.06 MBytes  8930 Kbits/sec    0   2.26 MBytes       
[  4]  17.00-18.00  sec  1.19 MBytes  9973 Kbits/sec    0   2.46 MBytes       
[  4]  18.00-19.00  sec  1.13 MBytes  9453 Kbits/sec    0   2.92 MBytes       
[  4]  19.00-20.00  sec  1.13 MBytes  9452 Kbits/sec    0   3.38 MBytes       
[  4]  20.00-21.00  sec  1.13 MBytes  9452 Kbits/sec    0   3.39 MBytes       
[  4]  21.00-22.00  sec  1.19 MBytes  9974 Kbits/sec    0   3.39 MBytes       
[  4]  22.00-23.00  sec  1.13 MBytes  9452 Kbits/sec    0   3.39 MBytes       
[  4]  23.00-24.00  sec  1.13 MBytes  9453 Kbits/sec    0   3.39 MBytes       
[  4]  24.00-25.00  sec  1.19 MBytes  9974 Kbits/sec    0   3.39 MBytes       
[  4]  25.00-26.00  sec  1.13 MBytes  9453 Kbits/sec    0   3.39 MBytes       
[  4]  26.00-27.00  sec  1.13 MBytes  9453 Kbits/sec    0   3.39 MBytes       
[  4]  27.00-28.00  sec  1.13 MBytes  9453 Kbits/sec    0   3.39 MBytes       
[  4]  28.00-29.00  sec  1.19 MBytes  9973 Kbits/sec    0   3.39 MBytes       
[  4]  29.00-30.00  sec  1.06 MBytes  8932 Kbits/sec    0   3.39 MBytes       
