Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 54656 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.40 MBytes  20116 Kbits/sec   10    346 KBytes       
[  4]   1.00-2.00   sec  1.18 MBytes  9902 Kbits/sec  106    195 KBytes       
[  4]   2.00-3.00   sec  1.37 MBytes  11467 Kbits/sec    0    214 KBytes       
[  4]   3.00-4.00   sec  1.30 MBytes  10947 Kbits/sec    0    223 KBytes       
[  4]   4.00-5.00   sec  1.49 MBytes  12516 Kbits/sec    0    225 KBytes       
[  4]   5.00-6.00   sec  1.49 MBytes  12504 Kbits/sec    0    225 KBytes       
[  4]   6.00-7.00   sec  1.37 MBytes  11469 Kbits/sec    0    226 KBytes       
[  4]   7.00-8.00   sec  1.55 MBytes  13038 Kbits/sec    0    232 KBytes       
[  4]   8.00-9.00   sec  1.49 MBytes  12504 Kbits/sec    0    245 KBytes       
[  4]   9.00-10.00  sec  1.62 MBytes  13560 Kbits/sec    0    267 KBytes       
[  4]  10.00-11.00  sec  1.80 MBytes  15115 Kbits/sec    0    305 KBytes       
[  4]  11.00-12.00  sec  2.11 MBytes  17721 Kbits/sec    0    361 KBytes       
[  4]  12.00-13.00  sec  2.55 MBytes  21379 Kbits/sec    0    436 KBytes       
[  4]  13.00-14.00  sec  2.42 MBytes  20326 Kbits/sec   14    345 KBytes       
[  4]  14.00-15.00  sec  2.24 MBytes  18767 Kbits/sec    0    395 KBytes       
[  4]  15.00-16.00  sec  2.30 MBytes  19287 Kbits/sec    0    428 KBytes       
[  4]  16.00-17.00  sec  2.17 MBytes  18245 Kbits/sec    4    414 KBytes       
[  4]  17.00-18.00  sec  2.24 MBytes  18766 Kbits/sec    0    342 KBytes       
[  4]  18.00-19.00  sec  2.30 MBytes  19287 Kbits/sec    0    365 KBytes       
[  4]  19.00-20.00  sec  2.24 MBytes  18766 Kbits/sec    0    376 KBytes       
[  4]  20.00-21.00  sec  2.30 MBytes  19287 Kbits/sec    0    380 KBytes       
[  4]  21.00-22.00  sec  2.30 MBytes  19287 Kbits/sec    0    380 KBytes       
[  4]  22.00-23.00  sec  2.24 MBytes  18766 Kbits/sec    0    380 KBytes       
[  4]  23.00-24.00  sec  2.30 MBytes  19287 Kbits/sec    0    385 KBytes       
[  4]  24.00-25.00  sec  2.30 MBytes  19288 Kbits/sec    0    395 KBytes       
[  4]  25.00-26.00  sec  2.24 MBytes  18766 Kbits/sec    0    414 KBytes       
[  4]  26.00-27.00  sec  2.30 MBytes  19287 Kbits/sec    0    447 KBytes       
[  4]  27.00-28.00  sec  2.17 MBytes  18246 Kbits/sec    6    354 KBytes       
[  4]  28.00-29.00  sec  2.30 MBytes  19287 Kbits/sec    0    397 KBytes       
[  4]  29.00-30.00  sec  2.24 MBytes  18766 Kbits/sec    0    426 KBytes       
[  4]  30.00-31.00  sec  2.30 MBytes  19286 Kbits/sec    0    443 KBytes       
[  4]  31.00-32.00  sec  2.17 MBytes  18246 Kbits/sec    4    334 KBytes       
[  4]  32.00-33.00  sec  2.24 MBytes  18766 Kbits/sec    0    358 KBytes       
[  4]  33.00-34.00  sec  2.24 MBytes  18766 Kbits/sec    0    370 KBytes       
[  4]  34.00-35.00  sec  2.30 MBytes  19287 Kbits/sec    0    376 KBytes       
[  4]  35.00-36.00  sec  2.30 MBytes  19288 Kbits/sec    0    376 KBytes       
[  4]  36.00-37.00  sec  2.24 MBytes  18766 Kbits/sec    0    376 KBytes       
[  4]  37.00-38.00  sec  2.30 MBytes  19287 Kbits/sec    0    379 KBytes       
[  4]  38.00-39.00  sec  2.30 MBytes  19287 Kbits/sec    0    387 KBytes       
[  4]  39.00-40.00  sec  2.24 MBytes  18767 Kbits/sec    0    406 KBytes       
[  4]  40.00-41.00  sec  2.30 MBytes  19287 Kbits/sec    0    437 KBytes       
[  4]  41.00-42.00  sec  2.24 MBytes  18767 Kbits/sec    8    338 KBytes       
[  4]  42.00-43.00  sec  2.24 MBytes  18766 Kbits/sec    0    387 KBytes       
[  4]  43.00-44.00  sec  2.24 MBytes  18767 Kbits/sec    0    420 KBytes       
[  4]  44.00-45.00  sec  2.30 MBytes  19287 Kbits/sec    0    440 KBytes       
[  4]  45.00-46.00  sec  2.24 MBytes  18766 Kbits/sec    4    322 KBytes       
[  4]  46.00-47.00  sec  2.17 MBytes  18246 Kbits/sec    0    352 KBytes       
[  4]  47.00-47.81  sec  1.86 MBytes  19343 Kbits/sec    0    366 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-47.81  sec   101 MBytes  17637 Kbits/sec  156             sender
[  4]   0.00-47.81  sec  98.3 MBytes  17252 Kbits/sec                  receiver

iperf Done.
