Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 54464 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  5.24 MBytes  43916 Kbits/sec  264    385 KBytes       
[  4]   1.00-2.00   sec  2.24 MBytes  18773 Kbits/sec    0    370 KBytes       
[  4]   2.00-3.00   sec  2.30 MBytes  19284 Kbits/sec    0    370 KBytes       
[  4]   3.00-4.00   sec  2.30 MBytes  19286 Kbits/sec    0    370 KBytes       
[  4]   4.00-5.00   sec  2.24 MBytes  18766 Kbits/sec    0    370 KBytes       
[  4]   5.00-6.00   sec  2.30 MBytes  19288 Kbits/sec    0    370 KBytes       
[  4]   6.00-7.00   sec  2.30 MBytes  19287 Kbits/sec    0    370 KBytes       
[  4]   7.00-8.00   sec  2.24 MBytes  18768 Kbits/sec    8    370 KBytes       
[  4]   8.00-9.00   sec  2.30 MBytes  19285 Kbits/sec    6    370 KBytes       
[  4]   9.00-10.00  sec  2.30 MBytes  19290 Kbits/sec   10    370 KBytes       
[  4]  10.00-11.00  sec  2.30 MBytes  19286 Kbits/sec   21   5.66 KBytes       
[  4]  11.00-12.00  sec  1.62 MBytes  13557 Kbits/sec    0    370 KBytes       
[  4]  12.00-13.00  sec  2.24 MBytes  18765 Kbits/sec    0    370 KBytes       
[  4]  13.00-14.00  sec  2.30 MBytes  19281 Kbits/sec    0    370 KBytes       
[  4]  14.00-15.00  sec  2.30 MBytes  19288 Kbits/sec    0    370 KBytes       
[  4]  15.00-16.00  sec  2.24 MBytes  18769 Kbits/sec    0    370 KBytes       
[  4]  16.00-17.00  sec  2.30 MBytes  19284 Kbits/sec    4    370 KBytes       
[  4]  17.00-18.00  sec  2.30 MBytes  19286 Kbits/sec    0    370 KBytes       
[  4]  18.00-19.00  sec  2.24 MBytes  18770 Kbits/sec    4    236 KBytes       
[  4]  19.00-20.00  sec  2.30 MBytes  19286 Kbits/sec    8    370 KBytes       
[  4]  20.00-21.00  sec  2.30 MBytes  19287 Kbits/sec    8    370 KBytes       
[  4]  21.00-22.00  sec  1.62 MBytes  13558 Kbits/sec    2    370 KBytes       
[  4]  22.00-23.00  sec  2.30 MBytes  19279 Kbits/sec    0    370 KBytes       
[  4]  23.00-24.00  sec  2.24 MBytes  18767 Kbits/sec    5    230 KBytes       
[  4]  24.00-25.00  sec  2.30 MBytes  19291 Kbits/sec    5    370 KBytes       
[  4]  25.00-26.00  sec  2.30 MBytes  19283 Kbits/sec    6    370 KBytes       
[  4]  26.00-27.00  sec  2.24 MBytes  18766 Kbits/sec   12    370 KBytes       
[  4]  27.00-28.00  sec  2.30 MBytes  19288 Kbits/sec    8    368 KBytes       
[  4]  28.00-29.00  sec  2.30 MBytes  19287 Kbits/sec    0    370 KBytes       
[  4]  29.00-30.00  sec  2.24 MBytes  18766 Kbits/sec    0    370 KBytes       
[  4]  30.00-31.00  sec  2.30 MBytes  19287 Kbits/sec   10    370 KBytes       
[  4]  31.00-32.00  sec  2.05 MBytes  17203 Kbits/sec    9   5.66 KBytes       
[  4]  32.00-33.00  sec  1.86 MBytes  15642 Kbits/sec    0    370 KBytes       
[  4]  33.00-34.00  sec  2.24 MBytes  18761 Kbits/sec    0    370 KBytes       
[  4]  34.00-35.00  sec  2.30 MBytes  19288 Kbits/sec    0    370 KBytes       
[  4]  35.00-36.00  sec  2.30 MBytes  19287 Kbits/sec    0    368 KBytes       
[  4]  36.00-37.00  sec  2.24 MBytes  18766 Kbits/sec    0    370 KBytes       
[  4]  37.00-38.00  sec  2.30 MBytes  19287 Kbits/sec   18    370 KBytes       
[  4]  38.00-39.00  sec  2.17 MBytes  18246 Kbits/sec    5    228 KBytes       
[  4]  39.00-40.00  sec  2.36 MBytes  19810 Kbits/sec    2    370 KBytes       
[  4]  40.00-41.00  sec  2.30 MBytes  19285 Kbits/sec    8    370 KBytes       
[  4]  41.00-42.00  sec  2.24 MBytes  18771 Kbits/sec    2    226 KBytes       
[  4]  42.00-43.00  sec  1.68 MBytes  14075 Kbits/sec    0    370 KBytes       
[  4]  43.00-44.00  sec  2.30 MBytes  19287 Kbits/sec    0    370 KBytes       
[  4]  44.00-44.00  sec  0.00 Bytes  0.00 Kbits/sec    0    370 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-44.00  sec   101 MBytes  19184 Kbits/sec  425             sender
[  4]   0.00-44.00  sec  96.9 MBytes  18481 Kbits/sec                  receiver

iperf Done.
