Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 56380 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   954 KBytes  7819 Kbits/sec    0    113 KBytes       
[  5]   1.00-2.00   sec  3.42 MBytes  28721 Kbits/sec  392   1.35 MBytes       
[  5]   2.00-3.00   sec  2.50 MBytes  20974 Kbits/sec   78    431 KBytes       
[  5]   3.00-4.00   sec  2.50 MBytes  20975 Kbits/sec    0    431 KBytes       
[  5]   4.00-5.00   sec  1.25 MBytes  10482 Kbits/sec    0    505 KBytes       
[  5]   5.00-6.00   sec  2.50 MBytes  20975 Kbits/sec    0    549 KBytes       
[  5]   6.00-7.00   sec  2.50 MBytes  20973 Kbits/sec   19    488 KBytes       
[  5]   7.00-8.00   sec  2.50 MBytes  20974 Kbits/sec    0    488 KBytes       
[  5]   8.00-9.00   sec  2.50 MBytes  20974 Kbits/sec    0    571 KBytes       
[  5]   9.00-10.00  sec  1.25 MBytes  10481 Kbits/sec    5    571 KBytes       
[  5]  10.00-11.00  sec  2.50 MBytes  20975 Kbits/sec   18    488 KBytes       
[  5]  11.00-12.00  sec  2.50 MBytes  20978 Kbits/sec    0    488 KBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  20968 Kbits/sec    0    488 KBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  20974 Kbits/sec    5    573 KBytes       
[  5]  14.00-15.00  sec  1.25 MBytes  10483 Kbits/sec   16    489 KBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  20969 Kbits/sec    0    489 KBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  20974 Kbits/sec    0    574 KBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  20974 Kbits/sec    8    488 KBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  20973 Kbits/sec    0    488 KBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  20973 Kbits/sec    0    488 KBytes       
[  5]  20.00-21.00  sec  1.25 MBytes  10481 Kbits/sec   20    488 KBytes       
[  5]  21.00-22.00  sec  2.50 MBytes  20973 Kbits/sec    0    488 KBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  20974 Kbits/sec    0    488 KBytes       
[  5]  23.00-24.00  sec  2.50 MBytes  20974 Kbits/sec    6    496 KBytes       
[  5]  24.00-25.00  sec  1.25 MBytes  10481 Kbits/sec   17    489 KBytes       
[  5]  25.00-26.00  sec  2.50 MBytes  20973 Kbits/sec    0    489 KBytes       
[  5]  26.00-27.00  sec  2.50 MBytes  20974 Kbits/sec    0    489 KBytes       
[  5]  27.00-28.00  sec  2.50 MBytes  20977 Kbits/sec    6    533 KBytes       
[  5]  28.00-29.00  sec  1.25 MBytes  10479 Kbits/sec   16    489 KBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31478 Kbits/sec    0    489 KBytes       
[  5]  30.00-31.00  sec  1.25 MBytes  10481 Kbits/sec    0    489 KBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  20974 Kbits/sec    6    574 KBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  20979 Kbits/sec   17    488 KBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  20968 Kbits/sec    0    488 KBytes       
[  5]  34.00-35.00  sec  2.50 MBytes  20974 Kbits/sec    0    571 KBytes       
[  5]  35.00-36.00  sec  1.25 MBytes  10481 Kbits/sec   15    488 KBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  20973 Kbits/sec    5    488 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  20974 Kbits/sec    0    488 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  20977 Kbits/sec    4    573 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  20971 Kbits/sec   16    488 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  20974 Kbits/sec    0    488 KBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10482 Kbits/sec    0    488 KBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  20972 Kbits/sec    5    573 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  20977 Kbits/sec   17    488 KBytes       
[  5]  44.00-44.26  sec  1.25 MBytes  40220 Kbits/sec    0    488 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-44.26  sec   101 MBytes  19068 Kbits/sec  691             sender
[  5]   0.00-44.26  sec  97.4 MBytes  18457 Kbits/sec                  receiver

iperf Done.
