Connecting to host h3, port 5201
[  5] local 10.10.2.1 port 38670 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  3.58 MBytes  30016 Kbits/sec  189   90.5 KBytes       
[  5]   1.00-2.00   sec  2.49 MBytes  20854 Kbits/sec    0   90.5 KBytes       
[  5]   2.00-3.00   sec  2.49 MBytes  20852 Kbits/sec   96   91.9 KBytes       
[  5]   3.00-4.00   sec  1.86 MBytes  15636 Kbits/sec    0    133 KBytes       
[  5]   4.00-5.00   sec  2.49 MBytes  20852 Kbits/sec   45   65.0 KBytes       
[  5]   5.00-6.00   sec  2.49 MBytes  20853 Kbits/sec    0   80.6 KBytes       
[  5]   6.00-7.00   sec  1.86 MBytes  15636 Kbits/sec    0   80.6 KBytes       
[  5]   7.00-8.00   sec  2.49 MBytes  20854 Kbits/sec    8   74.9 KBytes       
[  5]   8.00-9.00   sec  2.49 MBytes  20852 Kbits/sec    0   91.9 KBytes       
[  5]   9.00-10.00  sec  1.86 MBytes  15636 Kbits/sec    7   76.4 KBytes       
[  5]  10.00-11.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  11.00-12.00  sec  2.49 MBytes  20852 Kbits/sec    0   76.4 KBytes       
[  5]  12.00-13.00  sec  1.86 MBytes  15636 Kbits/sec   11   72.1 KBytes       
[  5]  13.00-14.00  sec  2.49 MBytes  20853 Kbits/sec    0   72.1 KBytes       
[  5]  14.00-15.00  sec  2.49 MBytes  20852 Kbits/sec    0   72.1 KBytes       
[  5]  15.00-16.00  sec  1.86 MBytes  15636 Kbits/sec    0   72.1 KBytes       
[  5]  16.00-17.00  sec  2.49 MBytes  20853 Kbits/sec    0   72.1 KBytes       
[  5]  17.00-18.00  sec  2.49 MBytes  20853 Kbits/sec    7   76.4 KBytes       
[  5]  18.00-19.00  sec  1.86 MBytes  15636 Kbits/sec    0   76.4 KBytes       
[  5]  19.00-20.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  20.00-21.00  sec  2.49 MBytes  20853 Kbits/sec    0   63.6 KBytes       
[  5]  21.00-22.00  sec  1.86 MBytes  15635 Kbits/sec    0   63.6 KBytes       
[  5]  22.00-23.00  sec  2.49 MBytes  20854 Kbits/sec    0   63.6 KBytes       
[  5]  23.00-24.00  sec  2.49 MBytes  20852 Kbits/sec    0   55.1 KBytes       
[  5]  24.00-25.00  sec  1.86 MBytes  15636 Kbits/sec    0   55.1 KBytes       
[  5]  25.00-26.00  sec  2.49 MBytes  20853 Kbits/sec    0   5.66 KBytes       
[  5]  26.00-27.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  27.00-28.00  sec  1.86 MBytes  15635 Kbits/sec    0   76.4 KBytes       
[  5]  28.00-29.00  sec  2.49 MBytes  20854 Kbits/sec    0   76.4 KBytes       
[  5]  29.00-30.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  30.00-31.00  sec  1.86 MBytes  15635 Kbits/sec    0   76.4 KBytes       
[  5]  31.00-32.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  32.00-33.00  sec  2.49 MBytes  20854 Kbits/sec    0   76.4 KBytes       
[  5]  33.00-34.00  sec  1.86 MBytes  15635 Kbits/sec    0   76.4 KBytes       
[  5]  34.00-35.00  sec  2.49 MBytes  20854 Kbits/sec    0   76.4 KBytes       
[  5]  35.00-36.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  36.00-37.00  sec  1.86 MBytes  15635 Kbits/sec    0   76.4 KBytes       
[  5]  37.00-38.00  sec  2.49 MBytes  20853 Kbits/sec    0   76.4 KBytes       
[  5]  38.00-39.00  sec  2.49 MBytes  20852 Kbits/sec    0   76.4 KBytes       
[  5]  39.00-40.00  sec  1.86 MBytes  15636 Kbits/sec    0   76.4 KBytes       
[  5]  40.00-41.00  sec  2.49 MBytes  20852 Kbits/sec    0   76.4 KBytes       
[  5]  41.00-42.00  sec  2.49 MBytes  20854 Kbits/sec    0   76.4 KBytes       
[  5]  42.00-43.00  sec  1.86 MBytes  15636 Kbits/sec    0   76.4 KBytes       
[  5]  43.00-43.32  sec  1.24 MBytes  32576 Kbits/sec    0   76.4 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-43.32  sec   101 MBytes  19465 Kbits/sec  363             sender
[  5]   0.00-43.36  sec  98.9 MBytes  19128 Kbits/sec                  receiver

iperf Done.
