BBR_latency,CUBIC_latency,Buffer,Bandwidth,rtt
86.27,86.86,100,10,5
86.18,86.81,100,10,5
86.29,86.97,100,10,5
86.29,86.81,100,10,5
86.36,87.03,100,10,5
86.31,86.92,100,10,10
86.39,86.97,100,10,10
86.45,86.92,100,10,10
86.23,86.92,100,10,10
86.62,87.03,100,10,10
86.50,86.92,100,10,25
86.12,87.03,100,10,25
86.45,86.97,100,10,25
86.30,86.92,100,10,25
86.59,86.92,100,10,25
86.41,86.86,100,10,50
86.18,86.86,100,10,50
86.45,86.97,100,10,50
86.25,86.92,100,10,50
86.34,86.97,100,10,50
86.18,86.97,100,10,75
86.34,86.92,100,10,75
86.31,86.92,100,10,75
86.51,86.92,100,10,75
86.28,86.81,100,10,75
86.70,86.97,100,10,100
86.12,87.03,100,10,100
86.62,87.03,100,10,100
86.28,86.97,100,10,100
86.40,86.81,100,10,100
86.24,86.92,100,10,150
86.34,87.03,100,10,150
86.39,86.97,100,10,150
86.40,86.97,100,10,150
86.18,86.92,100,10,150
86.24,86.97,100,10,200
86.56,86.81,100,10,200
86.33,86.97,100,10,200
86.51,87.03,100,10,200
86.23,86.86,100,10,200
43.14,43.41,100,20,5
43.25,43.41,100,20,5
43.35,43.39,100,20,5
43.17,43.40,100,20,5
43.22,43.41,100,20,5
43.37,43.40,100,20,10
43.14,43.40,100,20,10
43.30,43.40,100,20,10
43.14,43.40,100,20,10
43.28,43.50,100,20,10
43.30,43.39,100,20,25
43.22,43.40,100,20,25
43.11,43.66,100,20,25
43.26,43.35,100,20,25
43.32,43.40,100,20,25
43.25,43.47,100,20,50
43.24,43.50,100,20,50
43.25,43.54,100,20,50
43.23,43.40,100,20,50
43.22,43.40,100,20,50
43.17,43.40,100,20,75
43.29,43.40,100,20,75
43.22,43.40,100,20,75
43.27,43.40,100,20,75
43.34,43.40,100,20,75
43.14,43.40,100,20,100
43.43,43.40,100,20,100
43.14,43.39,100,20,100
43.12,43.40,100,20,100
43.17,43.40,100,20,100
43.20,43.40,100,20,150
43.22,43.40,100,20,150
43.13,43.40,100,20,150
43.41,43.39,100,20,150
43.39,43.40,100,20,150
43.14,43.40,100,20,200
43.22,43.47,100,20,200
43.17,43.47,100,20,200
43.29,43.37,100,20,200
43.26,43.43,100,20,200
17.36,17.45,100,50,5
17.32,17.44,100,50,5
17.29,17.45,100,50,5
17.38,17.47,100,50,5
17.44,17.44,100,50,5
17.31,17.46,100,50,10
17.31,17.47,100,50,10
17.32,17.45,100,50,10
17.38,17.47,100,50,10
17.30,17.45,100,50,10
17.32,17.47,100,50,25
17.25,17.44,100,50,25
17.33,17.47,100,50,25
17.32,17.46,100,50,25
17.45,17.45,100,50,25
17.41,17.47,100,50,50
17.41,17.46,100,50,50
17.41,17.47,100,50,50
17.42,17.45,100,50,50
17.28,17.48,100,50,50
17.27,17.45,100,50,75
17.34,17.47,100,50,75
17.30,17.45,100,50,75
17.38,17.48,100,50,75
17.41,17.46,100,50,75
17.32,17.44,100,50,100
17.35,17.47,100,50,100
17.39,17.44,100,50,100
17.46,17.45,100,50,100
17.36,17.46,100,50,100
17.30,17.46,100,50,150
17.27,17.45,100,50,150
17.21,17.47,100,50,150
17.29,17.47,100,50,150
17.33,17.44,100,50,150
17.34,17.47,100,50,200
17.27,17.46,100,50,200
17.24,17.46,100,50,200
17.23,17.46,100,50,200
17.41,17.46,100,50,200
8.72,8.74,100,100,5
8.65,8.74,100,100,5
8.68,8.74,100,100,5
8.67,8.74,100,100,5
8.69,8.73,100,100,5
8.71,8.74,100,100,10
8.67,8.73,100,100,10
8.67,8.74,100,100,10
8.71,8.74,100,100,10
8.69,8.74,100,100,10
8.66,8.74,100,100,25
8.70,8.73,100,100,25
8.64,8.74,100,100,25
8.71,8.74,100,100,25
8.68,8.73,100,100,25
8.64,8.73,100,100,50
8.69,8.73,100,100,50
8.77,8.73,100,100,50
8.69,8.73,100,100,50
8.68,8.73,100,100,50
8.63,8.73,100,100,75
8.68,8.74,100,100,75
8.69,8.72,100,100,75
8.68,8.73,100,100,75
8.71,8.72,100,100,75
