Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 46540 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   708 KBytes  5796 Kbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  1.98 MBytes  16606 Kbits/sec   13    350 KBytes       
[  5]   2.00-3.00   sec  1.79 MBytes  15033 Kbits/sec    0    419 KBytes       
[  5]   3.00-4.00   sec  2.39 MBytes  20047 Kbits/sec    0    454 KBytes       
[  5]   4.00-5.00   sec  1.79 MBytes  15030 Kbits/sec    0    454 KBytes       
[  5]   5.00-6.00   sec  2.39 MBytes  20046 Kbits/sec    0    454 KBytes       
[  5]   6.00-7.00   sec  2.39 MBytes  20045 Kbits/sec    0    481 KBytes       
[  5]   7.00-8.00   sec  2.57 MBytes  21547 Kbits/sec    0    542 KBytes       
[  5]   8.00-9.00   sec  2.15 MBytes  18039 Kbits/sec    5    419 KBytes       
[  5]   9.00-10.00  sec  2.33 MBytes  19540 Kbits/sec    0    533 KBytes       
[  5]  10.00-11.00  sec  1.55 MBytes  13024 Kbits/sec    2    402 KBytes       
[  5]  11.00-12.00  sec  2.69 MBytes  22557 Kbits/sec    0    472 KBytes       
[  5]  12.00-13.00  sec  2.33 MBytes  19541 Kbits/sec    0    489 KBytes       
[  5]  13.00-14.00  sec  2.33 MBytes  19544 Kbits/sec    0    489 KBytes       
[  5]  14.00-15.00  sec  2.33 MBytes  19540 Kbits/sec    0    489 KBytes       
[  5]  15.00-16.00  sec  2.33 MBytes  19542 Kbits/sec    0    524 KBytes       
[  5]  16.00-17.00  sec  2.33 MBytes  19542 Kbits/sec    2    516 KBytes       
[  5]  17.00-18.00  sec  2.57 MBytes  21551 Kbits/sec    0    498 KBytes       
[  5]  18.00-19.00  sec  2.33 MBytes  19543 Kbits/sec    0    559 KBytes       
[  5]  19.00-20.00  sec  2.03 MBytes  16998 Kbits/sec    3    428 KBytes       
[  5]  20.00-21.00  sec  2.21 MBytes  18580 Kbits/sec    0    481 KBytes       
[  5]  21.00-22.00  sec  2.33 MBytes  19541 Kbits/sec    0    489 KBytes       
[  5]  22.00-23.00  sec  2.33 MBytes  19544 Kbits/sec    0    489 KBytes       
[  5]  23.00-24.00  sec  2.33 MBytes  19542 Kbits/sec    0    498 KBytes       
[  5]  24.00-25.00  sec  2.33 MBytes  19540 Kbits/sec    0    533 KBytes       
[  5]  25.00-26.00  sec  2.63 MBytes  22051 Kbits/sec    2    419 KBytes       
[  5]  26.00-27.00  sec  2.27 MBytes  19042 Kbits/sec    0    524 KBytes       
[  5]  27.00-28.00  sec  2.33 MBytes  19544 Kbits/sec    2    551 KBytes       
[  5]  28.00-29.00  sec  2.15 MBytes  18040 Kbits/sec    0    463 KBytes       
[  5]  29.00-30.00  sec  2.33 MBytes  19543 Kbits/sec    0    489 KBytes       
[  5]  30.00-31.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  31.00-32.00  sec  2.33 MBytes  19540 Kbits/sec    0    489 KBytes       
[  5]  32.00-33.00  sec  2.33 MBytes  19542 Kbits/sec    0    516 KBytes       
[  5]  33.00-34.00  sec  2.33 MBytes  19542 Kbits/sec    0    568 KBytes       
[  5]  34.00-35.00  sec  1.79 MBytes  15030 Kbits/sec    2    481 KBytes       
[  5]  35.00-36.00  sec  2.33 MBytes  19544 Kbits/sec    0    559 KBytes       
[  5]  36.00-37.00  sec  2.27 MBytes  19041 Kbits/sec    2    428 KBytes       
[  5]  37.00-38.00  sec  2.21 MBytes  18539 Kbits/sec    0    481 KBytes       
[  5]  38.00-39.00  sec  2.33 MBytes  19543 Kbits/sec    0    489 KBytes       
[  5]  39.00-40.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  40.00-41.00  sec  2.33 MBytes  19542 Kbits/sec    0    498 KBytes       
[  5]  41.00-42.00  sec  2.33 MBytes  19542 Kbits/sec    0    533 KBytes       
[  5]  42.00-43.00  sec  2.57 MBytes  21549 Kbits/sec    2    419 KBytes       
[  5]  43.00-44.00  sec  2.27 MBytes  19042 Kbits/sec    0    524 KBytes       
[  5]  44.00-44.55  sec  1.55 MBytes  23746 Kbits/sec    0    559 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-44.55  sec   100 MBytes  18860 Kbits/sec   35             sender
[  5]   0.00-44.79  sec  98.6 MBytes  18461 Kbits/sec                  receiver

iperf Done.
