BBR_latency,CUBIC_latency,Buffer,Bandwidth,rtt
0.02,0.02,100,10,5
0.02,0.02,100,10,5
0.02,0.02,100,10,5
0.02,0.02,100,10,5
0.02,0.02,100,10,5
0.02,0.02,100,10,10
0.02,0.02,100,10,10
0.02,0.02,100,10,10
0.02,0.02,100,10,10
0.02,0.02,100,10,10
0.02,0.02,100,10,25
0.02,0.02,100,10,25
0.02,0.02,100,10,25
0.02,0.02,100,10,25
0.02,0.02,100,10,25
0.07,0.07,100,10,50
0.07,0.07,100,10,50
0.07,0.07,100,10,50
0.07,0.07,100,10,50
0.07,0.07,100,10,50
0.10,0.10,100,10,75
0.10,0.10,100,10,75
0.10,0.10,100,10,75
0.10,0.10,100,10,75
0.10,0.10,100,10,75
0.12,0.12,100,10,100
0.12,0.12,100,10,100
0.12,0.12,100,10,100
0.12,0.12,100,10,100
0.12,0.12,100,10,100
0.17,0.17,100,10,150
0.17,0.17,100,10,150
0.17,0.17,100,10,150
0.17,0.17,100,10,150
0.17,0.17,100,10,150
0.22,0.22,100,10,200
0.22,0.22,100,10,200
0.22,0.22,100,10,200
0.22,0.22,100,10,200
0.22,0.22,100,10,200
0.02,0.02,100,20,5
0.02,0.02,100,20,5
0.02,0.02,100,20,5
0.02,0.02,100,20,5
0.02,0.02,100,20,5
0.02,0.02,100,20,10
0.02,0.02,100,20,10
0.02,0.02,100,20,10
0.02,0.02,100,20,10
0.02,0.02,100,20,10
0.02,0.02,100,20,25
0.02,0.02,100,20,25
0.02,0.02,100,20,25
0.02,0.02,100,20,25
0.02,0.02,100,20,25
0.07,0.07,100,20,50
0.07,0.07,100,20,50
0.07,0.07,100,20,50
0.07,0.07,100,20,50
0.07,0.07,100,20,50
0.10,0.10,100,20,75
0.10,0.10,100,20,75
0.10,0.10,100,20,75
0.10,0.10,100,20,75
0.10,0.10,100,20,75
0.12,0.12,100,20,100
0.12,0.12,100,20,100
0.12,0.12,100,20,100
0.12,0.12,100,20,100
0.12,0.12,100,20,100
0.17,0.17,100,20,150
0.17,0.17,100,20,150
0.17,0.17,100,20,150
0.17,0.17,100,20,150
0.17,0.17,100,20,150
0.22,0.22,100,20,200
0.22,0.22,100,20,200
0.22,0.22,100,20,200
