bufcap,bandwidth,rtt,goodput_gain
100,10,5,0
100,20,5,0
100,50,5,-5
100,100,5,-12
100,250,5,0
100,500,5,6
100,750,5,6
100,1000,5,0
100,10,10,0
100,20,10,0
100,50,10,-3
100,100,10,-1
100,250,10,2
100,500,10,8
100,750,10,9
100,1000,10,4
100,10,25,0
100,20,25,0
100,50,25,-1
100,100,25,0
100,250,25,6
100,500,25,12
100,750,25,14
100,1000,25,12
100,10,50,0
100,20,50,0
100,50,50,-1
100,100,50,3
100,250,50,11
100,500,50,13
100,750,50,14
100,1000,50,16
100,10,75,0
100,20,75,-1
100,50,75,0
100,100,75,6
100,250,75,13
100,500,75,22
100,750,75,16
100,1000,75,13
100,10,100,0
100,20,100,-1
100,50,100,2
100,100,100,7
100,250,100,23
100,500,100,30
100,750,100,28
100,1000,100,23
100,10,150,-1
100,20,150,-2
100,50,150,4
100,100,150,14
100,250,150,60
100,500,150,90
100,750,150,25
100,1000,150,14
100,10,200,0
100,20,200,-3
100,50,200,-1
100,100,200,21
100,250,200,91
100,500,200,115
100,750,200,18
100,1000,200,11
10000,10,5,2
10000,20,5,-4
10000,50,5,3
10000,100,5,2
10000,250,5,32
10000,500,5,3
10000,750,5,-2
10000,1000,5,0
10000,10,10,-25
10000,20,10,4
10000,50,10,6
10000,100,10,12
10000,250,10,-5
10000,500,10,-2
10000,750,10,-2
10000,1000,10,4
10000,10,25,-30
10000,20,25,0
10000,50,25,-8
10000,100,25,0
10000,250,25,-4
10000,500,25,-3
10000,750,25,-3
10000,1000,25,14
10000,10,50,8
10000,20,50,-4
10000,50,50,-7
10000,100,50,-6
10000,250,50,-4
10000,500,50,-4
10000,750,50,-4
10000,1000,50,17
10000,10,75,-9
10000,20,75,-7
10000,50,75,-6
10000,100,75,-8
10000,250,75,-5
10000,500,75,-5
10000,750,75,-5
10000,1000,75,13
10000,10,100,35
10000,20,100,-19
10000,50,100,-7
10000,100,100,-6
10000,250,100,-6
10000,500,100,-6
10000,750,100,-6
10000,1000,100,24
10000,10,150,0
10000,20,150,-33
10000,50,150,-10
10000,100,150,-8
10000,250,150,-8
10000,500,150,-8
10000,750,150,15
10000,1000,150,17
10000,10,200,-34
10000,20,200,-19
10000,50,200,-7
10000,100,200,-7
10000,250,200,-8
10000,500,200,13
10000,750,200,8
10000,1000,200,13
