Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 39620 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   676 KBytes  5535 Kbits/sec    0   99.0 KBytes       
[  4]   1.00-2.00   sec  5.83 MBytes  48926 Kbits/sec    0   2.74 MBytes       
[  4]   2.00-3.00   sec  5.41 MBytes  45357 Kbits/sec    0   3.21 MBytes       
[  4]   3.00-4.00   sec  5.66 MBytes  47430 Kbits/sec    0   3.21 MBytes       
[  4]   4.00-5.00   sec  5.78 MBytes  48485 Kbits/sec    0   3.21 MBytes       
[  4]   5.00-6.00   sec  5.66 MBytes  47505 Kbits/sec    0   3.21 MBytes       
[  4]   6.00-7.00   sec  5.66 MBytes  47443 Kbits/sec    0   3.21 MBytes       
[  4]   7.00-8.00   sec  5.78 MBytes  48482 Kbits/sec    0   3.21 MBytes       
[  4]   8.00-9.00   sec  5.66 MBytes  47446 Kbits/sec    0   3.21 MBytes       
[  4]   9.00-10.00  sec  5.66 MBytes  47442 Kbits/sec    0   3.21 MBytes       
[  4]  10.00-11.00  sec  5.79 MBytes  48542 Kbits/sec    0   3.21 MBytes       
[  4]  11.00-12.00  sec  5.66 MBytes  47444 Kbits/sec    0   3.21 MBytes       
[  4]  12.00-13.00  sec  5.66 MBytes  47444 Kbits/sec    0   3.21 MBytes       
[  4]  13.00-14.00  sec  5.78 MBytes  48482 Kbits/sec    0   3.21 MBytes       
[  4]  14.00-15.00  sec  5.66 MBytes  47506 Kbits/sec    0   3.21 MBytes       
[  4]  15.00-16.00  sec  5.72 MBytes  47961 Kbits/sec    0   3.21 MBytes       
[  4]  16.00-17.00  sec  5.72 MBytes  48026 Kbits/sec    0   3.21 MBytes       
[  4]  17.00-18.00  sec  5.66 MBytes  47443 Kbits/sec    0   3.21 MBytes       
[  4]  18.00-19.00  sec  5.72 MBytes  48022 Kbits/sec    0   3.21 MBytes       
[  4]  19.00-20.00  sec  5.72 MBytes  47962 Kbits/sec    0   3.21 MBytes       
