Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41152 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.25 MBytes  60778 Kbits/sec    0   3.36 MBytes       
[  4]   1.00-2.00   sec  29.4 MBytes  246878 Kbits/sec    0   6.02 MBytes       
[  4]   2.00-3.00   sec  29.4 MBytes  246958 Kbits/sec    0   6.02 MBytes       
[  4]   3.00-4.00   sec  29.5 MBytes  247106 Kbits/sec    0   6.02 MBytes       
[  4]   4.00-5.00   sec  29.0 MBytes  242897 Kbits/sec    0   6.02 MBytes       
[  4]   5.00-6.00   sec  28.1 MBytes  235675 Kbits/sec    0   6.02 MBytes       
[  4]   6.00-7.00   sec  28.6 MBytes  239942 Kbits/sec    0   6.02 MBytes       
[  4]   7.00-8.00   sec  29.0 MBytes  243108 Kbits/sec    0   6.02 MBytes       
[  4]   8.00-9.00   sec  29.0 MBytes  243029 Kbits/sec    0   6.02 MBytes       
[  4]   9.00-10.00  sec  28.6 MBytes  240161 Kbits/sec    0   6.02 MBytes       
[  4]  10.00-11.00  sec  29.0 MBytes  242923 Kbits/sec    0   6.02 MBytes       
[  4]  11.00-12.00  sec  29.4 MBytes  246587 Kbits/sec    0   6.02 MBytes       
[  4]  12.00-13.00  sec  28.4 MBytes  238202 Kbits/sec    0   6.02 MBytes       
[  4]  13.00-14.00  sec  28.9 MBytes  242681 Kbits/sec    0   6.02 MBytes       
[  4]  14.00-15.00  sec  28.6 MBytes  240110 Kbits/sec    0   6.02 MBytes       
[  4]  15.00-16.00  sec  28.6 MBytes  240186 Kbits/sec    0   6.02 MBytes       
[  4]  16.00-17.00  sec  29.0 MBytes  243046 Kbits/sec    0   6.02 MBytes       
[  4]  17.00-18.00  sec  29.3 MBytes  245439 Kbits/sec    0   6.02 MBytes       
[  4]  18.00-19.00  sec  28.6 MBytes  239772 Kbits/sec    0   6.02 MBytes       
[  4]  19.00-20.00  sec  28.9 MBytes  242668 Kbits/sec    0   6.02 MBytes       
[  4]  20.00-21.00  sec  28.9 MBytes  242681 Kbits/sec    0   6.02 MBytes       
[  4]  21.00-22.00  sec  28.6 MBytes  240036 Kbits/sec    0   6.02 MBytes       
[  4]  22.00-23.00  sec  28.9 MBytes  242864 Kbits/sec    0   6.02 MBytes       
[  4]  23.00-24.00  sec  28.6 MBytes  239853 Kbits/sec    0   6.02 MBytes       
[  4]  24.00-25.00  sec  28.6 MBytes  239940 Kbits/sec    0   6.02 MBytes       
[  4]  25.00-26.00  sec  28.9 MBytes  242728 Kbits/sec    0   6.02 MBytes       
[  4]  26.00-27.00  sec  29.3 MBytes  245732 Kbits/sec    0   6.02 MBytes       
[  4]  27.00-28.00  sec  28.7 MBytes  240306 Kbits/sec    0   6.02 MBytes       
[  4]  28.00-29.00  sec  29.0 MBytes  242961 Kbits/sec    0   6.02 MBytes       
[  4]  29.00-30.00  sec  28.6 MBytes  239671 Kbits/sec    0   6.02 MBytes       
[  4]  30.00-31.00  sec  28.6 MBytes  240050 Kbits/sec    0   6.02 MBytes       
[  4]  31.00-32.00  sec  28.9 MBytes  242808 Kbits/sec    0   6.02 MBytes       
[  4]  32.00-33.00  sec  29.0 MBytes  242871 Kbits/sec    0   6.02 MBytes       
[  4]  33.00-34.00  sec  28.6 MBytes  239794 Kbits/sec    0   6.02 MBytes       
[  4]  34.00-35.00  sec  29.0 MBytes  242932 Kbits/sec    0   6.02 MBytes       
[  4]  35.00-36.00  sec  29.0 MBytes  242940 Kbits/sec    0   6.02 MBytes       
[  4]  36.00-37.00  sec  28.6 MBytes  240148 Kbits/sec    0   6.02 MBytes       
[  4]  37.00-38.00  sec  29.0 MBytes  242944 Kbits/sec    0   6.02 MBytes       
[  4]  38.00-39.00  sec  29.0 MBytes  242926 Kbits/sec    0   6.02 MBytes       
[  4]  39.00-40.00  sec  28.6 MBytes  239930 Kbits/sec    0   6.02 MBytes       
[  4]  40.00-41.00  sec  28.9 MBytes  242734 Kbits/sec    0   6.02 MBytes       
[  4]  41.00-42.00  sec  28.9 MBytes  242612 Kbits/sec    0   6.02 MBytes       
[  4]  42.00-43.00  sec  28.6 MBytes  239528 Kbits/sec    0   6.02 MBytes       
[  4]  43.00-44.00  sec  28.9 MBytes  242794 Kbits/sec    0   6.02 MBytes       
[  4]  44.00-45.00  sec  28.8 MBytes  241136 Kbits/sec    0   6.02 MBytes       
[  4]  45.00-46.00  sec  28.8 MBytes  241153 Kbits/sec    0   6.02 MBytes       
[  4]  46.00-47.00  sec  28.9 MBytes  242766 Kbits/sec    0   6.02 MBytes       
[  4]  47.00-48.00  sec  29.0 MBytes  243456 Kbits/sec    0   6.02 MBytes       
[  4]  48.00-49.00  sec  28.6 MBytes  240168 Kbits/sec    0   6.02 MBytes       
[  4]  49.00-50.00  sec  28.9 MBytes  242618 Kbits/sec    0   6.02 MBytes       
[  4]  50.00-51.00  sec  28.9 MBytes  242773 Kbits/sec    0   6.02 MBytes       
[  4]  51.00-52.00  sec  28.6 MBytes  240065 Kbits/sec    0   6.02 MBytes       
[  4]  52.00-53.00  sec  29.0 MBytes  243087 Kbits/sec    0   6.02 MBytes       
[  4]  53.00-54.00  sec  28.9 MBytes  242795 Kbits/sec    0   6.02 MBytes       
[  4]  54.00-55.00  sec  28.6 MBytes  239883 Kbits/sec    0   6.02 MBytes       
[  4]  55.00-56.00  sec  29.0 MBytes  242929 Kbits/sec    0   6.02 MBytes       
[  4]  56.00-57.00  sec  29.0 MBytes  242943 Kbits/sec    0   6.02 MBytes       
[  4]  57.00-58.00  sec  28.6 MBytes  240233 Kbits/sec    0   6.02 MBytes       
[  4]  58.00-59.00  sec  28.9 MBytes  242607 Kbits/sec    0   6.02 MBytes       
[  4]  59.00-60.00  sec  28.9 MBytes  242545 Kbits/sec    0   6.02 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  1.67 GBytes  239017 Kbits/sec    0             sender
[  4]   0.00-60.00  sec  1.67 GBytes  238887 Kbits/sec                  receiver

iperf Done.
