Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 51958 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  3.10 MBytes  25978 Kbits/sec    0    489 KBytes       
[  4]   1.00-2.00   sec  11.0 MBytes  91912 Kbits/sec   59   7.22 MBytes       
[  4]   2.00-3.00   sec  11.2 MBytes  94379 Kbits/sec  283   6.45 MBytes       
[  4]   3.00-4.00   sec  16.6 MBytes  139480 Kbits/sec    0   6.33 MBytes       
[  4]   4.00-5.00   sec  16.7 MBytes  139967 Kbits/sec    0   6.40 MBytes       
[  4]   5.00-6.00   sec  16.6 MBytes  138968 Kbits/sec    0   6.42 MBytes       
[  4]   6.00-7.00   sec  16.7 MBytes  140468 Kbits/sec    0   6.33 MBytes       
[  4]   7.00-8.00   sec  16.6 MBytes  138968 Kbits/sec    0   6.43 MBytes       
[  4]   8.00-9.00   sec  16.7 MBytes  139967 Kbits/sec    0   6.38 MBytes       
[  4]   9.00-10.00  sec  16.6 MBytes  138967 Kbits/sec    0   6.33 MBytes       
[  4]  10.00-11.00  sec  16.7 MBytes  139967 Kbits/sec    0   6.38 MBytes       
[  4]  11.00-12.00  sec  16.4 MBytes  137897 Kbits/sec    0   35.0 KBytes       
[  4]  12.00-13.00  sec  10.1 MBytes  85069 Kbits/sec    0   6.31 MBytes       
[  4]  13.00-14.00  sec  16.2 MBytes  136288 Kbits/sec    0   6.35 MBytes       
[  4]  14.00-15.00  sec  17.0 MBytes  142530 Kbits/sec    0   6.31 MBytes       
[  4]  15.00-16.00  sec  16.3 MBytes  136969 Kbits/sec    0   6.42 MBytes       
[  4]  16.00-17.00  sec  17.0 MBytes  142466 Kbits/sec    0   6.33 MBytes       
[  4]  17.00-18.00  sec  16.2 MBytes  136294 Kbits/sec    0   6.43 MBytes       
[  4]  18.00-19.00  sec  17.0 MBytes  142530 Kbits/sec    0   6.35 MBytes       
[  4]  19.00-20.00  sec  16.4 MBytes  137469 Kbits/sec    0   6.35 MBytes       
[  4]  20.00-21.00  sec  16.9 MBytes  141466 Kbits/sec    0   6.37 MBytes       
[  4]  21.00-22.00  sec  16.4 MBytes  137470 Kbits/sec    0   6.43 MBytes       
[  4]  22.00-23.00  sec  16.9 MBytes  141965 Kbits/sec    0   6.37 MBytes       
[  4]  23.00-24.00  sec  16.2 MBytes  136302 Kbits/sec    0   6.43 MBytes       
[  4]  24.00-25.00  sec  17.0 MBytes  142520 Kbits/sec    0   6.35 MBytes       
[  4]  25.00-26.00  sec  9.79 MBytes  82098 Kbits/sec    0   6.43 MBytes       
[  4]  26.00-27.00  sec  16.9 MBytes  141977 Kbits/sec    0   6.35 MBytes       
[  4]  27.00-28.00  sec  16.3 MBytes  137003 Kbits/sec    0   6.43 MBytes       
[  4]  28.00-29.00  sec  16.9 MBytes  141966 Kbits/sec    0   6.35 MBytes       
[  4]  29.00-30.00  sec  16.4 MBytes  137469 Kbits/sec    0   6.35 MBytes       
[  4]  30.00-31.00  sec  16.9 MBytes  141967 Kbits/sec    0   6.37 MBytes       
[  4]  31.00-32.00  sec  16.2 MBytes  136294 Kbits/sec    0   6.43 MBytes       
[  4]  32.00-33.00  sec  17.0 MBytes  142529 Kbits/sec    0   6.35 MBytes       
[  4]  33.00-34.00  sec  16.4 MBytes  137469 Kbits/sec    0   6.43 MBytes       
[  4]  34.00-35.00  sec  16.9 MBytes  141966 Kbits/sec    0   6.35 MBytes       
[  4]  35.00-36.00  sec  16.2 MBytes  136296 Kbits/sec    0   6.43 MBytes       
[  4]  36.00-37.00  sec  17.0 MBytes  142528 Kbits/sec    0   6.33 MBytes       
[  4]  37.00-38.00  sec  16.4 MBytes  137470 Kbits/sec    0   6.43 MBytes       
[  4]  38.00-39.00  sec  16.9 MBytes  141465 Kbits/sec    0   6.37 MBytes       
[  4]  39.00-40.00  sec  16.4 MBytes  137469 Kbits/sec    0   6.35 MBytes       
[  4]  40.00-41.00  sec  16.9 MBytes  141966 Kbits/sec    0   6.37 MBytes       
[  4]  41.00-42.00  sec  16.2 MBytes  136316 Kbits/sec    0   6.43 MBytes       
[  4]  42.00-43.00  sec  17.0 MBytes  142506 Kbits/sec    0   6.35 MBytes       
[  4]  43.00-44.00  sec  16.4 MBytes  137469 Kbits/sec    0   6.43 MBytes       
[  4]  44.00-45.00  sec  16.9 MBytes  141466 Kbits/sec    0   6.37 MBytes       
[  4]  45.00-46.00  sec  16.4 MBytes  137468 Kbits/sec    0   6.43 MBytes       
