Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52496 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  21.3 MBytes  178253 Kbits/sec  466   2.71 MBytes       
[  4]   1.00-2.00   sec  45.5 MBytes  381988 Kbits/sec   95   6.50 MBytes       
[  4]   2.00-3.00   sec  57.1 MBytes  478866 Kbits/sec    0   6.50 MBytes       
[  4]   3.00-4.00   sec  57.0 MBytes  478383 Kbits/sec    0   6.49 MBytes       
[  4]   4.00-5.00   sec  57.0 MBytes  478377 Kbits/sec    0   6.47 MBytes       
[  4]   5.00-6.00   sec  57.0 MBytes  477845 Kbits/sec    0   6.50 MBytes       
[  4]   6.00-7.00   sec  57.1 MBytes  478881 Kbits/sec    0   6.49 MBytes       
[  4]   7.00-8.00   sec  57.0 MBytes  477843 Kbits/sec    0   6.49 MBytes       
[  4]   8.00-9.00   sec  57.0 MBytes  477911 Kbits/sec    0   6.50 MBytes       
[  4]   9.00-10.00  sec  57.0 MBytes  478343 Kbits/sec    0   6.49 MBytes       
[  4]  10.00-11.00  sec  39.9 MBytes  334538 Kbits/sec    0   6.49 MBytes       
[  4]  11.00-12.00  sec  56.7 MBytes  475393 Kbits/sec    0   6.50 MBytes       
[  4]  12.00-13.00  sec  57.0 MBytes  477869 Kbits/sec    0   6.50 MBytes       
[  4]  13.00-14.00  sec  57.0 MBytes  478382 Kbits/sec    0   6.50 MBytes       
[  4]  14.00-15.00  sec  57.0 MBytes  478375 Kbits/sec    0   6.50 MBytes       
[  4]  15.00-16.00  sec  57.0 MBytes  477843 Kbits/sec    0   6.50 MBytes       
[  4]  16.00-17.00  sec  57.1 MBytes  478873 Kbits/sec    0   6.50 MBytes       
[  4]  17.00-18.00  sec  57.0 MBytes  478347 Kbits/sec    0   6.50 MBytes       
[  4]  18.00-19.00  sec  57.0 MBytes  478374 Kbits/sec    0   6.50 MBytes       
[  4]  19.00-20.00  sec  57.0 MBytes  478377 Kbits/sec    0   6.50 MBytes       
