iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 07:20:06 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 46800 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   135 MBytes  1131761 Kbits/sec    0   1020 KBytes       
[  4]   1.00-2.00   sec  12.5 MBytes  104865 Kbits/sec    0   1.56 MBytes       
[  4]   2.00-3.00   sec  11.2 MBytes  94367 Kbits/sec    0   2.13 MBytes       
[  4]   3.00-4.00   sec  11.2 MBytes  94365 Kbits/sec    0   2.70 MBytes       
[  4]   4.00-5.00   sec  11.2 MBytes  94376 Kbits/sec    0   3.27 MBytes       
[  4]   5.00-6.00   sec  12.5 MBytes  104865 Kbits/sec    0   3.84 MBytes       
[  4]   6.00-7.00   sec  11.2 MBytes  94369 Kbits/sec    0   4.41 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  94369 Kbits/sec    0   4.98 MBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  94371 Kbits/sec    0   5.55 MBytes       
[  4]   9.00-10.00  sec  12.5 MBytes  104853 Kbits/sec    0   6.12 MBytes       
[  4]  10.00-11.00  sec  11.2 MBytes  94380 Kbits/sec    0   6.69 MBytes       
[  4]  11.00-12.00  sec  11.2 MBytes  94372 Kbits/sec    0   7.26 MBytes       
[  4]  12.00-13.00  sec  11.2 MBytes  94371 Kbits/sec    0   7.83 MBytes       
[  4]  13.00-14.00  sec  11.2 MBytes  94371 Kbits/sec    0   8.40 MBytes       
[  4]  14.00-15.00  sec  11.2 MBytes  94371 Kbits/sec    0   8.96 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94367 Kbits/sec    0   9.53 MBytes       
[  4]  16.00-17.00  sec  11.2 MBytes  94374 Kbits/sec    0   10.1 MBytes       
[  4]  17.00-18.00  sec  12.5 MBytes  104862 Kbits/sec    0   10.7 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10476 Kbits/sec  376   7.49 MBytes       
[  4]  19.00-20.00  sec  21.2 MBytes  178427 Kbits/sec    0   7.56 MBytes       
[  4]  20.00-21.00  sec  11.2 MBytes  94371 Kbits/sec    0   7.94 MBytes       
[  4]  21.00-22.00  sec  11.2 MBytes  94372 Kbits/sec    0   8.36 MBytes       
[  4]  22.00-23.00  sec  11.2 MBytes  94369 Kbits/sec    0   8.74 MBytes       
[  4]  23.00-24.00  sec  11.2 MBytes  94375 Kbits/sec    0   9.09 MBytes       
[  4]  24.00-25.00  sec  11.2 MBytes  94371 Kbits/sec    0   9.39 MBytes       
[  4]  25.00-26.00  sec  11.2 MBytes  94369 Kbits/sec    0   9.66 MBytes       
[  4]  26.00-27.00  sec  12.5 MBytes  104862 Kbits/sec    0   9.88 MBytes       
[  4]  27.00-28.00  sec  11.2 MBytes  94367 Kbits/sec    0   10.1 MBytes       
[  4]  28.00-29.00  sec  11.2 MBytes  94378 Kbits/sec    0   10.2 MBytes       
[  4]  29.00-30.00  sec  6.25 MBytes  52406 Kbits/sec   43   8.86 MBytes       
[  4]  30.00-31.00  sec  10.0 MBytes  83915 Kbits/sec   47   7.22 MBytes       
[  4]  31.00-32.00  sec  17.5 MBytes  146804 Kbits/sec    0   7.37 MBytes       
[  4]  32.00-33.00  sec  11.2 MBytes  94367 Kbits/sec    0   7.62 MBytes       
[  4]  33.00-34.00  sec  11.2 MBytes  94376 Kbits/sec    0   7.85 MBytes       
[  4]  34.00-35.00  sec  12.5 MBytes  104861 Kbits/sec    0   8.06 MBytes       
[  4]  35.00-36.00  sec  11.2 MBytes  94378 Kbits/sec    0   8.23 MBytes       
[  4]  36.00-37.00  sec  11.2 MBytes  94369 Kbits/sec    0   8.38 MBytes       
[  4]  37.00-38.00  sec  11.2 MBytes  94372 Kbits/sec    0   8.49 MBytes       
[  4]  38.00-39.00  sec  11.2 MBytes  94373 Kbits/sec    0   8.58 MBytes       
[  4]  39.00-40.00  sec  11.2 MBytes  94374 Kbits/sec    0   8.65 MBytes       
[  4]  40.00-41.00  sec  11.2 MBytes  94367 Kbits/sec    0   8.70 MBytes       
[  4]  41.00-42.00  sec  11.2 MBytes  94376 Kbits/sec    0   8.73 MBytes       
[  4]  42.00-43.00  sec  11.2 MBytes  94367 Kbits/sec    0   8.75 MBytes       
[  4]  43.00-44.00  sec  12.5 MBytes  104862 Kbits/sec    0   8.76 MBytes       
[  4]  44.00-45.00  sec  11.2 MBytes  94369 Kbits/sec    0   8.77 MBytes       
[  4]  45.00-46.00  sec  11.2 MBytes  94374 Kbits/sec    0   8.77 MBytes       
[  4]  46.00-47.00  sec  11.2 MBytes  94370 Kbits/sec    0   8.77 MBytes       
[  4]  47.00-48.00  sec  11.2 MBytes  94372 Kbits/sec    0   8.78 MBytes       
