iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 12:52:45 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 48202 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089063 Kbits/sec    0    120 KBytes       
[  4]   1.00-2.00   sec  3.75 MBytes  31482 Kbits/sec    0   3.39 MBytes       
[  4]   2.00-3.00   sec  50.0 MBytes  419421 Kbits/sec  5672   41.5 MBytes       
[  4]   3.00-4.00   sec  76.2 MBytes  639663 Kbits/sec  29197   35.3 MBytes       
[  4]   4.00-5.00   sec   102 MBytes  859844 Kbits/sec    0   34.6 MBytes       
[  4]   5.00-6.00   sec  85.0 MBytes  713012 Kbits/sec    0   34.6 MBytes       
[  4]   6.00-7.00   sec  85.0 MBytes  712989 Kbits/sec    0   34.6 MBytes       
[  4]   7.00-8.00   sec  85.0 MBytes  713052 Kbits/sec    0   34.6 MBytes       
[  4]   8.00-9.00   sec  86.2 MBytes  723527 Kbits/sec    0   34.6 MBytes       
[  4]   9.00-10.00  sec  85.0 MBytes  713008 Kbits/sec    0   34.6 MBytes       
[  4]  10.00-11.00  sec  85.0 MBytes  713057 Kbits/sec    0   34.6 MBytes       
[  4]  11.00-12.00  sec  85.0 MBytes  713062 Kbits/sec    0   34.6 MBytes       
[  4]  12.00-13.00  sec  55.0 MBytes  461201 Kbits/sec    4   5.66 KBytes       
[  4]  13.00-14.00  sec  56.2 MBytes  471993 Kbits/sec  839   42.9 MBytes       
[  4]  14.00-15.00  sec  83.8 MBytes  702547 Kbits/sec    0   42.9 MBytes       
[  4]  15.00-16.00  sec  82.5 MBytes  692061 Kbits/sec    0   42.9 MBytes       
[  4]  16.00-17.00  sec  85.0 MBytes  712947 Kbits/sec    0   42.9 MBytes       
[  4]  17.00-18.00  sec  83.8 MBytes  702612 Kbits/sec    0   42.9 MBytes       
