iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 12:08:30 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 48016 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   175 MBytes  1467117 Kbits/sec    0   12.6 MBytes       
[  4]   1.00-2.00   sec  87.5 MBytes  734199 Kbits/sec    0   8.82 MBytes       
[  4]   2.00-3.00   sec  85.0 MBytes  713003 Kbits/sec    0   8.84 MBytes       
[  4]   3.00-4.00   sec  85.0 MBytes  712945 Kbits/sec    0   8.84 MBytes       
[  4]   4.00-5.00   sec  86.2 MBytes  723559 Kbits/sec    0   8.83 MBytes       
[  4]   5.00-6.00   sec  85.0 MBytes  713093 Kbits/sec    0   8.85 MBytes       
[  4]   6.00-7.00   sec  85.0 MBytes  712935 Kbits/sec    0   8.84 MBytes       
[  4]   7.00-8.00   sec  86.2 MBytes  723518 Kbits/sec    0   8.86 MBytes       
[  4]   8.00-9.00   sec  85.0 MBytes  713067 Kbits/sec    0   8.85 MBytes       
[  4]   9.00-10.00  sec  85.0 MBytes  712962 Kbits/sec    0   8.85 MBytes       
[  4]  10.00-11.00  sec  60.0 MBytes  503381 Kbits/sec    0   8.85 MBytes       
[  4]  11.00-12.00  sec  85.0 MBytes  712886 Kbits/sec    0   8.90 MBytes       
[  4]  12.00-13.00  sec  85.0 MBytes  713054 Kbits/sec    0   8.87 MBytes       
[  4]  13.00-14.00  sec  86.2 MBytes  723549 Kbits/sec    0   8.83 MBytes       
[  4]  14.00-15.00  sec  85.0 MBytes  713049 Kbits/sec    0   8.83 MBytes       
[  4]  15.00-16.00  sec  85.0 MBytes  713101 Kbits/sec    0   8.82 MBytes       
[  4]  16.00-17.00  sec  86.2 MBytes  723423 Kbits/sec    0   8.84 MBytes       
[  4]  17.00-18.00  sec  85.0 MBytes  713131 Kbits/sec    0   8.83 MBytes       
[  4]  18.00-19.00  sec  85.0 MBytes  712873 Kbits/sec    0   8.83 MBytes       
[  4]  19.00-20.00  sec  86.2 MBytes  723716 Kbits/sec    0   8.84 MBytes       
[  4]  20.00-21.00  sec  85.0 MBytes  712877 Kbits/sec    0   5.66 KBytes       
[  4]  21.00-22.00  sec  58.8 MBytes  492938 Kbits/sec    0   8.91 MBytes       
[  4]  22.00-23.00  sec  85.0 MBytes  712929 Kbits/sec    0   8.87 MBytes       
[  4]  23.00-24.00  sec  86.2 MBytes  723432 Kbits/sec    0   8.84 MBytes       
[  4]  24.00-25.00  sec  85.0 MBytes  713065 Kbits/sec    0   8.86 MBytes       
[  4]  25.00-26.00  sec  85.0 MBytes  713192 Kbits/sec    0   8.85 MBytes       
[  4]  26.00-27.00  sec  85.0 MBytes  713102 Kbits/sec    0   8.84 MBytes       
[  4]  27.00-28.00  sec  86.2 MBytes  723305 Kbits/sec    0   8.86 MBytes       
[  4]  28.00-29.00  sec  85.0 MBytes  713059 Kbits/sec    0   8.87 MBytes       
[  4]  29.00-30.00  sec  85.0 MBytes  713040 Kbits/sec    0   8.84 MBytes       
[  4]  30.00-31.00  sec  86.2 MBytes  723399 Kbits/sec    0   8.86 MBytes       
[  4]  31.00-32.00  sec  58.8 MBytes  492886 Kbits/sec    0   8.87 MBytes       
[  4]  32.00-33.00  sec  86.2 MBytes  723447 Kbits/sec    0   8.86 MBytes       
[  4]  33.00-34.00  sec  85.0 MBytes  713042 Kbits/sec    0   8.84 MBytes       
[  4]  34.00-35.00  sec  85.0 MBytes  713207 Kbits/sec    0   8.86 MBytes       
[  4]  35.00-36.00  sec  85.0 MBytes  712854 Kbits/sec    0   8.87 MBytes       
[  4]  36.00-37.00  sec  86.2 MBytes  723567 Kbits/sec    0   8.86 MBytes       
[  4]  37.00-38.00  sec  85.0 MBytes  713167 Kbits/sec    0   8.88 MBytes       
[  4]  38.00-39.00  sec  85.0 MBytes  712928 Kbits/sec    0   8.88 MBytes       
