iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 00:43:53 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 45176 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   145 MBytes  1215841 Kbits/sec  3643   10.3 MBytes       
[  4]   1.00-2.00   sec   118 MBytes  985547 Kbits/sec  19718   17.1 MBytes       
[  4]   2.00-3.00   sec   108 MBytes  901681 Kbits/sec    0   18.8 MBytes       
[  4]   3.00-4.00   sec   109 MBytes  912475 Kbits/sec    0   20.3 MBytes       
[  4]   4.00-5.00   sec   108 MBytes  901635 Kbits/sec    0   21.8 MBytes       
[  4]   5.00-6.00   sec  95.0 MBytes  796903 Kbits/sec  3532   17.7 MBytes       
[  4]   6.00-7.00   sec   125 MBytes  1048812 Kbits/sec  2666   17.7 MBytes       
[  4]   7.00-8.00   sec   104 MBytes  869949 Kbits/sec  2864   8.97 MBytes       
[  4]   8.00-9.00   sec   111 MBytes  933504 Kbits/sec  1118   9.32 MBytes       
[  4]   9.00-10.00  sec   116 MBytes  975098 Kbits/sec  1903   8.52 MBytes       
[  4]  10.00-11.00  sec   106 MBytes  891486 Kbits/sec  1960   5.66 KBytes       
[  4]  11.00-12.00  sec  85.0 MBytes  712908 Kbits/sec  622   17.6 MBytes       
[  4]  12.00-13.00  sec   106 MBytes  891212 Kbits/sec  3135   17.7 MBytes       
[  4]  13.00-14.00  sec   106 MBytes  891477 Kbits/sec  2471   9.55 MBytes       
[  4]  14.00-15.00  sec   112 MBytes  943558 Kbits/sec  1938   17.7 MBytes       
[  4]  15.00-16.00  sec   110 MBytes  922704 Kbits/sec  1788   17.6 MBytes       
[  4]  16.00-17.00  sec   112 MBytes  943724 Kbits/sec  1681   8.55 MBytes       
[  4]  17.00-18.00  sec   109 MBytes  912556 Kbits/sec  1601   17.7 MBytes       
[  4]  18.00-19.00  sec   115 MBytes  964470 Kbits/sec  2493   17.8 MBytes       
[  4]  19.00-20.00  sec   108 MBytes  901793 Kbits/sec  1979   17.7 MBytes       
[  4]  20.00-21.00  sec   110 MBytes  922814 Kbits/sec  2806   17.7 MBytes       
[  4]  21.00-22.00  sec  52.5 MBytes  440404 Kbits/sec  200   17.7 MBytes       
[  4]  22.00-23.00  sec   110 MBytes  922808 Kbits/sec  2443   19.2 MBytes       
[  4]  23.00-24.00  sec   112 MBytes  943590 Kbits/sec  1520   17.7 MBytes       
[  4]  24.00-25.00  sec   110 MBytes  922684 Kbits/sec  2433   8.72 MBytes       
[  4]  25.00-26.00  sec   105 MBytes  880903 Kbits/sec  1613   8.55 MBytes       
[  4]  26.00-27.00  sec   111 MBytes  933105 Kbits/sec  3410   15.2 MBytes       
[  4]  27.00-28.00  sec   109 MBytes  912353 Kbits/sec  1714   8.88 MBytes       
[  4]  28.00-29.00  sec   118 MBytes  985561 Kbits/sec  2097   17.7 MBytes       
[  4]  29.00-30.00  sec   104 MBytes  870316 Kbits/sec  2855   17.7 MBytes       
[  4]  30.00-31.00  sec   111 MBytes  933712 Kbits/sec  3652   17.7 MBytes       
[  4]  31.00-32.00  sec   109 MBytes  911741 Kbits/sec  1572   5.66 KBytes       
[  4]  32.00-33.00  sec  51.2 MBytes  429939 Kbits/sec  1879   17.7 MBytes       
[  4]  33.00-34.00  sec   112 MBytes  943860 Kbits/sec  3121   14.5 MBytes       
[  4]  34.00-35.00  sec   109 MBytes  912102 Kbits/sec  2275   8.68 MBytes       
[  4]  35.00-36.00  sec   112 MBytes  943764 Kbits/sec  1119   17.7 MBytes       
[  4]  36.00-37.00  sec   112 MBytes  943642 Kbits/sec  2993   17.6 MBytes       
[  4]  37.00-38.00  sec   110 MBytes  922792 Kbits/sec  1903   17.6 MBytes       
[  4]  38.00-39.00  sec   110 MBytes  922697 Kbits/sec  1959   17.6 MBytes       
[  4]  39.00-40.00  sec   119 MBytes  996399 Kbits/sec  1824   10.2 MBytes       
[  4]  40.00-41.00  sec   102 MBytes  859676 Kbits/sec  3176   17.7 MBytes       
[  4]  41.00-42.00  sec   111 MBytes  933258 Kbits/sec  3110   17.7 MBytes       
[  4]  42.00-43.00  sec  77.5 MBytes  650103 Kbits/sec  1286   17.6 MBytes       
[  4]  43.00-44.00  sec   110 MBytes  923194 Kbits/sec  1569   16.9 MBytes       
[  4]  44.00-45.00  sec   111 MBytes  932691 Kbits/sec  2277   9.83 MBytes       
[  4]  45.00-46.00  sec   111 MBytes  933393 Kbits/sec  3482   17.7 MBytes       
[  4]  46.00-47.00  sec   118 MBytes  985620 Kbits/sec  3051   16.7 MBytes       
[  4]  47.00-48.00  sec   106 MBytes  891316 Kbits/sec  1979   17.7 MBytes       
[  4]  48.00-49.00  sec   114 MBytes  954111 Kbits/sec  2742   8.56 MBytes       
[  4]  49.00-50.00  sec   106 MBytes  891301 Kbits/sec  2865   17.7 MBytes       
[  4]  50.00-51.00  sec   111 MBytes  933394 Kbits/sec  3274   17.7 MBytes       
[  4]  51.00-52.00  sec   111 MBytes  933302 Kbits/sec  1906   11.5 MBytes       
[  4]  52.00-53.00  sec  88.8 MBytes  744135 Kbits/sec  2008   5.66 KBytes       
[  4]  53.00-54.00  sec   102 MBytes  860198 Kbits/sec  3035   17.7 MBytes       
[  4]  54.00-55.00  sec   100 MBytes  838768 Kbits/sec  2478   17.8 MBytes       
[  4]  55.00-56.00  sec   124 MBytes  1038166 Kbits/sec  1702   8.71 MBytes       
[  4]  56.00-57.00  sec   109 MBytes  912155 Kbits/sec  1596   8.55 MBytes       
[  4]  57.00-58.00  sec   106 MBytes  891313 Kbits/sec  3878   17.7 MBytes       
[  4]  58.00-59.00  sec   112 MBytes  943750 Kbits/sec  1838   15.1 MBytes       
[  4]  59.00-60.00  sec   115 MBytes  964704 Kbits/sec  2132   9.85 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  6.30 GBytes  902118 Kbits/sec  147884             sender
[  4]   0.00-60.00  sec  6.17 GBytes  884017 Kbits/sec                  receiver
CPU Utilization: local/sender 4.2% (0.2%u/4.0%s), remote/receiver 22.0% (3.0%u/19.0%s)

iperf Done.
