iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 18:04:06 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 43482 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   138 MBytes  1152741 Kbits/sec  1935    731 KBytes       
[  4]   1.00-2.00   sec  11.2 MBytes  94365 Kbits/sec   66   1.24 MBytes       
[  4]   2.00-3.00   sec  11.2 MBytes  94381 Kbits/sec    0   1.16 MBytes       
[  4]   3.00-4.00   sec  11.2 MBytes  94369 Kbits/sec   84    710 KBytes       
[  4]   4.00-5.00   sec  11.2 MBytes  94364 Kbits/sec  284   1.22 MBytes       
[  4]   5.00-6.00   sec  11.2 MBytes  94386 Kbits/sec  246    625 KBytes       
[  4]   6.00-7.00   sec  12.5 MBytes  104854 Kbits/sec  121   1.21 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  94372 Kbits/sec  208    837 KBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  94378 Kbits/sec  152   1.21 MBytes       
[  4]   9.00-10.00  sec  11.2 MBytes  94384 Kbits/sec  287   1.21 MBytes       
[  4]  10.00-11.00  sec  10.0 MBytes  83856 Kbits/sec   98   5.66 KBytes       
[  4]  11.00-12.00  sec  10.0 MBytes  83903 Kbits/sec  175   1.22 MBytes       
[  4]  12.00-13.00  sec  11.2 MBytes  94382 Kbits/sec  290    641 KBytes       
[  4]  13.00-14.00  sec  11.2 MBytes  94357 Kbits/sec  167   1.21 MBytes       
[  4]  14.00-15.00  sec  11.2 MBytes  94370 Kbits/sec  220   1.22 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94375 Kbits/sec  150   1.22 MBytes       
[  4]  16.00-17.00  sec  11.2 MBytes  94388 Kbits/sec  228    632 KBytes       
[  4]  17.00-18.00  sec  11.2 MBytes  94365 Kbits/sec  235   1.21 MBytes       
[  4]  18.00-19.00  sec  11.2 MBytes  94365 Kbits/sec  315   1.20 MBytes       
[  4]  19.00-20.00  sec  11.2 MBytes  94371 Kbits/sec  223   1.23 MBytes       
