iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 18:21:01 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 43554 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   134 MBytes  1121585 Kbits/sec  1458   1.83 MBytes       
[  4]   1.00-2.00   sec  12.5 MBytes  104854 Kbits/sec  571   1.77 MBytes       
[  4]   2.00-3.00   sec  11.2 MBytes  94371 Kbits/sec  322   1.78 MBytes       
[  4]   3.00-4.00   sec  12.5 MBytes  104838 Kbits/sec  386   1.77 MBytes       
[  4]   4.00-5.00   sec  10.0 MBytes  83901 Kbits/sec  394    990 KBytes       
[  4]   5.00-6.00   sec  11.2 MBytes  94348 Kbits/sec  158    979 KBytes       
[  4]   6.00-7.00   sec  12.5 MBytes  104879 Kbits/sec  221   1.78 MBytes       
[  4]   7.00-8.00   sec  12.5 MBytes  104852 Kbits/sec  213   1.79 MBytes       
[  4]   8.00-9.00   sec  10.0 MBytes  83881 Kbits/sec  199   1.77 MBytes       
[  4]   9.00-10.00  sec  12.5 MBytes  104858 Kbits/sec  255   1.78 MBytes       
[  4]  10.00-11.00  sec  11.2 MBytes  94327 Kbits/sec  181   1.78 MBytes       
[  4]  11.00-12.00  sec  8.75 MBytes  73406 Kbits/sec  141   1.78 MBytes       
[  4]  12.00-13.00  sec  11.2 MBytes  94366 Kbits/sec  289   1.78 MBytes       
[  4]  13.00-14.00  sec  10.0 MBytes  83882 Kbits/sec  157   1.25 MBytes       
[  4]  14.00-15.00  sec  12.5 MBytes  104866 Kbits/sec  199   1.78 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94376 Kbits/sec  325   1.78 MBytes       
[  4]  16.00-17.00  sec  10.0 MBytes  83876 Kbits/sec  270    963 KBytes       
[  4]  17.00-18.00  sec  12.5 MBytes  104869 Kbits/sec   93    990 KBytes       
[  4]  18.00-19.00  sec  11.2 MBytes  94372 Kbits/sec  181   1.78 MBytes       
[  4]  19.00-20.00  sec  11.2 MBytes  94369 Kbits/sec  314   1.79 MBytes       
[  4]  20.00-21.00  sec  10.0 MBytes  83885 Kbits/sec  167   1.27 MBytes       
[  4]  21.00-22.00  sec  8.75 MBytes  73404 Kbits/sec  290   1.78 MBytes       
[  4]  22.00-23.00  sec  11.2 MBytes  94380 Kbits/sec  240    943 KBytes       
[  4]  23.00-24.00  sec  11.2 MBytes  94370 Kbits/sec   78   1.80 MBytes       
[  4]  24.00-25.00  sec  11.2 MBytes  94381 Kbits/sec  220   1.79 MBytes       
[  4]  25.00-26.00  sec  11.2 MBytes  94397 Kbits/sec  310   1.26 MBytes       
[  4]  26.00-27.00  sec  11.2 MBytes  94353 Kbits/sec  191   1.79 MBytes       
[  4]  27.00-28.00  sec  11.2 MBytes  94374 Kbits/sec  298   1.78 MBytes       
[  4]  28.00-29.00  sec  11.2 MBytes  94395 Kbits/sec  341   1.78 MBytes       
[  4]  29.00-30.00  sec  11.2 MBytes  94354 Kbits/sec  186   1004 KBytes       
[  4]  30.00-31.00  sec  11.2 MBytes  94402 Kbits/sec  167    976 KBytes       
[  4]  31.00-32.00  sec  11.2 MBytes  94349 Kbits/sec  257   5.66 KBytes       
[  4]  32.00-33.00  sec  7.50 MBytes  62921 Kbits/sec  124   1.79 MBytes       
[  4]  33.00-34.00  sec  11.2 MBytes  94372 Kbits/sec  311   1.79 MBytes       
[  4]  34.00-35.00  sec  11.2 MBytes  94386 Kbits/sec  321   1.78 MBytes       
[  4]  35.00-36.00  sec  11.2 MBytes  94345 Kbits/sec  185   1.30 MBytes       
[  4]  36.00-37.00  sec  11.2 MBytes  94376 Kbits/sec  188   1.54 MBytes       
[  4]  37.00-38.00  sec  12.5 MBytes  104857 Kbits/sec  295   1.78 MBytes       
[  4]  38.00-39.00  sec  11.2 MBytes  94364 Kbits/sec  207   1.78 MBytes       
[  4]  39.00-40.00  sec  10.0 MBytes  83889 Kbits/sec  239   1.01 MBytes       
[  4]  40.00-41.00  sec  12.5 MBytes  104859 Kbits/sec  252   1.79 MBytes       
[  4]  41.00-42.00  sec  11.2 MBytes  94377 Kbits/sec  342   1.78 MBytes       
[  4]  42.00-43.00  sec  7.50 MBytes  62912 Kbits/sec  143   1.79 MBytes       
[  4]  43.00-44.00  sec  11.2 MBytes  94374 Kbits/sec  257   1.78 MBytes       
[  4]  44.00-45.00  sec  11.2 MBytes  94369 Kbits/sec  224   1.78 MBytes       
[  4]  45.00-46.00  sec  11.2 MBytes  94376 Kbits/sec  153   1.78 MBytes       
[  4]  46.00-47.00  sec  11.2 MBytes  94370 Kbits/sec  305   1.78 MBytes       
[  4]  47.00-48.00  sec  11.2 MBytes  94372 Kbits/sec  274   1.78 MBytes       
[  4]  48.00-49.00  sec  10.0 MBytes  83877 Kbits/sec  133   1.52 MBytes       
[  4]  49.00-50.00  sec  12.5 MBytes  104875 Kbits/sec  150   1.79 MBytes       
[  4]  50.00-51.00  sec  11.2 MBytes  94394 Kbits/sec  308   1.79 MBytes       
[  4]  51.00-52.00  sec  11.2 MBytes  94345 Kbits/sec  286    918 KBytes       
[  4]  52.00-53.00  sec  11.2 MBytes  94359 Kbits/sec  214    986 KBytes       
[  4]  53.00-54.00  sec  7.50 MBytes  62914 Kbits/sec  150   1.03 MBytes       
[  4]  54.00-55.00  sec  11.2 MBytes  94379 Kbits/sec  208    970 KBytes       
[  4]  55.00-56.00  sec  11.2 MBytes  94373 Kbits/sec  329   1.78 MBytes       
[  4]  56.00-57.00  sec  11.2 MBytes  94369 Kbits/sec  243   1017 KBytes       
[  4]  57.00-58.00  sec  11.2 MBytes  94378 Kbits/sec  226    971 KBytes       
[  4]  58.00-59.00  sec  11.2 MBytes  94375 Kbits/sec  284   1.79 MBytes       
[  4]  59.00-60.00  sec  11.2 MBytes  94378 Kbits/sec  316   1.31 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   785 MBytes  109750 Kbits/sec  15739             sender
[  4]   0.00-60.00  sec   654 MBytes  91413 Kbits/sec                  receiver
CPU Utilization: local/sender 0.7% (0.1%u/0.6%s), remote/receiver 8.1% (1.8%u/6.3%s)

iperf Done.
