iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 20:57:37 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 44214 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   156 MBytes  1309918 Kbits/sec   70    317 KBytes       
[  4]   1.00-2.00   sec  32.5 MBytes  272634 Kbits/sec    0    387 KBytes       
[  4]   2.00-3.00   sec  37.5 MBytes  314573 Kbits/sec    0    455 KBytes       
[  4]   3.00-4.00   sec  43.8 MBytes  366989 Kbits/sec    0    523 KBytes       
[  4]   4.00-5.00   sec  48.8 MBytes  408950 Kbits/sec    0    591 KBytes       
[  4]   5.00-6.00   sec  55.0 MBytes  461379 Kbits/sec    0    658 KBytes       
[  4]   6.00-7.00   sec  46.2 MBytes  387992 Kbits/sec    6    530 KBytes       
[  4]   7.00-8.00   sec  48.8 MBytes  408933 Kbits/sec    0    590 KBytes       
[  4]   8.00-9.00   sec  55.0 MBytes  461363 Kbits/sec    0    658 KBytes       
[  4]   9.00-10.00  sec  46.2 MBytes  387965 Kbits/sec    3    532 KBytes       
[  4]  10.00-11.00  sec  50.0 MBytes  419439 Kbits/sec    0    590 KBytes       
[  4]  11.00-12.00  sec  53.8 MBytes  450874 Kbits/sec    0    656 KBytes       
[  4]  12.00-13.00  sec  47.5 MBytes  398478 Kbits/sec    5    530 KBytes       
[  4]  13.00-14.00  sec  48.8 MBytes  408932 Kbits/sec    0    590 KBytes       
[  4]  14.00-15.00  sec  55.0 MBytes  461379 Kbits/sec    0    658 KBytes       
[  4]  15.00-16.00  sec  46.2 MBytes  387966 Kbits/sec    3    530 KBytes       
[  4]  16.00-17.00  sec  48.8 MBytes  408944 Kbits/sec    0    590 KBytes       
[  4]  17.00-18.00  sec  55.0 MBytes  461379 Kbits/sec    0    658 KBytes       
[  4]  18.00-19.00  sec  43.8 MBytes  366992 Kbits/sec    3    523 KBytes       
[  4]  19.00-20.00  sec  50.0 MBytes  419438 Kbits/sec    0    592 KBytes       
[  4]  20.00-21.00  sec  55.0 MBytes  461379 Kbits/sec    0    659 KBytes       
[  4]  21.00-22.00  sec  46.2 MBytes  387962 Kbits/sec    5    530 KBytes       
[  4]  22.00-23.00  sec  48.8 MBytes  408951 Kbits/sec    0    590 KBytes       
[  4]  23.00-24.00  sec  55.0 MBytes  461375 Kbits/sec    0    658 KBytes       
[  4]  24.00-25.00  sec  46.2 MBytes  387995 Kbits/sec    5    520 KBytes       
[  4]  25.00-26.00  sec  48.8 MBytes  408927 Kbits/sec    0    590 KBytes       
[  4]  26.00-27.00  sec  53.8 MBytes  450878 Kbits/sec    0    656 KBytes       
[  4]  27.00-28.00  sec  46.2 MBytes  388132 Kbits/sec    3    529 KBytes       
[  4]  28.00-29.00  sec  50.0 MBytes  419063 Kbits/sec    0    590 KBytes       
[  4]  29.00-30.00  sec  53.8 MBytes  451109 Kbits/sec    0    656 KBytes       
[  4]  30.00-31.00  sec  47.5 MBytes  398466 Kbits/sec    3    529 KBytes       
[  4]  31.00-32.00  sec  48.8 MBytes  408932 Kbits/sec    0    588 KBytes       
[  4]  32.00-33.00  sec  53.8 MBytes  450892 Kbits/sec    0    656 KBytes       
[  4]  33.00-34.00  sec  46.2 MBytes  387966 Kbits/sec    2    519 KBytes       
[  4]  34.00-35.00  sec  48.8 MBytes  408950 Kbits/sec    0    587 KBytes       
[  4]  35.00-36.00  sec  55.0 MBytes  461374 Kbits/sec    0    655 KBytes       
[  4]  36.00-37.00  sec  46.2 MBytes  387970 Kbits/sec    2    527 KBytes       
[  4]  37.00-38.00  sec  48.8 MBytes  408945 Kbits/sec    0    587 KBytes       
[  4]  38.00-39.00  sec  53.8 MBytes  450887 Kbits/sec    0    655 KBytes       
[  4]  39.00-40.00  sec  47.5 MBytes  398453 Kbits/sec    1    527 KBytes       
[  4]  40.00-41.00  sec  48.8 MBytes  408947 Kbits/sec    0    587 KBytes       
[  4]  41.00-42.00  sec  53.8 MBytes  450899 Kbits/sec    0    655 KBytes       
[  4]  42.00-43.00  sec  46.2 MBytes  387961 Kbits/sec    3    520 KBytes       
[  4]  43.00-44.00  sec  48.8 MBytes  408954 Kbits/sec    0    587 KBytes       
[  4]  44.00-45.00  sec  53.8 MBytes  450891 Kbits/sec    0    655 KBytes       
[  4]  45.00-46.00  sec  47.5 MBytes  398446 Kbits/sec    3    527 KBytes       
[  4]  46.00-47.00  sec  48.8 MBytes  408958 Kbits/sec    0    587 KBytes       
[  4]  47.00-48.00  sec  53.8 MBytes  450883 Kbits/sec    0    655 KBytes       
[  4]  48.00-49.00  sec  46.2 MBytes  387968 Kbits/sec    5    527 KBytes       
