iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 23:14:14 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 44794 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   134 MBytes  1121367 Kbits/sec    0   3.24 MBytes       
[  4]   1.00-2.00   sec  65.0 MBytes  545229 Kbits/sec  22021   17.8 MBytes       
[  4]   2.00-3.00   sec  90.0 MBytes  754983 Kbits/sec    5   16.8 MBytes       
[  4]   3.00-4.00   sec  81.2 MBytes  681552 Kbits/sec    0   17.5 MBytes       
[  4]   4.00-5.00   sec  81.2 MBytes  681703 Kbits/sec    0   18.4 MBytes       
[  4]   5.00-6.00   sec  80.0 MBytes  671105 Kbits/sec    0   19.1 MBytes       
[  4]   6.00-7.00   sec  81.2 MBytes  681501 Kbits/sec    0   19.9 MBytes       
[  4]   7.00-8.00   sec  73.8 MBytes  618610 Kbits/sec  2120   17.6 MBytes       
[  4]   8.00-9.00   sec  83.8 MBytes  702554 Kbits/sec  1473   16.5 MBytes       
[  4]   9.00-10.00  sec  87.5 MBytes  734038 Kbits/sec  533   8.78 MBytes       
[  4]  10.00-11.00  sec  86.2 MBytes  723507 Kbits/sec  1079   8.88 MBytes       
[  4]  11.00-12.00  sec  46.2 MBytes  387956 Kbits/sec  366   8.43 MBytes       
[  4]  12.00-13.00  sec  80.0 MBytes  671057 Kbits/sec  1519   9.43 MBytes       
[  4]  13.00-14.00  sec  87.5 MBytes  734077 Kbits/sec  1138   8.78 MBytes       
[  4]  14.00-15.00  sec  88.8 MBytes  744523 Kbits/sec  2010   17.5 MBytes       
[  4]  15.00-16.00  sec  76.2 MBytes  639592 Kbits/sec  719   17.6 MBytes       
[  4]  16.00-17.00  sec  82.5 MBytes  692024 Kbits/sec  1804   17.6 MBytes       
[  4]  17.00-18.00  sec  90.0 MBytes  754997 Kbits/sec  1599   8.59 MBytes       
[  4]  18.00-19.00  sec  78.8 MBytes  660591 Kbits/sec  1898   15.3 MBytes       
[  4]  19.00-20.00  sec  82.5 MBytes  692080 Kbits/sec  2817   17.6 MBytes       
[  4]  20.00-21.00  sec  83.8 MBytes  702570 Kbits/sec  1251   17.6 MBytes       
[  4]  21.00-22.00  sec  68.8 MBytes  576599 Kbits/sec  2095   5.66 KBytes       
[  4]  22.00-23.00  sec  72.5 MBytes  608291 Kbits/sec  1901   17.7 MBytes       
[  4]  23.00-24.00  sec  75.0 MBytes  629119 Kbits/sec  2049   16.7 MBytes       
[  4]  24.00-25.00  sec  91.2 MBytes  765516 Kbits/sec  3154   17.6 MBytes       
[  4]  25.00-26.00  sec  75.0 MBytes  629071 Kbits/sec  1492   16.4 MBytes       
[  4]  26.00-27.00  sec  92.5 MBytes  776092 Kbits/sec  1138   17.6 MBytes       
[  4]  27.00-28.00  sec  80.0 MBytes  671031 Kbits/sec  3377   17.6 MBytes       
[  4]  28.00-29.00  sec  87.5 MBytes  734033 Kbits/sec  1633   17.6 MBytes       
[  4]  29.00-30.00  sec  75.0 MBytes  629091 Kbits/sec  2291   15.4 MBytes       
[  4]  30.00-31.00  sec  87.5 MBytes  734005 Kbits/sec  3712   17.4 MBytes       
[  4]  31.00-32.00  sec  80.0 MBytes  671048 Kbits/sec  2208   17.6 MBytes       
[  4]  32.00-33.00  sec  53.8 MBytes  450964 Kbits/sec  947   17.5 MBytes       
[  4]  33.00-34.00  sec  81.2 MBytes  681635 Kbits/sec  2991   17.5 MBytes       
[  4]  34.00-35.00  sec  83.8 MBytes  702391 Kbits/sec  1074   17.6 MBytes       
[  4]  35.00-36.00  sec  85.0 MBytes  713021 Kbits/sec  1453   14.0 MBytes       
[  4]  36.00-37.00  sec  81.2 MBytes  681736 Kbits/sec  1562   17.6 MBytes       
[  4]  37.00-38.00  sec  86.2 MBytes  723381 Kbits/sec  2124   17.6 MBytes       
[  4]  38.00-39.00  sec  81.2 MBytes  681615 Kbits/sec  1896   9.04 MBytes       
[  4]  39.00-40.00  sec  83.8 MBytes  702542 Kbits/sec  2219   17.6 MBytes       
[  4]  40.00-41.00  sec  85.0 MBytes  712974 Kbits/sec  2188   17.6 MBytes       
[  4]  41.00-42.00  sec  86.2 MBytes  723580 Kbits/sec  1404   14.1 MBytes       
[  4]  42.00-43.00  sec  58.8 MBytes  492808 Kbits/sec  1652   17.5 MBytes       
[  4]  43.00-44.00  sec  76.2 MBytes  639607 Kbits/sec  2785   17.6 MBytes       
[  4]  44.00-45.00  sec  81.2 MBytes  681563 Kbits/sec  1228   15.3 MBytes       
[  4]  45.00-46.00  sec  92.5 MBytes  776032 Kbits/sec  844   17.7 MBytes       
