BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,158,100,10,5
0,168,100,10,5
0,160,100,10,5
0,160,100,10,5
0,84,100,10,5
0,157,100,10,10
0,170,100,10,10
0,151,100,10,10
0,120,100,10,10
0,161,100,10,10
0,96,100,10,25
0,80,100,10,25
0,80,100,10,25
0,128,100,10,25
0,98,100,10,25
49,191,100,10,50
50,112,100,10,50
49,160,100,10,50
49,116,100,10,50
50,129,100,10,50
211,76,100,10,75
316,72,100,10,75
424,74,100,10,75
144,82,100,10,75
208,74,100,10,75
394,56,100,10,100
274,208,100,10,100
416,60,100,10,100
308,196,100,10,100
456,53,100,10,100
436,154,100,10,150
444,49,100,10,150
548,50,100,10,150
365,146,100,10,150
538,161,100,10,150
831,138,100,10,200
743,140,100,10,200
714,63,100,10,200
769,67,100,10,200
709,138,100,10,200
0,101,100,20,5
0,178,100,20,5
0,89,100,20,5
0,93,100,20,5
0,94,100,20,5
0,169,100,20,10
0,207,100,20,10
0,145,100,20,10
0,153,100,20,10
0,186,100,20,10
70,145,100,20,25
70,124,100,20,25
72,114,100,20,25
79,120,100,20,25
68,101,100,20,25
318,65,100,20,50
224,49,100,20,50
507,76,100,20,50
485,49,100,20,50
613,72,100,20,50
630,148,100,20,75
557,48,100,20,75
380,42,100,20,75
379,163,100,20,75
504,140,100,20,75
1169,34,100,20,100
935,44,100,20,100
1151,41,100,20,100
725,33,100,20,100
1020,36,100,20,100
1184,107,100,20,150
1519,111,100,20,150
1597,119,100,20,150
1808,117,100,20,150
1529,116,100,20,150
2287,116,100,20,200
2287,113,100,20,200
2317,117,100,20,200
2078,124,100,20,200
2274,98,100,20,200
44,586,100,50,5
38,515,100,50,5
54,250,100,50,5
42,412,100,50,5
35,561,100,50,5
904,325,100,50,10
920,232,100,50,10
858,469,100,50,10
761,434,100,50,10
722,470,100,50,10
3490,187,100,50,25
1630,224,100,50,25
2214,198,100,50,25
1404,200,100,50,25
2590,203,100,50,25
2625,138,100,50,50
3365,119,100,50,50
3239,103,100,50,50
3155,109,100,50,50
2975,101,100,50,50
4819,109,100,50,75
5234,116,100,50,75
4836,129,100,50,75
4673,108,100,50,75
4444,109,100,50,75
6531,118,100,50,100
6130,125,100,50,100
6638,130,100,50,100
6129,118,100,50,100
6711,116,100,50,100
8268,137,100,50,150
7898,130,100,50,150
7706,138,100,50,150
7862,137,100,50,150
7850,142,100,50,150
9472,160,100,50,200
9168,162,100,50,200
8719,158,100,50,200
