Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 49478 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  23.1 MBytes  194018 Kbits/sec  1105    632 KBytes       
[  5]   1.00-2.00   sec  25.0 MBytes  209717 Kbits/sec    0    759 KBytes       
[  5]   2.00-3.00   sec  26.2 MBytes  220201 Kbits/sec   62    693 KBytes       
[  5]   3.00-4.00   sec  26.2 MBytes  220202 Kbits/sec   61    690 KBytes       
[  5]   4.00-5.00   sec  26.2 MBytes  220200 Kbits/sec    0    690 KBytes       
[  5]   5.00-6.00   sec  26.2 MBytes  220201 Kbits/sec   62    690 KBytes       
[  5]   6.00-7.00   sec  26.2 MBytes  220202 Kbits/sec    0    690 KBytes       
[  5]   7.00-8.00   sec  26.2 MBytes  220200 Kbits/sec   74    690 KBytes       
[  5]   8.00-9.00   sec  26.2 MBytes  220199 Kbits/sec    0    690 KBytes       
[  5]   9.00-10.00  sec  26.2 MBytes  220201 Kbits/sec   74    689 KBytes       
[  5]  10.00-11.00  sec  26.2 MBytes  220204 Kbits/sec    0    689 KBytes       
[  5]  11.00-12.00  sec  26.2 MBytes  220200 Kbits/sec   47    686 KBytes       
[  5]  12.00-13.00  sec  26.2 MBytes  220202 Kbits/sec    0    805 KBytes       
[  5]  13.00-14.00  sec  26.2 MBytes  220201 Kbits/sec   72    690 KBytes       
[  5]  14.00-15.00  sec  26.2 MBytes  220201 Kbits/sec    0    822 KBytes       
[  5]  15.00-16.00  sec  26.2 MBytes  220199 Kbits/sec   77    686 KBytes       
[  5]  16.00-17.00  sec  26.2 MBytes  220202 Kbits/sec   41    724 KBytes       
[  5]  17.00-18.00  sec  27.5 MBytes  230686 Kbits/sec    0    724 KBytes       
[  5]  18.00-19.00  sec  26.2 MBytes  220202 Kbits/sec   17    706 KBytes       
[  5]  19.00-20.00  sec  27.5 MBytes  230688 Kbits/sec    0    706 KBytes       
[  5]  20.00-21.00  sec  26.2 MBytes  220201 Kbits/sec   24    706 KBytes       
[  5]  21.00-22.00  sec  26.2 MBytes  220199 Kbits/sec    7    830 KBytes       
[  5]  22.00-23.00  sec  27.5 MBytes  230688 Kbits/sec   17    699 KBytes       
[  5]  23.00-24.00  sec  26.2 MBytes  220199 Kbits/sec   42    713 KBytes       
[  5]  24.00-25.00  sec  27.5 MBytes  230687 Kbits/sec    0    713 KBytes       
[  5]  25.00-26.00  sec  26.2 MBytes  220203 Kbits/sec   19    703 KBytes       
[  5]  26.00-27.00  sec  27.5 MBytes  230688 Kbits/sec    0    703 KBytes       
[  5]  27.00-28.00  sec  26.2 MBytes  220200 Kbits/sec   26    706 KBytes       
[  5]  28.00-29.00  sec  25.0 MBytes  209722 Kbits/sec    0    366 KBytes       
[  5]  29.00-30.00  sec  26.2 MBytes  220195 Kbits/sec    0    706 KBytes       
[  5]  30.00-31.00  sec  26.2 MBytes  220199 Kbits/sec   16    689 KBytes       
[  5]  31.00-32.00  sec  26.2 MBytes  220203 Kbits/sec    0    689 KBytes       
[  5]  32.00-33.00  sec  26.2 MBytes  220200 Kbits/sec   65    689 KBytes       
[  5]  33.00-34.00  sec  26.2 MBytes  220202 Kbits/sec    0    689 KBytes       
[  5]  34.00-35.00  sec  26.2 MBytes  220201 Kbits/sec   88    684 KBytes       
[  5]  35.00-36.00  sec  25.0 MBytes  209712 Kbits/sec    0    684 KBytes       
[  5]  36.00-37.00  sec  27.5 MBytes  230690 Kbits/sec   44    686 KBytes       
[  5]  37.00-38.00  sec  25.0 MBytes  209712 Kbits/sec    0    805 KBytes       
