Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 48970 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.52 MBytes  21163 Kbits/sec    0    447 KBytes       
[  5]   1.00-2.00   sec  4.87 MBytes  40839 Kbits/sec  460    660 KBytes       
[  5]   2.00-3.00   sec  5.00 MBytes  41943 Kbits/sec    0    718 KBytes       
[  5]   3.00-4.00   sec  5.00 MBytes  41943 Kbits/sec    0    758 KBytes       
[  5]   4.00-5.00   sec  5.00 MBytes  41944 Kbits/sec    0    782 KBytes       
[  5]   5.00-6.00   sec  5.00 MBytes  41943 Kbits/sec    0    795 KBytes       
[  5]   6.00-7.00   sec  5.00 MBytes  41942 Kbits/sec    0    800 KBytes       
[  5]   7.00-8.00   sec  5.00 MBytes  41941 Kbits/sec    0    800 KBytes       
[  5]   8.00-9.00   sec  5.00 MBytes  41942 Kbits/sec    0    800 KBytes       
[  5]   9.00-10.00  sec  5.00 MBytes  41941 Kbits/sec    0    803 KBytes       
[  5]  10.00-11.00  sec  5.00 MBytes  41943 Kbits/sec    0    812 KBytes       
[  5]  11.00-12.00  sec  6.25 MBytes  52436 Kbits/sec    0    830 KBytes       
[  5]  12.00-13.00  sec  5.00 MBytes  41940 Kbits/sec    0    861 KBytes       
[  5]  13.00-14.00  sec  6.25 MBytes  52433 Kbits/sec    0    908 KBytes       
[  5]  14.00-15.00  sec  5.00 MBytes  41942 Kbits/sec    0    973 KBytes       
[  5]  15.00-16.00  sec  5.00 MBytes  41940 Kbits/sec   12    745 KBytes       
[  5]  16.00-17.00  sec  5.00 MBytes  41943 Kbits/sec    0    830 KBytes       
[  5]  17.00-18.00  sec  6.25 MBytes  52434 Kbits/sec    0    891 KBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41938 Kbits/sec    0    933 KBytes       
[  5]  19.00-20.00  sec  6.25 MBytes  52435 Kbits/sec    0    962 KBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41944 Kbits/sec    4    687 KBytes       
[  5]  21.00-22.00  sec  5.00 MBytes  41942 Kbits/sec    0    744 KBytes       
[  5]  22.00-23.00  sec  5.00 MBytes  41942 Kbits/sec    0    783 KBytes       
[  5]  23.00-24.00  sec  5.00 MBytes  41942 Kbits/sec    0    807 KBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41941 Kbits/sec    0    820 KBytes       
[  5]  25.00-26.00  sec  5.00 MBytes  41940 Kbits/sec    0    826 KBytes       
[  5]  26.00-27.00  sec  6.25 MBytes  52437 Kbits/sec    0    826 KBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  41941 Kbits/sec    0    826 KBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41943 Kbits/sec    0    829 KBytes       
[  5]  29.00-30.00  sec  5.00 MBytes  41936 Kbits/sec    0    837 KBytes       
[  5]  30.00-31.00  sec  6.25 MBytes  52438 Kbits/sec    0    856 KBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  41939 Kbits/sec    0    887 KBytes       
[  5]  32.00-33.00  sec  6.25 MBytes  52434 Kbits/sec    0    932 KBytes       
[  5]  33.00-34.00  sec  5.00 MBytes  41944 Kbits/sec    8    686 KBytes       
[  5]  34.00-35.00  sec  5.00 MBytes  41938 Kbits/sec    0    781 KBytes       
[  5]  35.00-36.00  sec  5.00 MBytes  41942 Kbits/sec    0    854 KBytes       
[  5]  36.00-37.00  sec  6.25 MBytes  52433 Kbits/sec    0    908 KBytes       
[  5]  37.00-38.00  sec  5.00 MBytes  41940 Kbits/sec    0    943 KBytes       
[  5]  38.00-39.00  sec  6.25 MBytes  52434 Kbits/sec    0    966 KBytes       
[  5]  39.00-40.00  sec  5.00 MBytes  41947 Kbits/sec    4    701 KBytes       
[  5]  40.00-41.00  sec  5.00 MBytes  41938 Kbits/sec    0    754 KBytes       
[  5]  41.00-42.00  sec  5.00 MBytes  41943 Kbits/sec    0    789 KBytes       
[  5]  42.00-43.00  sec  5.00 MBytes  41942 Kbits/sec    0    812 KBytes       
[  5]  43.00-44.00  sec  5.00 MBytes  41941 Kbits/sec    0    822 KBytes       
[  5]  44.00-45.00  sec  6.25 MBytes  52438 Kbits/sec    0    826 KBytes       
[  5]  45.00-46.00  sec  5.00 MBytes  41941 Kbits/sec    0    826 KBytes       
[  5]  46.00-47.00  sec  5.00 MBytes  41940 Kbits/sec    0    826 KBytes       
[  5]  47.00-48.00  sec  6.25 MBytes  52436 Kbits/sec    0    830 KBytes       
[  5]  48.00-49.00  sec  5.00 MBytes  41942 Kbits/sec    0    840 KBytes       
[  5]  49.00-50.00  sec  5.00 MBytes  41939 Kbits/sec    0    861 KBytes       
[  5]  50.00-51.00  sec  6.25 MBytes  52435 Kbits/sec    0    895 KBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  41938 Kbits/sec    0    945 KBytes       
[  5]  52.00-53.00  sec  6.25 MBytes  52436 Kbits/sec    8    706 KBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31451 Kbits/sec    0    799 KBytes       
[  5]  54.00-55.00  sec  6.25 MBytes  52438 Kbits/sec    0    867 KBytes       
[  5]  55.00-56.00  sec  5.00 MBytes  41939 Kbits/sec    0    916 KBytes       
[  5]  56.00-57.00  sec  6.25 MBytes  52434 Kbits/sec    0    949 KBytes       
[  5]  57.00-58.00  sec  5.00 MBytes  41938 Kbits/sec    0    969 KBytes       
[  5]  58.00-59.00  sec  5.00 MBytes  41941 Kbits/sec    4    713 KBytes       
[  5]  59.00-60.00  sec  5.00 MBytes  41947 Kbits/sec    0    762 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   315 MBytes  44025 Kbits/sec  500             sender
[  5]   0.00-60.00  sec   313 MBytes  43752 Kbits/sec                  receiver

iperf Done.
