Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 54132 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  39.3 MBytes  329660 Kbits/sec  1110   1.23 MBytes       
[  5]   1.00-2.00   sec  48.8 MBytes  408950 Kbits/sec    0   1.45 MBytes       
[  5]   2.00-3.00   sec  48.8 MBytes  408939 Kbits/sec   90   1.24 MBytes       
[  5]   3.00-4.00   sec  50.0 MBytes  419430 Kbits/sec   59   1.26 MBytes       
[  5]   4.00-5.00   sec  48.8 MBytes  408945 Kbits/sec    0   1.26 MBytes       
[  5]   5.00-6.00   sec  51.2 MBytes  429917 Kbits/sec   30   1.26 MBytes       
[  5]   6.00-7.00   sec  48.8 MBytes  408945 Kbits/sec    0   1.26 MBytes       
[  5]   7.00-8.00   sec  50.0 MBytes  419430 Kbits/sec   91   1.26 MBytes       
[  5]   8.00-9.00   sec  48.8 MBytes  408945 Kbits/sec    0   1.26 MBytes       
[  5]   9.00-10.00  sec  51.2 MBytes  429921 Kbits/sec   89   1.26 MBytes       
[  5]  10.00-11.00  sec  48.8 MBytes  408940 Kbits/sec    0   1.48 MBytes       
[  5]  11.00-12.00  sec  46.2 MBytes  387973 Kbits/sec   34   1.20 MBytes       
[  5]  12.00-13.00  sec  48.8 MBytes  408945 Kbits/sec   38   1.20 MBytes       
[  5]  13.00-14.00  sec  46.2 MBytes  387973 Kbits/sec    0   1.20 MBytes       
[  5]  14.00-15.00  sec  48.8 MBytes  408945 Kbits/sec  151   1.26 MBytes       
[  5]  15.00-16.00  sec  48.8 MBytes  408944 Kbits/sec    0   1.26 MBytes       
[  5]  16.00-17.00  sec  50.0 MBytes  419430 Kbits/sec   76   1.24 MBytes       
[  5]  17.00-18.00  sec  48.8 MBytes  408945 Kbits/sec    0   1.24 MBytes       
[  5]  18.00-19.00  sec  47.5 MBytes  398459 Kbits/sec   22   1.20 MBytes       
[  5]  19.00-20.00  sec  47.5 MBytes  398459 Kbits/sec    0   1.42 MBytes       
[  5]  20.00-21.00  sec  48.8 MBytes  408945 Kbits/sec  105   1.25 MBytes       
