Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 54216 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  11.0 MBytes  92195 Kbits/sec  495   80.6 KBytes       
[  5]   1.00-2.00   sec  30.0 MBytes  251678 Kbits/sec    0   2.52 MBytes       
[  5]   2.00-3.00   sec  33.8 MBytes  283132 Kbits/sec    0   2.63 MBytes       
[  5]   3.00-4.00   sec  35.0 MBytes  293584 Kbits/sec    0   2.72 MBytes       
[  5]   4.00-5.00   sec  36.2 MBytes  304087 Kbits/sec    0   2.79 MBytes       
[  5]   5.00-6.00   sec  36.2 MBytes  304087 Kbits/sec    0   2.83 MBytes       
[  5]   6.00-7.00   sec  37.5 MBytes  314592 Kbits/sec    0   2.87 MBytes       
[  5]   7.00-8.00   sec  36.2 MBytes  304068 Kbits/sec    0   2.89 MBytes       
[  5]   8.00-9.00   sec  37.5 MBytes  314578 Kbits/sec    0   2.90 MBytes       
[  5]   9.00-10.00  sec  37.5 MBytes  314586 Kbits/sec    0   2.91 MBytes       
[  5]  10.00-11.00  sec  37.5 MBytes  314573 Kbits/sec    0   2.91 MBytes       
[  5]  11.00-12.00  sec  36.2 MBytes  304046 Kbits/sec    0   2.91 MBytes       
[  5]  12.00-13.00  sec  37.5 MBytes  314597 Kbits/sec    0   2.91 MBytes       
[  5]  13.00-14.00  sec  37.5 MBytes  314540 Kbits/sec    0   2.92 MBytes       
[  5]  14.00-15.00  sec  37.5 MBytes  314606 Kbits/sec    0   2.94 MBytes       
[  5]  15.00-16.00  sec  37.5 MBytes  314573 Kbits/sec    0   2.96 MBytes       
[  5]  16.00-17.00  sec  37.5 MBytes  314551 Kbits/sec    0   3.02 MBytes       
[  5]  17.00-18.00  sec  37.5 MBytes  314570 Kbits/sec    0   3.02 MBytes       
[  5]  18.00-19.00  sec  38.8 MBytes  325103 Kbits/sec    0   3.02 MBytes       
[  5]  19.00-20.00  sec  37.5 MBytes  314560 Kbits/sec    0   3.02 MBytes       
[  5]  20.00-21.00  sec  37.5 MBytes  314568 Kbits/sec    0   3.02 MBytes       
[  5]  21.00-22.00  sec  37.5 MBytes  314548 Kbits/sec    0   3.02 MBytes       
[  5]  22.00-23.00  sec  38.8 MBytes  325103 Kbits/sec    0   3.02 MBytes       
[  5]  23.00-24.00  sec  37.5 MBytes  314560 Kbits/sec    0   3.02 MBytes       
[  5]  24.00-25.00  sec  37.5 MBytes  314567 Kbits/sec    0   3.02 MBytes       
[  5]  25.00-26.00  sec  37.5 MBytes  314547 Kbits/sec    0   3.02 MBytes       
[  5]  26.00-27.00  sec  38.8 MBytes  325104 Kbits/sec    0   3.02 MBytes       
[  5]  27.00-28.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.02 MBytes       
[  5]  28.00-29.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.02 MBytes       
[  5]  29.00-30.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.02 MBytes       
[  5]  30.00-31.00  sec  37.5 MBytes  314528 Kbits/sec    0   3.02 MBytes       
[  5]  31.00-32.00  sec  38.8 MBytes  325105 Kbits/sec    0   3.02 MBytes       
[  5]  32.00-33.00  sec  37.5 MBytes  314554 Kbits/sec    0   3.02 MBytes       
[  5]  33.00-34.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.02 MBytes       
[  5]  34.00-35.00  sec  33.8 MBytes  283116 Kbits/sec   34   2.15 MBytes       
[  5]  35.00-36.00  sec  30.0 MBytes  251672 Kbits/sec    0   2.35 MBytes       
[  5]  36.00-37.00  sec  31.2 MBytes  262129 Kbits/sec    0   2.52 MBytes       
[  5]  37.00-38.00  sec  33.8 MBytes  283086 Kbits/sec    0   2.64 MBytes       
[  5]  38.00-39.00  sec  36.2 MBytes  304137 Kbits/sec    0   2.75 MBytes       
[  5]  39.00-40.00  sec  36.2 MBytes  304087 Kbits/sec    0   2.84 MBytes       
[  5]  40.00-41.00  sec  36.2 MBytes  304069 Kbits/sec    0   2.91 MBytes       
[  5]  41.00-42.00  sec  37.5 MBytes  314573 Kbits/sec    0   2.95 MBytes       
[  5]  42.00-43.00  sec  37.5 MBytes  314591 Kbits/sec    0   2.97 MBytes       
[  5]  43.00-44.00  sec  37.5 MBytes  314555 Kbits/sec    0   3.00 MBytes       
[  5]  44.00-45.00  sec  38.8 MBytes  325077 Kbits/sec    0   3.00 MBytes       
[  5]  45.00-46.00  sec  37.5 MBytes  314569 Kbits/sec    0   3.00 MBytes       
[  5]  46.00-47.00  sec  37.5 MBytes  314576 Kbits/sec    0   3.00 MBytes       
[  5]  47.00-48.00  sec  37.5 MBytes  314569 Kbits/sec    0   3.00 MBytes       
[  5]  48.00-49.00  sec  38.8 MBytes  325063 Kbits/sec    0   3.00 MBytes       
[  5]  49.00-50.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.00 MBytes       
[  5]  50.00-51.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.00 MBytes       
[  5]  51.00-52.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.00 MBytes       
[  5]  52.00-53.00  sec  37.5 MBytes  314542 Kbits/sec    0   3.00 MBytes       
[  5]  53.00-54.00  sec  38.8 MBytes  325090 Kbits/sec    0   3.00 MBytes       
[  5]  54.00-55.00  sec  37.5 MBytes  314564 Kbits/sec    0   3.00 MBytes       
[  5]  55.00-56.00  sec  37.5 MBytes  314582 Kbits/sec    0   3.00 MBytes       
[  5]  56.00-57.00  sec  37.5 MBytes  314555 Kbits/sec    0   3.00 MBytes       
[  5]  57.00-58.00  sec  37.5 MBytes  314573 Kbits/sec    0   3.00 MBytes       
[  5]  58.00-59.00  sec  38.8 MBytes  325078 Kbits/sec    0   3.00 MBytes       
[  5]  59.00-60.00  sec  37.5 MBytes  314569 Kbits/sec    0   3.00 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  2.14 GBytes  306148 Kbits/sec  529             sender
[  5]   0.00-60.08  sec  2.14 GBytes  305696 Kbits/sec                  receiver

iperf Done.
