Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 53324 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   540 KBytes  4424 Kbits/sec    0    113 KBytes       
[  5]   1.00-2.00   sec  4.37 MBytes  36612 Kbits/sec  474    798 KBytes       
[  5]   2.00-3.00   sec  5.00 MBytes  41951 Kbits/sec   29   1.19 MBytes       
[  5]   3.00-4.00   sec  5.00 MBytes  41943 Kbits/sec   20    952 KBytes       
[  5]   4.00-5.00   sec  5.00 MBytes  41945 Kbits/sec    0   1010 KBytes       
[  5]   5.00-6.00   sec  5.00 MBytes  41944 Kbits/sec    0   1.03 MBytes       
[  5]   6.00-7.00   sec  5.00 MBytes  41942 Kbits/sec    0   1.05 MBytes       
[  5]   7.00-8.00   sec  6.25 MBytes  52437 Kbits/sec    0   1.06 MBytes       
[  5]   8.00-9.00   sec  5.00 MBytes  41942 Kbits/sec    0   1.07 MBytes       
[  5]   9.00-10.00  sec  5.00 MBytes  41939 Kbits/sec    0   1.07 MBytes       
[  5]  10.00-11.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.07 MBytes       
[  5]  11.00-12.00  sec  6.25 MBytes  52437 Kbits/sec    0   1.07 MBytes       
[  5]  12.00-13.00  sec  5.00 MBytes  41941 Kbits/sec    0   1.08 MBytes       
[  5]  13.00-14.00  sec  5.00 MBytes  41940 Kbits/sec    0   1.10 MBytes       
[  5]  14.00-15.00  sec  6.25 MBytes  52430 Kbits/sec    0   1.13 MBytes       
[  5]  15.00-16.00  sec  5.00 MBytes  41943 Kbits/sec    0   1.17 MBytes       
[  5]  16.00-17.00  sec  6.25 MBytes  52434 Kbits/sec    0   1.23 MBytes       
[  5]  17.00-18.00  sec  5.00 MBytes  41943 Kbits/sec   12    946 KBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41941 Kbits/sec    0   1.03 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41945 Kbits/sec    0   1.11 MBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41939 Kbits/sec    0   1.16 MBytes       
[  5]  21.00-22.00  sec  6.25 MBytes  52434 Kbits/sec    0   1.20 MBytes       
[  5]  22.00-23.00  sec  5.00 MBytes  41938 Kbits/sec    0   1.23 MBytes       
[  5]  23.00-24.00  sec  6.25 MBytes  52436 Kbits/sec    4    908 KBytes       
[  5]  24.00-25.00  sec  3.75 MBytes  31453 Kbits/sec    0    971 KBytes       
[  5]  25.00-26.00  sec  5.00 MBytes  41944 Kbits/sec    0   1018 KBytes       
[  5]  26.00-27.00  sec  5.00 MBytes  41944 Kbits/sec    0   1.02 MBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.04 MBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.05 MBytes       
[  5]  29.00-30.00  sec  6.25 MBytes  52432 Kbits/sec    0   1.05 MBytes       
[  5]  30.00-31.00  sec  5.00 MBytes  41947 Kbits/sec    0   1.05 MBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  41941 Kbits/sec    0   1.05 MBytes       
[  5]  32.00-33.00  sec  5.00 MBytes  41941 Kbits/sec    0   1.06 MBytes       
[  5]  33.00-34.00  sec  5.00 MBytes  41936 Kbits/sec    0   1.07 MBytes       
[  5]  34.00-35.00  sec  6.25 MBytes  52442 Kbits/sec    0   1.10 MBytes       
[  5]  35.00-36.00  sec  5.00 MBytes  41940 Kbits/sec    0   1.13 MBytes       
[  5]  36.00-37.00  sec  6.25 MBytes  52432 Kbits/sec    0   1.19 MBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31448 Kbits/sec   16    894 KBytes       
[  5]  38.00-39.00  sec  6.25 MBytes  52444 Kbits/sec    0    988 KBytes       
[  5]  39.00-40.00  sec  5.00 MBytes  41943 Kbits/sec    0   1.06 MBytes       
[  5]  40.00-41.00  sec  5.00 MBytes  41936 Kbits/sec    0   1.13 MBytes       
[  5]  41.00-42.00  sec  6.25 MBytes  52438 Kbits/sec    0   1.18 MBytes       
[  5]  42.00-43.00  sec  5.00 MBytes  41939 Kbits/sec    0   1.21 MBytes       
[  5]  43.00-44.00  sec  6.25 MBytes  52433 Kbits/sec    0   1.23 MBytes       
[  5]  44.00-45.00  sec  3.75 MBytes  31450 Kbits/sec    4    939 KBytes       
[  5]  45.00-46.00  sec  5.00 MBytes  41946 Kbits/sec    0    994 KBytes       
[  5]  46.00-47.00  sec  5.00 MBytes  41944 Kbits/sec    0   1.01 MBytes       
[  5]  47.00-48.00  sec  5.00 MBytes  41943 Kbits/sec    0   1.03 MBytes       
[  5]  48.00-49.00  sec  5.00 MBytes  41937 Kbits/sec    0   1.04 MBytes       
[  5]  49.00-50.00  sec  6.25 MBytes  52443 Kbits/sec    0   1.05 MBytes       
[  5]  50.00-51.00  sec  5.00 MBytes  41939 Kbits/sec    0   1.05 MBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  41946 Kbits/sec    0   1.05 MBytes       
[  5]  52.00-53.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.05 MBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  41941 Kbits/sec    0   1.06 MBytes       
[  5]  54.00-55.00  sec  6.25 MBytes  52436 Kbits/sec    0   1.08 MBytes       
[  5]  55.00-56.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.11 MBytes       
[  5]  56.00-57.00  sec  5.00 MBytes  41939 Kbits/sec    0   1.16 MBytes       
[  5]  57.00-58.00  sec  6.25 MBytes  52434 Kbits/sec    0   1.22 MBytes       
[  5]  58.00-59.00  sec  5.00 MBytes  41941 Kbits/sec   16    926 KBytes       
[  5]  59.00-60.00  sec  5.00 MBytes  41946 Kbits/sec    0   1.01 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   310 MBytes  43326 Kbits/sec  575             sender
[  5]   0.00-60.20  sec   308 MBytes  42859 Kbits/sec                  receiver

iperf Done.
