BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,126,100,10,5
0,126,100,10,5
0,125,100,10,5
0,122,100,10,5
0,121,100,10,5
0,65,100,10,10
0,68,100,10,10
0,66,100,10,10
0,62,100,10,10
0,67,100,10,10
0,63,100,10,25
0,63,100,10,25
0,64,100,10,25
0,62,100,10,25
0,63,100,10,25
52,131,100,10,50
52,134,100,10,50
42,131,100,10,50
52,132,100,10,50
52,134,100,10,50
130,88,100,10,75
128,89,100,10,75
128,89,100,10,75
130,85,100,10,75
126,90,100,10,75
206,238,100,10,100
202,236,100,10,100
206,235,100,10,100
203,244,100,10,100
203,240,100,10,100
371,180,100,10,150
369,175,100,10,150
371,174,100,10,150
369,184,100,10,150
371,175,100,10,150
514,366,100,10,200
513,369,100,10,200
514,366,100,10,200
514,366,100,10,200
513,365,100,10,200
0,144,100,20,5
0,154,100,20,5
0,156,100,20,5
0,158,100,20,5
0,160,100,20,5
0,135,100,20,10
0,67,100,20,10
0,121,100,20,10
0,129,100,20,10
0,129,100,20,10
73,179,100,20,25
67,170,100,20,25
67,175,100,20,25
72,175,100,20,25
72,172,100,20,25
214,228,100,20,50
211,225,100,20,50
209,239,100,20,50
212,226,100,20,50
210,228,100,20,50
375,138,100,20,75
379,165,100,20,75
375,169,100,20,75
377,173,100,20,75
378,171,100,20,75
511,333,100,20,100
509,332,100,20,100
511,334,100,20,100
511,333,100,20,100
513,336,100,20,100
737,250,100,20,150
730,251,100,20,150
730,247,100,20,150
730,251,100,20,150
734,249,100,20,150
1217,286,100,20,200
1232,282,100,20,200
1246,288,100,20,200
1238,283,100,20,200
1212,283,100,20,200
25,383,100,50,5
26,413,100,50,5
26,410,100,50,5
89,368,100,50,5
35,421,100,50,5
156,302,100,50,10
165,328,100,50,10
159,300,100,50,10
168,351,100,50,10
152,326,100,50,10
321,224,100,50,25
340,251,100,50,25
341,223,100,50,25
336,236,100,50,25
325,220,100,50,25
632,291,100,50,50
633,287,100,50,50
650,283,100,50,50
657,289,100,50,50
667,286,100,50,50
1204,259,100,50,75
1166,268,100,50,75
1190,264,100,50,75
1131,271,100,50,75
1153,257,100,50,75
1578,449,100,50,100
1604,462,100,50,100
1584,449,100,50,100
1559,459,100,50,100
1606,464,100,50,100
1950,505,100,50,150
1993,466,100,50,150
2011,504,100,50,150
1982,490,100,50,150
1950,461,100,50,150
1855,608,100,50,200
1851,575,100,50,200
1848,578,100,50,200
1846,577,100,50,200
1845,578,100,50,200
309,929,100,100,5
268,630,100,100,5
306,949,100,100,5
298,591,100,100,5
307,931,100,100,5
677,588,100,100,10
556,638,100,100,10
539,471,100,100,10
574,422,100,100,10
508,619,100,100,10
636,335,100,100,25
630,352,100,100,25
663,341,100,100,25
622,396,100,100,25
654,335,100,100,25
1533,463,100,100,50
1437,482,100,100,50
1401,462,100,100,50
1566,513,100,100,50
1510,492,100,100,50
2030,471,100,100,75
1750,465,100,100,75
1922,429,100,100,75
1962,487,100,100,75
1939,486,100,100,75
1754,549,100,100,100
1784,588,100,100,100
1831,582,100,100,100
1824,572,100,100,100
1993,580,100,100,100
4038,828,100,100,150
4021,847,100,100,150
4091,863,100,100,150
3872,851,100,100,150
3849,877,100,100,150
2827,984,100,100,200
2898,978,100,100,200
3317,985,100,100,200
2882,977,100,100,200
3397,980,100,100,200
862,1368,100,250,5
699,1381,100,250,5
629,1442,100,250,5
851,1601,100,250,5
927,1447,100,250,5
1251,670,100,250,10
1201,638,100,250,10
922,689,100,250,10
884,642,100,250,10
686,587,100,250,10
2077,582,100,250,25
2468,602,100,250,25
2336,562,100,250,25
2290,571,100,250,25
1972,602,100,250,25
2448,828,100,250,50
2238,821,100,250,50
2498,840,100,250,50
2589,701,100,250,50
2639,750,100,250,50
4669,906,100,250,75
5146,912,100,250,75
4714,880,100,250,75
5573,806,100,250,75
5120,975,100,250,75
3252,936,100,250,100
3594,950,100,250,100
4750,877,100,250,100
3566,1007,100,250,100
4233,1023,100,250,100
381,536,100,250,150
328,505,100,250,150
327,625,100,250,150
382,634,100,250,150
422,550,100,250,150
192,520,100,250,200
143,546,100,250,200
739,515,100,250,200
218,540,100,250,200
723,500,100,250,200
1082,1958,100,500,5
1297,1788,100,500,5
1116,1921,100,500,5
1277,1954,100,500,5
1125,1763,100,500,5
4198,765,100,500,10
4516,781,100,500,10
4324,900,100,500,10
4419,803,100,500,10
4609,913,100,500,10
2764,812,100,500,25
2965,840,100,500,25
3153,824,100,500,25
2612,825,100,500,25
2760,899,100,500,25
6766,989,100,500,50
3504,1063,100,500,50
5191,1021,100,500,50
3112,1027,100,500,50
3302,956,100,500,50
383,445,100,500,75
389,529,100,500,75
358,452,100,500,75
404,529,100,500,75
380,522,100,500,75
259,404,100,500,100
278,360,100,500,100
