BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
9529,9563,100,10,5
9531,9563,100,10,5
9527,9563,100,10,5
9527,9563,100,10,5
9523,9563,100,10,5
9465,9561,100,10,10
9468,9561,100,10,10
9446,9561,100,10,10
9450,9561,100,10,10
9468,9561,100,10,10
9444,9540,100,10,25
9446,9554,100,10,25
9462,9554,100,10,25
9442,9554,100,10,25
9428,9554,100,10,25
9328,9538,100,10,50
9370,9538,100,10,50
9366,9538,100,10,50
9352,9538,100,10,50
9449,9526,100,10,50
9289,9518,100,10,75
9258,9518,100,10,75
9293,9518,100,10,75
9283,9518,100,10,75
9316,9518,100,10,75
9261,9497,100,10,100
9276,9497,100,10,100
9330,9497,100,10,100
9265,9497,100,10,100
9272,9497,100,10,100
9217,9450,100,10,150
9193,9450,100,10,150
9190,9450,100,10,150
9197,9450,100,10,150
9206,9450,100,10,150
9141,9393,100,10,200
9077,9394,100,10,200
9084,9393,100,10,200
9108,9393,100,10,200
9110,9394,100,10,200
18937,19125,100,20,5
18933,19125,100,20,5
18933,19125,100,20,5
18900,19125,100,20,5
18893,19125,100,20,5
18881,19120,100,20,10
18963,19121,100,20,10
18879,19121,100,20,10
18845,19120,100,20,10
18881,19120,100,20,10
18879,19101,100,20,25
18847,19101,100,20,25
18870,19101,100,20,25
18843,19101,100,20,25
18848,19101,100,20,25
18676,19061,100,20,50
18680,19061,100,20,50
18678,19061,100,20,50
18579,19061,100,20,50
18762,19061,100,20,50
18478,19013,100,20,75
18480,19013,100,20,75
18489,19013,100,20,75
18552,19013,100,20,75
18418,19013,100,20,75
18457,18953,100,20,100
18445,18953,100,20,100
18526,18953,100,20,100
18439,18953,100,20,100
18425,18953,100,20,100
18333,18686,100,20,150
18299,18683,100,20,150
18349,18688,100,20,150
18303,18685,100,20,150
18329,18676,100,20,150
18462,18397,100,20,200
18462,18396,100,20,200
18468,18396,100,20,200
18487,18395,100,20,200
18479,18397,100,20,200
47279,47809,100,50,5
47219,47808,100,50,5
47286,47809,100,50,5
47283,47809,100,50,5
47132,47809,100,50,5
47016,47793,100,50,10
47019,47793,100,50,10
47109,47793,100,50,10
47274,47793,100,50,10
47022,47794,100,50,10
46653,47728,100,50,25
46652,47728,100,50,25
