Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 33936 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.20 MBytes  51966 Kbits/sec    0   2.96 MBytes       
[  5]   1.00-2.00   sec  28.8 MBytes  241156 Kbits/sec    0   8.84 MBytes       
[  5]   2.00-3.00   sec  28.8 MBytes  241190 Kbits/sec    0   8.84 MBytes       
[  5]   3.00-4.00   sec  28.8 MBytes  241154 Kbits/sec    0   8.84 MBytes       
[  5]   4.00-5.00   sec  28.8 MBytes  241185 Kbits/sec    0   8.84 MBytes       
[  5]   5.00-6.00   sec  28.8 MBytes  241161 Kbits/sec    0   8.84 MBytes       
[  5]   6.00-7.00   sec  30.0 MBytes  251496 Kbits/sec    0   8.84 MBytes       
[  5]   7.00-8.00   sec  27.5 MBytes  230836 Kbits/sec    0   8.84 MBytes       
[  5]   8.00-9.00   sec  30.0 MBytes  251658 Kbits/sec    0   8.84 MBytes       
[  5]   9.00-10.00  sec  28.8 MBytes  241176 Kbits/sec    0   8.84 MBytes       
[  5]  10.00-11.00  sec  28.8 MBytes  241187 Kbits/sec    0   8.84 MBytes       
[  5]  11.00-12.00  sec  28.8 MBytes  241162 Kbits/sec    0   8.84 MBytes       
[  5]  12.00-13.00  sec  28.8 MBytes  241183 Kbits/sec    0   8.84 MBytes       
[  5]  13.00-14.00  sec  22.5 MBytes  188698 Kbits/sec    0   8.84 MBytes       
[  5]  14.00-15.00  sec  27.5 MBytes  230742 Kbits/sec    0   8.84 MBytes       
[  5]  15.00-16.00  sec  28.8 MBytes  241144 Kbits/sec    0   8.84 MBytes       
[  5]  16.00-17.00  sec  28.8 MBytes  241185 Kbits/sec    0   8.84 MBytes       
[  5]  17.00-18.00  sec  28.8 MBytes  241174 Kbits/sec    0   8.84 MBytes       
[  5]  18.00-19.00  sec  28.8 MBytes  241173 Kbits/sec    0   8.84 MBytes       
[  5]  19.00-20.00  sec  30.0 MBytes  251662 Kbits/sec    0   8.84 MBytes       
[  5]  20.00-21.00  sec  28.8 MBytes  241184 Kbits/sec    0   8.84 MBytes       
[  5]  21.00-22.00  sec  28.8 MBytes  241154 Kbits/sec    0   8.84 MBytes       
