Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 41278 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  58.0 MBytes  486190 Kbits/sec    0    848 KBytes       
[  5]   1.00-2.00   sec  57.5 MBytes  482359 Kbits/sec    0    854 KBytes       
[  5]   2.00-3.00   sec  56.2 MBytes  471859 Kbits/sec    0    874 KBytes       
[  5]   3.00-4.00   sec  57.5 MBytes  482367 Kbits/sec    0    829 KBytes       
[  5]   4.00-5.00   sec  56.2 MBytes  471841 Kbits/sec    0    834 KBytes       
[  5]   5.00-6.00   sec  57.5 MBytes  482363 Kbits/sec    0    857 KBytes       
[  5]   6.00-7.00   sec  56.2 MBytes  471834 Kbits/sec    0    880 KBytes       
[  5]   7.00-8.00   sec  57.5 MBytes  482350 Kbits/sec    0    854 KBytes       
[  5]   8.00-9.00   sec  56.2 MBytes  471880 Kbits/sec    0    840 KBytes       
[  5]   9.00-10.00  sec  57.5 MBytes  482324 Kbits/sec    0    831 KBytes       
[  5]  10.00-11.00  sec  45.0 MBytes  377500 Kbits/sec    0    897 KBytes       
[  5]  11.00-12.00  sec  57.5 MBytes  482332 Kbits/sec    0    880 KBytes       
[  5]  12.00-13.00  sec  56.2 MBytes  471856 Kbits/sec    0    871 KBytes       
[  5]  13.00-14.00  sec  57.5 MBytes  482372 Kbits/sec    0    885 KBytes       
[  5]  14.00-15.00  sec  56.2 MBytes  471832 Kbits/sec    0    857 KBytes       
[  5]  15.00-16.00  sec  57.5 MBytes  482373 Kbits/sec    0    894 KBytes       
[  5]  16.00-17.00  sec  56.2 MBytes  471830 Kbits/sec    0    897 KBytes       
[  5]  17.00-18.00  sec  57.5 MBytes  482348 Kbits/sec    0    840 KBytes       
[  5]  18.00-19.00  sec  56.2 MBytes  471859 Kbits/sec    0    911 KBytes       
[  5]  19.00-20.00  sec  57.5 MBytes  482363 Kbits/sec    0    874 KBytes       
[  5]  20.00-21.00  sec  45.0 MBytes  377488 Kbits/sec    0    891 KBytes       
[  5]  21.00-22.00  sec  56.2 MBytes  471859 Kbits/sec    0    882 KBytes       
[  5]  22.00-23.00  sec  57.5 MBytes  482345 Kbits/sec    0    891 KBytes       
[  5]  23.00-24.00  sec  56.2 MBytes  471838 Kbits/sec    0    891 KBytes       
[  5]  24.00-25.00  sec  57.5 MBytes  482366 Kbits/sec    0    871 KBytes       
[  5]  25.00-26.00  sec  56.2 MBytes  471839 Kbits/sec    0    888 KBytes       
[  5]  26.00-27.00  sec  57.5 MBytes  482349 Kbits/sec    0    908 KBytes       
[  5]  27.00-28.00  sec  56.2 MBytes  471854 Kbits/sec    0    891 KBytes       
[  5]  28.00-29.00  sec  57.5 MBytes  482347 Kbits/sec    0    854 KBytes       
[  5]  29.00-30.00  sec  56.2 MBytes  471860 Kbits/sec    0    851 KBytes       
[  5]  30.00-31.00  sec  46.2 MBytes  387993 Kbits/sec    0    877 KBytes       
[  5]  31.00-32.00  sec  56.2 MBytes  471854 Kbits/sec    0    885 KBytes       
[  5]  32.00-33.00  sec  57.5 MBytes  482345 Kbits/sec    0    897 KBytes       
[  5]  33.00-34.00  sec  56.2 MBytes  471840 Kbits/sec    0    897 KBytes       
[  5]  34.00-35.00  sec  57.5 MBytes  482364 Kbits/sec    0    871 KBytes       
[  5]  35.00-36.00  sec  56.2 MBytes  471822 Kbits/sec    0    888 KBytes       
[  5]  36.00-37.00  sec  57.5 MBytes  482364 Kbits/sec    0    874 KBytes       
[  5]  37.00-38.00  sec  56.2 MBytes  471856 Kbits/sec    0    888 KBytes       
[  5]  38.00-39.00  sec  57.5 MBytes  482348 Kbits/sec    0    834 KBytes       
