Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 44298 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.88 MBytes  40951 Kbits/sec   95    216 KBytes       
[  5]   1.00-2.00   sec  4.85 MBytes  40664 Kbits/sec    0    235 KBytes       
[  5]   2.00-3.00   sec  4.85 MBytes  40661 Kbits/sec    0    243 KBytes       
[  5]   3.00-4.00   sec  4.04 MBytes  33879 Kbits/sec    0    253 KBytes       
[  5]   4.00-5.00   sec  5.65 MBytes  47441 Kbits/sec    0    267 KBytes       
[  5]   5.00-6.00   sec  4.85 MBytes  40659 Kbits/sec    0    283 KBytes       
[  5]   6.00-7.00   sec  5.65 MBytes  47437 Kbits/sec    0    298 KBytes       
[  5]   7.00-8.00   sec  5.65 MBytes  47435 Kbits/sec    0    313 KBytes       
[  5]   8.00-9.00   sec  6.46 MBytes  54215 Kbits/sec    0    327 KBytes       
[  5]   9.00-10.00  sec  6.46 MBytes  54214 Kbits/sec    0    342 KBytes       
[  5]  10.00-11.00  sec  6.46 MBytes  54211 Kbits/sec    0    382 KBytes       
[  5]  11.00-12.00  sec  8.45 MBytes  70896 Kbits/sec    0    458 KBytes       
[  5]  12.00-13.00  sec  10.1 MBytes  84447 Kbits/sec    0    561 KBytes       
[  5]  13.00-14.00  sec  12.1 MBytes  101310 Kbits/sec    0    690 KBytes       
[  5]  14.00-15.00  sec  10.0 MBytes  83886 Kbits/sec    9    554 KBytes       
[  5]  15.00-16.00  sec  11.2 MBytes  94372 Kbits/sec    0    612 KBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94372 Kbits/sec    0    650 KBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  94371 Kbits/sec    0    676 KBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94373 Kbits/sec    9    488 KBytes       
[  5]  19.00-20.00  sec  10.0 MBytes  83886 Kbits/sec    0    532 KBytes       
[  5]  20.00-21.00  sec  10.0 MBytes  83884 Kbits/sec    0    560 KBytes       
[  5]  21.00-22.00  sec  11.2 MBytes  94374 Kbits/sec    0    576 KBytes       
[  5]  22.00-23.00  sec  11.2 MBytes  94372 Kbits/sec    0    583 KBytes       
[  5]  23.00-24.00  sec  11.2 MBytes  94372 Kbits/sec    0    584 KBytes       
[  5]  24.00-25.00  sec  10.0 MBytes  83880 Kbits/sec    0    584 KBytes       
[  5]  25.00-26.00  sec  11.2 MBytes  94375 Kbits/sec    0    585 KBytes       
[  5]  26.00-27.00  sec  11.2 MBytes  94371 Kbits/sec    0    600 KBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94370 Kbits/sec    0    614 KBytes       
[  5]  28.00-29.00  sec  12.5 MBytes  104864 Kbits/sec    0    634 KBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94371 Kbits/sec    0    675 KBytes       
[  5]  30.00-31.00  sec  10.0 MBytes  83886 Kbits/sec    9    533 KBytes       
[  5]  31.00-32.00  sec  11.2 MBytes  94372 Kbits/sec    0    595 KBytes       
[  5]  32.00-33.00  sec  11.2 MBytes  94372 Kbits/sec    0    639 KBytes       
[  5]  33.00-34.00  sec  11.2 MBytes  94372 Kbits/sec    0    666 KBytes       
[  5]  34.00-35.00  sec  11.2 MBytes  94369 Kbits/sec    0    682 KBytes       
[  5]  35.00-36.00  sec  10.0 MBytes  83881 Kbits/sec    9    499 KBytes       
[  5]  36.00-37.00  sec  10.0 MBytes  83887 Kbits/sec    0    539 KBytes       
[  5]  37.00-38.00  sec  11.2 MBytes  94378 Kbits/sec    0    564 KBytes       
[  5]  38.00-39.00  sec  11.2 MBytes  94372 Kbits/sec    0    578 KBytes       
[  5]  39.00-40.00  sec  11.2 MBytes  94371 Kbits/sec    0    584 KBytes       
[  5]  40.00-41.00  sec  10.0 MBytes  83882 Kbits/sec    0    584 KBytes       
[  5]  41.00-42.00  sec  11.2 MBytes  94373 Kbits/sec    0    584 KBytes       
[  5]  42.00-43.00  sec  11.2 MBytes  94373 Kbits/sec    0    588 KBytes       
[  5]  43.00-44.00  sec  11.2 MBytes  94369 Kbits/sec    0    602 KBytes       
[  5]  44.00-45.00  sec  11.2 MBytes  94371 Kbits/sec    0    617 KBytes       
[  5]  45.00-46.00  sec  12.5 MBytes  104864 Kbits/sec    0    641 KBytes       
[  5]  46.00-47.00  sec  11.2 MBytes  94371 Kbits/sec    0    686 KBytes       
[  5]  47.00-48.00  sec  10.0 MBytes  83886 Kbits/sec    9    549 KBytes       
[  5]  48.00-49.00  sec  11.2 MBytes  94370 Kbits/sec    0    607 KBytes       
[  5]  49.00-50.00  sec  11.2 MBytes  94372 Kbits/sec    0    646 KBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  94373 Kbits/sec    0    672 KBytes       
[  5]  51.00-52.00  sec  11.2 MBytes  94371 Kbits/sec    0    684 KBytes       
[  5]  52.00-53.00  sec  10.0 MBytes  83884 Kbits/sec    9    510 KBytes       
[  5]  53.00-54.00  sec  10.0 MBytes  83886 Kbits/sec    0    546 KBytes       
[  5]  54.00-55.00  sec  11.2 MBytes  94375 Kbits/sec    0    568 KBytes       
[  5]  55.00-56.00  sec  11.2 MBytes  94372 Kbits/sec    0    580 KBytes       
[  5]  56.00-57.00  sec  10.0 MBytes  83881 Kbits/sec    0    584 KBytes       
[  5]  57.00-58.00  sec  11.2 MBytes  94374 Kbits/sec    0    584 KBytes       
[  5]  58.00-59.00  sec  11.2 MBytes  94372 Kbits/sec    0    584 KBytes       
[  5]  59.00-60.00  sec  11.2 MBytes  94370 Kbits/sec    0    591 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   595 MBytes  83244 Kbits/sec  149             sender
[  5]   0.00-60.05  sec   593 MBytes  82829 Kbits/sec                  receiver

iperf Done.
