Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 50796 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.97 MBytes  16540 Kbits/sec    8    366 KBytes       
[  5]   1.00-2.00   sec  1.55 MBytes  13028 Kbits/sec   53    305 KBytes       
[  5]   2.00-3.00   sec  2.24 MBytes  18768 Kbits/sec    0    344 KBytes       
[  5]   3.00-4.00   sec  2.24 MBytes  18766 Kbits/sec    0    368 KBytes       
[  5]   4.00-5.00   sec  2.24 MBytes  18766 Kbits/sec    0    380 KBytes       
[  5]   5.00-6.00   sec  2.24 MBytes  18766 Kbits/sec    0    386 KBytes       
[  5]   6.00-7.00   sec  2.24 MBytes  18766 Kbits/sec    0    386 KBytes       
[  5]   7.00-8.00   sec  2.24 MBytes  18766 Kbits/sec    0    386 KBytes       
[  5]   8.00-9.00   sec  3.04 MBytes  25550 Kbits/sec    0    389 KBytes       
[  5]   9.00-10.00  sec  1.62 MBytes  13549 Kbits/sec    0    399 KBytes       
[  5]  10.00-11.00  sec  2.42 MBytes  20331 Kbits/sec    0    416 KBytes       
[  5]  11.00-12.00  sec  2.55 MBytes  21374 Kbits/sec    0    447 KBytes       
[  5]  12.00-13.00  sec  2.73 MBytes  22940 Kbits/sec    6    351 KBytes       
[  5]  13.00-14.00  sec  1.80 MBytes  15114 Kbits/sec    0    396 KBytes       
[  5]  14.00-15.00  sec  2.67 MBytes  22420 Kbits/sec    0    424 KBytes       
[  5]  15.00-16.00  sec  1.86 MBytes  15635 Kbits/sec    0    443 KBytes       
[  5]  16.00-17.00  sec  2.73 MBytes  22941 Kbits/sec    2    329 KBytes       
[  5]  17.00-18.00  sec  1.80 MBytes  15115 Kbits/sec    0    356 KBytes       
[  5]  18.00-19.00  sec  2.67 MBytes  22419 Kbits/sec    0    372 KBytes       
[  5]  19.00-20.00  sec  1.80 MBytes  15115 Kbits/sec    0    379 KBytes       
[  5]  20.00-21.00  sec  2.80 MBytes  23461 Kbits/sec    0    379 KBytes       
[  5]  21.00-22.00  sec  1.86 MBytes  15636 Kbits/sec    0    379 KBytes       
[  5]  22.00-23.00  sec  1.86 MBytes  15636 Kbits/sec    0    380 KBytes       
[  5]  23.00-24.00  sec  2.73 MBytes  22941 Kbits/sec    0    389 KBytes       
[  5]  24.00-25.00  sec  2.61 MBytes  21897 Kbits/sec    0    403 KBytes       
[  5]  25.00-26.00  sec  1.80 MBytes  15115 Kbits/sec    0    431 KBytes       
[  5]  26.00-27.00  sec  1.99 MBytes  16680 Kbits/sec    6    325 KBytes       
[  5]  27.00-28.00  sec  2.73 MBytes  22939 Kbits/sec    0    379 KBytes       
[  5]  28.00-29.00  sec  1.74 MBytes  14593 Kbits/sec    0    414 KBytes       
[  5]  29.00-30.00  sec  2.67 MBytes  22419 Kbits/sec    0    437 KBytes       
[  5]  30.00-31.00  sec  1.80 MBytes  15114 Kbits/sec    2    313 KBytes       
[  5]  31.00-32.00  sec  2.67 MBytes  22420 Kbits/sec    0    346 KBytes       
[  5]  32.00-33.00  sec  1.86 MBytes  15635 Kbits/sec    0    366 KBytes       
[  5]  33.00-34.00  sec  2.67 MBytes  22419 Kbits/sec    0    376 KBytes       
[  5]  34.00-35.00  sec  1.80 MBytes  15114 Kbits/sec    0    379 KBytes       
[  5]  35.00-36.00  sec  2.80 MBytes  23463 Kbits/sec    0    379 KBytes       
[  5]  36.00-37.00  sec  1.86 MBytes  15635 Kbits/sec    0    379 KBytes       
[  5]  37.00-38.00  sec  2.67 MBytes  22419 Kbits/sec    0    385 KBytes       
[  5]  38.00-39.00  sec  1.74 MBytes  14592 Kbits/sec    0    396 KBytes       
[  5]  39.00-40.00  sec  2.67 MBytes  22419 Kbits/sec    0    417 KBytes       
[  5]  40.00-41.00  sec  2.73 MBytes  22940 Kbits/sec    2    441 KBytes       
[  5]  41.00-42.00  sec  1.80 MBytes  15115 Kbits/sec    4    359 KBytes       
[  5]  42.00-43.00  sec  1.80 MBytes  15114 Kbits/sec    0    402 KBytes       
[  5]  43.00-44.00  sec  2.67 MBytes  22420 Kbits/sec    0    428 KBytes       
[  5]  44.00-45.00  sec  1.86 MBytes  15635 Kbits/sec    0    444 KBytes       
[  5]  45.00-46.00  sec  2.73 MBytes  22941 Kbits/sec    2    329 KBytes       
[  5]  46.00-47.00  sec  1.80 MBytes  15115 Kbits/sec    0    356 KBytes       
[  5]  47.00-48.00  sec  2.67 MBytes  22419 Kbits/sec    0    370 KBytes       
[  5]  48.00-49.00  sec  1.80 MBytes  15114 Kbits/sec    0    379 KBytes       
[  5]  49.00-50.00  sec  2.80 MBytes  23463 Kbits/sec    0    379 KBytes       
[  5]  50.00-51.00  sec  1.86 MBytes  15636 Kbits/sec    0    379 KBytes       
[  5]  51.00-52.00  sec  2.80 MBytes  23463 Kbits/sec    0    380 KBytes       
[  5]  52.00-53.00  sec  1.80 MBytes  15114 Kbits/sec    0    389 KBytes       
[  5]  53.00-54.00  sec  2.67 MBytes  22419 Kbits/sec    0    403 KBytes       
[  5]  54.00-55.00  sec  1.74 MBytes  14593 Kbits/sec    0    430 KBytes       
[  5]  55.00-56.00  sec  2.80 MBytes  23463 Kbits/sec    6    324 KBytes       
[  5]  56.00-57.00  sec  1.74 MBytes  14593 Kbits/sec    0    378 KBytes       
[  5]  57.00-58.00  sec  2.67 MBytes  22419 Kbits/sec    0    414 KBytes       
[  5]  58.00-59.00  sec  1.74 MBytes  14592 Kbits/sec    0    436 KBytes       
[  5]  59.00-60.00  sec  2.67 MBytes  22419 Kbits/sec    2    321 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   135 MBytes  18903 Kbits/sec   93             sender
[  5]   0.00-60.15  sec   134 MBytes  18619 Kbits/sec                  receiver

iperf Done.
