Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 43554 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  26.5 MBytes  222176 Kbits/sec  1494   1.47 MBytes       
[  5]   1.00-2.00   sec  26.2 MBytes  220208 Kbits/sec  292   1.65 MBytes       
[  5]   2.00-3.00   sec  28.8 MBytes  241161 Kbits/sec  731   1.64 MBytes       
[  5]   3.00-4.00   sec  28.8 MBytes  241179 Kbits/sec  512   1.61 MBytes       
[  5]   4.00-5.00   sec  27.5 MBytes  230687 Kbits/sec  675   1.64 MBytes       
[  5]   5.00-6.00   sec  28.8 MBytes  241173 Kbits/sec  592   1.08 MBytes       
[  5]   6.00-7.00   sec  27.5 MBytes  230697 Kbits/sec  720   1.66 MBytes       
[  5]   7.00-8.00   sec  28.8 MBytes  241157 Kbits/sec  686    930 KBytes       
[  5]   8.00-9.00   sec  28.8 MBytes  241171 Kbits/sec  600   1.66 MBytes       
[  5]   9.00-10.00  sec  27.5 MBytes  230689 Kbits/sec  688    863 KBytes       
[  5]  10.00-11.00  sec  21.2 MBytes  178265 Kbits/sec  588   1.65 MBytes       
[  5]  11.00-12.00  sec  27.5 MBytes  230682 Kbits/sec  829   1.65 MBytes       
[  5]  12.00-13.00  sec  28.8 MBytes  241172 Kbits/sec  843   1.65 MBytes       
[  5]  13.00-14.00  sec  28.8 MBytes  241168 Kbits/sec  787   1.65 MBytes       
[  5]  14.00-15.00  sec  27.5 MBytes  230696 Kbits/sec  775   1.40 MBytes       
[  5]  15.00-16.00  sec  27.5 MBytes  230680 Kbits/sec  589    916 KBytes       
[  5]  16.00-17.00  sec  28.8 MBytes  241170 Kbits/sec  560   1.67 MBytes       
[  5]  17.00-18.00  sec  28.8 MBytes  241173 Kbits/sec  692   1.63 MBytes       
[  5]  18.00-19.00  sec  27.5 MBytes  230687 Kbits/sec  786    962 KBytes       
[  5]  19.00-20.00  sec  28.8 MBytes  241171 Kbits/sec  711   1.65 MBytes       
[  5]  20.00-21.00  sec  22.5 MBytes  188708 Kbits/sec  530   1.58 MBytes       
[  5]  21.00-22.00  sec  27.5 MBytes  230731 Kbits/sec  672    856 KBytes       
[  5]  22.00-23.00  sec  27.5 MBytes  230679 Kbits/sec  637    891 KBytes       
[  5]  23.00-24.00  sec  28.8 MBytes  241175 Kbits/sec  784   1.64 MBytes       
[  5]  24.00-25.00  sec  28.8 MBytes  241178 Kbits/sec  633   1.64 MBytes       
[  5]  25.00-26.00  sec  27.5 MBytes  230690 Kbits/sec  753   1.64 MBytes       
[  5]  26.00-27.00  sec  28.8 MBytes  241170 Kbits/sec  769   1.66 MBytes       
[  5]  27.00-28.00  sec  28.8 MBytes  241184 Kbits/sec  835   1.66 MBytes       
[  5]  28.00-29.00  sec  27.5 MBytes  230680 Kbits/sec  903   1.65 MBytes       
[  5]  29.00-30.00  sec  28.8 MBytes  241166 Kbits/sec  661   1.64 MBytes       
[  5]  30.00-31.00  sec  27.5 MBytes  230688 Kbits/sec  633   1.64 MBytes       
[  5]  31.00-32.00  sec  21.2 MBytes  178258 Kbits/sec  516   1.61 MBytes       
[  5]  32.00-33.00  sec  28.8 MBytes  241172 Kbits/sec  751    997 KBytes       
[  5]  33.00-34.00  sec  27.5 MBytes  230687 Kbits/sec  691    962 KBytes       
[  5]  34.00-35.00  sec  28.8 MBytes  241170 Kbits/sec  817   1.64 MBytes       
[  5]  35.00-36.00  sec  27.5 MBytes  230690 Kbits/sec  710    912 KBytes       
[  5]  36.00-37.00  sec  28.8 MBytes  241182 Kbits/sec  625    969 KBytes       
[  5]  37.00-38.00  sec  27.5 MBytes  230672 Kbits/sec  554    856 KBytes       
[  5]  38.00-39.00  sec  30.0 MBytes  251662 Kbits/sec  772   1.00 MBytes       
[  5]  39.00-40.00  sec  27.5 MBytes  230689 Kbits/sec  740    856 KBytes       
[  5]  40.00-41.00  sec  28.8 MBytes  241172 Kbits/sec  723   1.28 MBytes       
[  5]  41.00-42.00  sec  21.2 MBytes  178261 Kbits/sec  655    863 KBytes       
[  5]  42.00-43.00  sec  28.8 MBytes  241170 Kbits/sec  651    990 KBytes       
[  5]  43.00-44.00  sec  28.8 MBytes  241176 Kbits/sec  920   1.68 MBytes       
[  5]  44.00-45.00  sec  27.5 MBytes  230685 Kbits/sec  743    863 KBytes       
[  5]  45.00-46.00  sec  27.5 MBytes  230688 Kbits/sec  814    863 KBytes       
[  5]  46.00-47.00  sec  27.5 MBytes  230678 Kbits/sec  915    863 KBytes       
[  5]  47.00-48.00  sec  30.0 MBytes  251667 Kbits/sec  623   1.64 MBytes       
[  5]  48.00-49.00  sec  27.5 MBytes  230686 Kbits/sec  704   1.65 MBytes       
[  5]  49.00-50.00  sec  28.8 MBytes  241164 Kbits/sec  647   1.65 MBytes       
[  5]  50.00-51.00  sec  27.5 MBytes  230690 Kbits/sec  790   1.62 MBytes       
[  5]  51.00-52.00  sec  22.5 MBytes  188747 Kbits/sec  709   1.64 MBytes       
[  5]  52.00-53.00  sec  27.5 MBytes  230684 Kbits/sec  791   1.65 MBytes       
[  5]  53.00-54.00  sec  27.5 MBytes  230688 Kbits/sec  832   1.62 MBytes       
[  5]  54.00-55.00  sec  28.8 MBytes  241171 Kbits/sec  749    813 KBytes       
[  5]  55.00-56.00  sec  27.5 MBytes  230684 Kbits/sec  745   1.40 MBytes       
[  5]  56.00-57.00  sec  28.8 MBytes  241174 Kbits/sec  559   1.26 MBytes       
[  5]  57.00-58.00  sec  28.8 MBytes  241179 Kbits/sec  534    954 KBytes       
[  5]  58.00-59.00  sec  28.8 MBytes  241185 Kbits/sec  736   1024 KBytes       
[  5]  59.00-60.00  sec  27.5 MBytes  230668 Kbits/sec  793   1.64 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.62 GBytes  231593 Kbits/sec  42769             sender
[  5]   0.00-60.04  sec  1.62 GBytes  231049 Kbits/sec                  receiver

iperf Done.
