Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 33348 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  31.4 MBytes  263241 Kbits/sec  2056    455 KBytes       
[  5]   1.00-2.00   sec  27.5 MBytes  230687 Kbits/sec  1715    441 KBytes       
[  5]   2.00-3.00   sec  28.8 MBytes  241173 Kbits/sec  1649    242 KBytes       
[  5]   3.00-4.00   sec  28.8 MBytes  241173 Kbits/sec  1743    194 KBytes       
[  5]   4.00-5.00   sec  28.8 MBytes  241171 Kbits/sec  1673    452 KBytes       
[  5]   5.00-6.00   sec  28.8 MBytes  241176 Kbits/sec  1756    378 KBytes       
[  5]   6.00-7.00   sec  27.5 MBytes  230683 Kbits/sec  1783    486 KBytes       
[  5]   7.00-8.00   sec  28.8 MBytes  241172 Kbits/sec  1638    195 KBytes       
[  5]   8.00-9.00   sec  28.8 MBytes  241174 Kbits/sec  1620    259 KBytes       
[  5]   9.00-10.00  sec  28.8 MBytes  241171 Kbits/sec  1649    221 KBytes       
[  5]  10.00-11.00  sec  16.2 MBytes  136315 Kbits/sec  995    430 KBytes       
[  5]  11.00-12.00  sec  28.8 MBytes  241173 Kbits/sec  1713    452 KBytes       
[  5]  12.00-13.00  sec  28.8 MBytes  241173 Kbits/sec  1709    225 KBytes       
[  5]  13.00-14.00  sec  28.8 MBytes  241171 Kbits/sec  1707    397 KBytes       
[  5]  14.00-15.00  sec  28.8 MBytes  241057 Kbits/sec  1698    478 KBytes       
[  5]  15.00-16.00  sec  27.5 MBytes  230797 Kbits/sec  1697    447 KBytes       
[  5]  16.00-17.00  sec  28.8 MBytes  241174 Kbits/sec  1712    441 KBytes       
[  5]  17.00-18.00  sec  28.8 MBytes  241172 Kbits/sec  1768    478 KBytes       
[  5]  18.00-19.00  sec  28.8 MBytes  241179 Kbits/sec  1770    243 KBytes       
[  5]  19.00-20.00  sec  28.8 MBytes  241165 Kbits/sec  1695    255 KBytes       
[  5]  20.00-21.00  sec  22.5 MBytes  188744 Kbits/sec  1348    481 KBytes       
[  5]  21.00-22.00  sec  28.8 MBytes  241174 Kbits/sec  1799    461 KBytes       
[  5]  22.00-23.00  sec  27.5 MBytes  230685 Kbits/sec  1802    495 KBytes       
[  5]  23.00-24.00  sec  28.8 MBytes  241174 Kbits/sec  1751    376 KBytes       
[  5]  24.00-25.00  sec  28.8 MBytes  241171 Kbits/sec  1784    461 KBytes       
[  5]  25.00-26.00  sec  28.8 MBytes  241172 Kbits/sec  1669    452 KBytes       
[  5]  26.00-27.00  sec  28.8 MBytes  241183 Kbits/sec  1706    461 KBytes       
[  5]  27.00-28.00  sec  27.5 MBytes  230677 Kbits/sec  1797    255 KBytes       
[  5]  28.00-29.00  sec  28.8 MBytes  241173 Kbits/sec  1814    436 KBytes       
[  5]  29.00-30.00  sec  28.8 MBytes  241170 Kbits/sec  1721    486 KBytes       
[  5]  30.00-31.00  sec  22.5 MBytes  188745 Kbits/sec  1332    467 KBytes       
[  5]  31.00-32.00  sec  28.8 MBytes  241173 Kbits/sec  1736    452 KBytes       
[  5]  32.00-33.00  sec  28.8 MBytes  241173 Kbits/sec  1693    447 KBytes       
