Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 54820 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   619 KBytes  5072 Kbits/sec    0    113 KBytes       
[  5]   1.00-2.00   sec  2.24 MBytes  18762 Kbits/sec   79    303 KBytes       
[  5]   2.00-3.00   sec  1.62 MBytes  13553 Kbits/sec    0    351 KBytes       
[  5]   3.00-4.00   sec  1.62 MBytes  13551 Kbits/sec    0    382 KBytes       
[  5]   4.00-5.00   sec  2.42 MBytes  20338 Kbits/sec    0    399 KBytes       
[  5]   5.00-6.00   sec  1.62 MBytes  13551 Kbits/sec    0    409 KBytes       
[  5]   6.00-7.00   sec  2.42 MBytes  20334 Kbits/sec    0    410 KBytes       
[  5]   7.00-8.00   sec  1.62 MBytes  13551 Kbits/sec    0    410 KBytes       
[  5]   8.00-9.00   sec  2.42 MBytes  20334 Kbits/sec    0    411 KBytes       
[  5]   9.00-10.00  sec  1.62 MBytes  13551 Kbits/sec    0    417 KBytes       
[  5]  10.00-11.00  sec  2.55 MBytes  21376 Kbits/sec    0    430 KBytes       
[  5]  11.00-12.00  sec  1.74 MBytes  14593 Kbits/sec    0    454 KBytes       
[  5]  12.00-13.00  sec  2.86 MBytes  23983 Kbits/sec    0    494 KBytes       
[  5]  13.00-14.00  sec  2.05 MBytes  17199 Kbits/sec    0    551 KBytes       
[  5]  14.00-15.00  sec  3.42 MBytes  28672 Kbits/sec    0    631 KBytes       
[  5]  15.00-16.00  sec  3.74 MBytes  31402 Kbits/sec    0    735 KBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31457 Kbits/sec    0    870 KBytes       
[  5]  17.00-18.00  sec  5.00 MBytes  41948 Kbits/sec    0   1.01 MBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.20 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41939 Kbits/sec   35    949 KBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41945 Kbits/sec    0   1.03 MBytes       
[  5]  21.00-22.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.12 MBytes       
[  5]  22.00-23.00  sec  6.25 MBytes  52434 Kbits/sec    0   1.18 MBytes       
[  5]  23.00-24.00  sec  5.00 MBytes  41938 Kbits/sec    0   1.22 MBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41941 Kbits/sec    8    902 KBytes       
[  5]  25.00-26.00  sec  5.00 MBytes  41945 Kbits/sec    0    969 KBytes       
[  5]  26.00-27.00  sec  5.00 MBytes  41945 Kbits/sec    0   1017 KBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  41943 Kbits/sec    0   1.02 MBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41942 Kbits/sec    0   1.04 MBytes       
