BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
9584,9649,100,10,5
9584,9649,100,10,5
9584,9658,100,10,5
9584,9649,100,10,5
9584,9649,100,10,5
9532,9626,100,10,10
9532,9626,100,10,10
9532,9626,100,10,10
9532,9626,100,10,10
9532,9626,100,10,10
9508,9659,100,10,25
9535,9641,100,10,25
9535,9633,100,10,25
9531,9633,100,10,25
9535,9641,100,10,25
9556,9650,100,10,50
9556,9650,100,10,50
9505,9641,100,10,50
9505,9641,100,10,50
9505,9641,100,10,50
9528,9633,100,10,75
9528,9633,100,10,75
9607,9633,100,10,75
9528,9633,100,10,75
9528,9633,100,10,75
9589,9633,100,10,100
9589,9650,100,10,100
9589,9624,100,10,100
9659,9633,100,10,100
9659,9650,100,10,100
9522,9625,100,10,150
9522,9641,100,10,150
9522,9589,100,10,150
9522,9598,100,10,150
9605,9659,100,10,150
9697,9624,100,10,200
9522,9580,100,10,200
9605,9642,100,10,200
9697,9615,100,10,200
9605,9615,100,10,200
19014,19276,100,20,5
19014,19276,100,20,5
19014,19276,100,20,5
19014,19233,100,20,5
19014,19233,100,20,5
18966,19188,100,20,10
18966,19188,100,20,10
18966,19188,100,20,10
18963,19188,100,20,10
18963,19188,100,20,10
18944,19284,100,20,25
18944,19241,100,20,25
19004,19258,100,20,25
19004,19276,100,20,25
19004,19250,100,20,25
18990,19224,100,20,50
18963,19189,100,20,50
19012,19181,100,20,50
18963,19189,100,20,50
18964,19181,100,20,50
19042,19181,100,20,75
18925,19189,100,20,75
18959,19189,100,20,75
19134,19181,100,20,75
19134,19163,100,20,75
18959,19172,100,20,100
18925,19189,100,20,100
19042,19189,100,20,100
18959,19198,100,20,100
18959,19138,100,20,100
18959,18850,100,20,150
18784,18903,100,20,150
18784,18937,100,20,150
18784,18937,100,20,150
18609,18860,100,20,150
18260,18130,100,20,200
18260,18051,100,20,200
18401,18112,100,20,200
18343,18086,100,20,200
18260,18069,100,20,200
47287,47893,100,50,5
47245,47902,100,50,5
47304,47893,100,50,5
47287,47885,100,50,5
47252,47902,100,50,5
47284,48008,100,50,10
47266,47973,100,50,10
47284,48029,100,50,10
47214,48034,100,50,10
47284,48012,100,50,10
47352,48042,100,50,25
47352,48059,100,50,25
47352,48042,100,50,25
47352,48042,100,50,25
47352,48042,100,50,25
46921,47617,100,50,50
46820,47599,100,50,50
46995,47590,100,50,50
46820,47582,100,50,50
46921,47625,100,50,50
46305,45992,100,50,75
46305,45905,100,50,75
46305,45983,100,50,75
46222,46001,100,50,75
46305,45948,100,50,75
45955,43552,100,50,100
45872,43369,100,50,100
45780,43369,100,50,100
45872,43369,100,50,100
45839,43377,100,50,100
44824,39584,100,50,150
44790,39409,100,50,150
44732,39409,100,50,150
44649,39409,100,50,150
44557,39461,100,50,150
43775,36820,100,50,200
44125,36829,100,50,200
44125,36812,100,50,200
43950,36820,100,50,200
44474,36717,100,50,200
94367,95706,100,100,5
94367,95733,100,100,5
94454,95724,100,100,5
94419,95733,100,100,5
94497,95733,100,100,5
94372,95786,100,100,10
94372,95822,100,100,10
94372,95803,100,100,10
94372,95794,100,100,10
94372,95777,100,100,10
94055,94470,100,100,25
94011,94701,100,100,25
94019,94744,100,100,25
94019,94469,100,100,25
94019,94593,100,100,25
92608,87003,100,100,50
92509,83244,100,100,50
92259,87012,100,100,50
92608,87003,100,100,50
92783,83254,100,100,50
91568,79398,100,100,75
91311,76861,100,100,75
91393,79736,100,100,75
91660,79607,100,100,75
91490,76878,100,100,75
89879,74378,100,100,100
89995,74508,100,100,100
89355,74344,100,100,100
89471,74397,100,100,100
89213,74360,100,100,100
81524,50547,100,100,150
78907,46155,100,100,150
81524,50338,100,100,150
81524,50524,100,100,150
81432,50522,100,100,150
72611,40892,100,100,200
74616,40487,100,100,200
74092,40485,100,100,200
74188,40601,100,100,200
74359,40594,100,100,200
235295,232629,100,250,5
235339,233020,100,250,5
235339,232742,100,250,5
235339,232646,100,250,5
234550,232855,100,250,5
234531,226882,100,250,10
234533,227305,100,250,10
233789,227286,100,250,10
234879,227125,100,250,10
234879,227282,100,250,10
231898,201370,100,250,25
232223,205569,100,250,25
231856,204870,100,250,25
231593,207199,100,250,25
231593,203254,100,250,25
218950,174174,100,250,50
214756,176216,100,250,50
212135,174312,100,250,50
218915,174159,100,250,50
210037,174032,100,250,50
192395,104227,100,250,75
198512,100010,100,250,75
198512,95764,100,250,75
193444,105596,100,250,75
197813,104720,100,250,75
170899,73165,100,250,100
169255,81755,100,250,100
168555,74327,100,250,100
169458,76931,100,250,100
169152,73259,100,250,100
147234,57101,100,250,150
147655,48600,100,250,150
146152,58026,100,250,150
146957,45035,100,250,150
148705,54130,100,250,150
97674,39859,100,250,200
96276,39848,100,250,200
96112,38195,100,250,200
96276,42516,100,250,200
96276,38839,100,250,200
464810,391862,100,500,5
464636,379092,100,500,5
465160,390707,100,500,5
463360,386580,100,500,5
464985,362593,100,500,5
461897,353522,100,500,10
459975,350455,100,500,10
462596,360794,100,500,10
462596,351000,100,500,10
461385,340199,100,500,10
381539,264761,100,500,25
385340,242080,100,500,25
387481,288139,100,500,25
385731,264883,100,500,25
384697,300891,100,500,25
338574,156295,100,500,50
340871,162220,100,500,50
341470,164177,100,500,50
340770,162228,100,500,50
339722,143900,100,500,50
306093,96112,100,500,75
308190,100272,100,500,75
307841,109082,100,500,75
305919,92591,100,500,75
308798,107062,100,500,75
227242,71367,100,500,100
226485,79373,100,500,100
226834,73967,100,500,100
228407,68349,100,500,100
225178,71911,100,500,100
150987,54200,100,500,150
152094,52564,100,500,150
151079,58123,100,500,150
152652,50749,100,500,150
150114,49226,100,500,150
114986,41404,100,500,200
114903,43083,100,500,200
115952,37158,100,500,200
114903,40043,100,500,200
115952,35407,100,500,200
693749,369439,100,750,5
694274,366832,100,750,5
694448,381663,100,750,5
691827,374812,100,750,5
693749,369765,100,750,5
677904,345118,100,750,10
680522,359687,100,750,10
677904,367331,100,750,10
677380,353286,100,750,10
675807,363849,100,750,10
507368,213669,100,750,25
525324,227839,100,750,25
518903,207203,100,750,25
508564,210763,100,750,25
505446,251474,100,750,25
466599,133443,100,750,50
467298,110952,100,750,50
466599,141965,100,750,50
464161,107425,100,750,50
464153,150205,100,750,50
306792,89689,100,750,75
308016,91340,100,750,75
308681,87605,100,750,75
308623,90619,100,750,75
308798,89965,100,750,75
230155,68220,100,750,100
230213,63298,100,750,100
228582,67846,100,750,100
229548,68553,100,750,100
229897,64474,100,750,100
154924,46697,100,750,150
155973,51243,100,750,150
156147,57357,100,750,150
154832,54038,100,750,150
155973,47330,100,750,150
115860,36907,100,750,200
115952,37427,100,750,200
115952,38293,100,750,200
115428,35687,100,750,200
114903,43720,100,750,200
927354,376198,100,1000,5
924907,372149,100,1000,5
925606,372384,100,1000,5
924907,377267,100,1000,5
924733,360316,100,1000,5
860705,314804,100,1000,10
861765,316186,100,1000,10
863501,298755,100,1000,10
865309,302640,100,1000,10
863666,319930,100,1000,10
674092,157812,100,1000,25
681968,202427,100,1000,25
675315,146431,100,1000,25
685276,173941,100,1000,25
677757,183186,100,1000,25
467374,102039,100,1000,50
465976,111110,100,1000,50
467648,106124,100,1000,50
470619,97388,100,1000,50
466850,99063,100,1000,50
309846,71376,100,1000,75
309846,75126,100,1000,75
309763,70343,100,1000,75
306268,90737,100,1000,75
310021,76087,100,1000,75
234790,58491,100,1000,100
235489,68279,100,1000,100
235138,70285,100,1000,100
235315,63905,100,1000,100
234790,70905,100,1000,100
156322,44776,100,1000,150
155007,47222,100,1000,150
154832,37253,100,1000,150
153958,43378,100,1000,150
155099,46698,100,1000,150
116301,36384,100,1000,200
114986,40932,100,1000,200
116127,38481,100,1000,200
116301,33583,100,1000,200
115952,35513,100,1000,200
9584,9957,10000,10,5
9584,9960,10000,10,5
9584,9820,10000,10,5
9584,9820,10000,10,5
9584,9820,10000,10,5
9532,9939,10000,10,10
9526,9939,10000,10,10
9535,9939,10000,10,10
9535,9894,10000,10,10
9532,9833,10000,10,10
9513,9987,10000,10,25
9522,9987,10000,10,25
9513,9987,10000,10,25
9513,9988,10000,10,25
9520,9987,10000,10,25
9560,9924,10000,10,50
9581,9924,10000,10,50
9583,9924,10000,10,50
9563,9924,10000,10,50
9583,9924,10000,10,50
9638,9924,10000,10,75
9516,9924,10000,10,75
9546,9924,10000,10,75
9516,9924,10000,10,75
9627,9924,10000,10,75
9568,9765,10000,10,100
9568,9924,10000,10,100
9616,9924,10000,10,100
9616,9924,10000,10,100
9568,9924,10000,10,100
9488,9749,10000,10,150
9488,9749,10000,10,150
9488,9749,10000,10,150
9550,9749,10000,10,150
9550,9749,10000,10,150
9550,9749,10000,10,200
9550,9749,10000,10,200
9663,9749,10000,10,200
9663,9749,10000,10,200
9663,9749,10000,10,200
19014,19527,10000,20,5
19014,19514,10000,20,5
19014,19540,10000,20,5
19014,19514,10000,20,5
19014,19514,10000,20,5
18939,19418,10000,20,10
18974,19418,10000,20,10
18930,19418,10000,20,10
18974,19418,10000,20,10
18974,19418,10000,20,10
18955,19485,10000,20,25
18935,19412,10000,20,25
18936,19412,10000,20,25
18955,19412,10000,20,25
18935,19412,10000,20,25
19069,19361,10000,20,50
19055,19361,10000,20,50
19069,19361,10000,20,50
19055,19361,10000,20,50
19046,19361,10000,20,50
18925,19361,10000,20,75
18925,19361,10000,20,75
18925,19361,10000,20,75
18925,19361,10000,20,75
19005,19361,10000,20,75
19162,19361,10000,20,100
19100,19361,10000,20,100
19162,19361,10000,20,100
18987,19361,10000,20,100
18987,19361,10000,20,100
18812,19180,10000,20,150
18638,19180,10000,20,150
18987,19180,10000,20,150
18961,19180,10000,20,150
18925,19180,10000,20,150
18812,19005,10000,20,200
18812,19005,10000,20,200
18638,19005,10000,20,200
18812,19005,10000,20,200
18638,19005,10000,20,200
47313,48243,10000,50,5
47256,48262,10000,50,5
47313,48132,10000,50,5
47313,48236,10000,50,5
47313,48262,10000,50,5
47288,48166,10000,50,10
47288,48149,10000,50,10
47274,48166,10000,50,10
47235,48183,10000,50,10
47288,48149,10000,50,10
47232,48110,10000,50,25
47232,48110,10000,50,25
47232,48110,10000,50,25
47232,48081,10000,50,25
47232,48110,10000,50,25
46896,48078,10000,50,50
46774,48033,10000,50,50
46896,48078,10000,50,50
46949,48033,10000,50,50
46949,48033,10000,50,50
46774,47841,10000,50,75
46713,47841,10000,50,75
46713,47841,10000,50,75
46713,47876,10000,50,75
46887,47876,10000,50,75
47299,47662,10000,50,100
46887,47688,10000,50,100
46887,47697,10000,50,100
47299,47697,10000,50,100
47062,47697,10000,50,100
46250,47357,10000,50,150
45839,47312,10000,50,150
46600,47312,10000,50,150
46600,47312,10000,50,150
45839,47312,10000,50,150
45314,46788,10000,50,200
45027,46805,10000,50,200
45201,46797,10000,50,200
45027,46788,10000,50,200
45201,46788,10000,50,200
94349,96043,10000,100,5
94393,96047,10000,100,5
94384,96056,10000,100,5
94267,96047,10000,100,5
94401,96034,10000,100,5
94258,95993,10000,100,10
94191,95875,10000,100,10
94258,95967,10000,100,10
94322,95966,10000,100,10
94258,95910,10000,100,10
93961,95761,10000,100,25
94068,95769,10000,100,25
94068,95918,10000,100,25
94068,95918,10000,100,25
93962,95769,10000,100,25
93383,95430,10000,100,50
93383,95560,10000,100,50
93383,95429,10000,100,50
93383,95561,10000,100,50
93261,95560,10000,100,50
92850,95211,10000,100,75
92850,95211,10000,100,75
92850,95211,10000,100,75
92850,95211,10000,100,75
92737,95071,10000,100,75
91801,94879,10000,100,100
91976,94879,10000,100,100
91976,94896,10000,100,100
91976,94870,10000,100,100
91863,94879,10000,100,100
91164,94013,10000,100,150
91102,94005,10000,100,150
91102,94048,10000,100,150
90465,94014,10000,100,150
91102,94005,10000,100,150
88892,92782,10000,100,200
89067,92790,10000,100,200
88717,92791,10000,100,200
89416,92782,10000,100,200
88830,92790,10000,100,200
235121,238552,10000,250,5
234946,238977,10000,250,5
235121,239146,10000,250,5
235121,239239,10000,250,5
234946,238701,10000,250,5
234544,238855,10000,250,10
234575,237937,10000,250,10
234715,237822,10000,250,10
234594,237822,10000,250,10
234572,237857,10000,250,10
234053,237851,10000,250,25
233946,237970,10000,250,25
234053,237811,10000,250,25
233878,237842,10000,250,25
233913,238335,10000,250,25
232252,237742,10000,250,50
232077,237739,10000,250,50
232251,237499,10000,250,50
231969,237368,10000,250,50
231969,237725,10000,250,50
229864,236006,10000,250,75
229980,236032,10000,250,75
230038,236715,10000,250,75
229805,236528,10000,250,75
230679,235998,10000,250,75
218270,218609,10000,250,100
215824,218879,10000,250,100
216057,218885,10000,250,100
216697,219207,10000,250,100
215474,219036,10000,250,100
152909,156341,10000,250,150
152908,156348,10000,250,150
152793,156517,10000,250,150
151221,156340,10000,250,150
152793,156342,10000,250,150
113996,117369,10000,250,200
113762,117351,10000,250,200
114345,117213,10000,250,200
113996,117335,10000,250,200
114112,,10000,250,200
469136,,10000,500,5
469302,473364,10000,500,5
469162,474080,10000,500,5
469302,474209,10000,500,5
469127,476002,10000,500,5
468555,476727,10000,500,10
468401,476437,10000,500,10
468583,472598,10000,500,10
468576,476395,10000,500,10
468539,475508,10000,500,10
467030,473128,10000,500,25
465773,473134,10000,500,25
465632,473116,10000,500,25
465788,473144,10000,500,25
465807,473099,10000,500,25
435917,442213,10000,500,50
438713,442546,10000,500,50
438471,442194,10000,500,50
439868,443642,10000,500,50
437771,442543,10000,500,50
308972,315310,10000,500,75
312526,315317,10000,500,75
310604,315479,10000,500,75
310720,315486,10000,500,75
310895,315492,10000,500,75
232135,237451,10000,500,100
233649,237262,10000,500,100
231553,237396,10000,500,100
232659,237365,10000,500,100
232776,237366,10000,500,100
154482,158206,10000,500,150
155800,158094,10000,500,150
154482,158198,10000,500,150
