Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 54588 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  4.57 MBytes  38316 Kbits/sec  248    462 KBytes       
[  4]   1.00-2.00   sec  2.67 MBytes  22421 Kbits/sec  208    492 KBytes       
[  4]   2.00-3.00   sec  2.24 MBytes  18755 Kbits/sec    0    486 KBytes       
[  4]   3.00-4.00   sec  2.30 MBytes  19295 Kbits/sec    0    486 KBytes       
[  4]   4.00-5.00   sec  2.30 MBytes  19283 Kbits/sec    0    486 KBytes       
[  4]   5.00-6.00   sec  2.24 MBytes  18764 Kbits/sec    0    486 KBytes       
[  4]   6.00-7.00   sec  2.11 MBytes  17723 Kbits/sec   14    272 KBytes       
[  4]   7.00-8.00   sec  2.49 MBytes  20851 Kbits/sec   11    489 KBytes       
[  4]   8.00-9.00   sec  2.24 MBytes  18772 Kbits/sec    4    489 KBytes       
[  4]   9.00-10.00  sec  2.30 MBytes  19282 Kbits/sec    0    486 KBytes       
[  4]  10.00-11.00  sec  1.68 MBytes  14077 Kbits/sec    2    486 KBytes       
[  4]  11.00-12.00  sec  1.99 MBytes  16682 Kbits/sec    0    489 KBytes       
[  4]  12.00-13.00  sec  2.30 MBytes  19285 Kbits/sec    0    486 KBytes       
[  4]  13.00-14.00  sec  2.30 MBytes  19289 Kbits/sec    6    486 KBytes       
[  4]  14.00-15.00  sec  2.24 MBytes  18765 Kbits/sec    6    489 KBytes       
[  4]  15.00-16.00  sec  2.30 MBytes  19287 Kbits/sec    0    486 KBytes       
[  4]  16.00-17.00  sec  2.24 MBytes  18770 Kbits/sec    4    486 KBytes       
[  4]  17.00-18.00  sec  2.05 MBytes  17198 Kbits/sec    4    283 KBytes       
[  4]  18.00-19.00  sec  2.50 MBytes  20974 Kbits/sec    3    486 KBytes       
[  4]  19.00-20.00  sec  2.35 MBytes  19686 Kbits/sec    0    486 KBytes       
[  4]  20.00-21.00  sec  2.24 MBytes  18766 Kbits/sec    2    489 KBytes       
[  4]  21.00-22.00  sec  1.68 MBytes  14080 Kbits/sec    0    486 KBytes       
[  4]  22.00-23.00  sec  2.24 MBytes  18762 Kbits/sec    0    489 KBytes       
[  4]  23.00-24.00  sec  2.30 MBytes  19285 Kbits/sec    0    486 KBytes       
[  4]  24.00-25.00  sec  2.30 MBytes  19289 Kbits/sec    0    486 KBytes       
[  4]  25.00-26.00  sec  2.24 MBytes  18768 Kbits/sec    0    486 KBytes       
[  4]  26.00-27.00  sec  2.30 MBytes  19283 Kbits/sec    2    486 KBytes       
[  4]  27.00-28.00  sec  2.30 MBytes  19288 Kbits/sec    0    486 KBytes       
[  4]  28.00-29.00  sec  2.24 MBytes  18768 Kbits/sec   14    486 KBytes       
[  4]  29.00-30.00  sec  2.30 MBytes  19290 Kbits/sec    2    489 KBytes       
[  4]  30.00-31.00  sec  2.30 MBytes  19282 Kbits/sec    2    489 KBytes       
[  4]  31.00-32.00  sec  2.24 MBytes  18767 Kbits/sec    0    486 KBytes       
[  4]  32.00-33.00  sec  1.49 MBytes  12517 Kbits/sec    2    489 KBytes       
[  4]  33.00-34.00  sec  2.30 MBytes  19278 Kbits/sec    0    486 KBytes       
[  4]  34.00-35.00  sec  2.24 MBytes  18768 Kbits/sec    0    486 KBytes       
[  4]  35.00-36.00  sec  2.24 MBytes  18764 Kbits/sec    4    273 KBytes       
[  4]  36.00-37.00  sec  2.36 MBytes  19808 Kbits/sec    0    486 KBytes       
[  4]  37.00-38.00  sec  2.24 MBytes  18767 Kbits/sec    0    486 KBytes       
[  4]  38.00-39.00  sec  2.30 MBytes  19294 Kbits/sec    2    486 KBytes       
[  4]  39.00-40.00  sec  2.30 MBytes  19286 Kbits/sec    0    486 KBytes       
[  4]  40.00-41.00  sec  2.24 MBytes  18761 Kbits/sec   22    486 KBytes       
[  4]  41.00-42.00  sec  2.30 MBytes  19288 Kbits/sec    1    489 KBytes       
[  4]  42.00-43.00  sec  1.68 MBytes  14076 Kbits/sec    4    489 KBytes       
[  4]  43.00-44.00  sec  2.17 MBytes  18243 Kbits/sec    0    489 KBytes       
[  4]  44.00-44.57  sec  1.25 MBytes  18416 Kbits/sec    0    486 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-44.57  sec   101 MBytes  19037 Kbits/sec  567             sender
[  4]   0.00-44.57  sec  97.7 MBytes  18379 Kbits/sec                  receiver

iperf Done.
