Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 55748 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.68 MBytes  22482 Kbits/sec    4   86.3 KBytes       
[  5]   1.00-2.00   sec  2.49 MBytes  20852 Kbits/sec    0    103 KBytes       
[  5]   2.00-3.00   sec  2.24 MBytes  18766 Kbits/sec    2   89.1 KBytes       
[  5]   3.00-4.00   sec  2.24 MBytes  18766 Kbits/sec    0    106 KBytes       
[  5]   4.00-5.00   sec  2.30 MBytes  19287 Kbits/sec    3   93.3 KBytes       
[  5]   5.00-6.00   sec  2.24 MBytes  18766 Kbits/sec    2   79.2 KBytes       
[  5]   6.00-7.00   sec  2.24 MBytes  18766 Kbits/sec    0   96.2 KBytes       
[  5]   7.00-8.00   sec  2.24 MBytes  18766 Kbits/sec    2   82.0 KBytes       
[  5]   8.00-9.00   sec  2.49 MBytes  20853 Kbits/sec    0    102 KBytes       
[  5]   9.00-10.00  sec  2.24 MBytes  18765 Kbits/sec    2   87.7 KBytes       
[  5]  10.00-11.00  sec  2.24 MBytes  18766 Kbits/sec    0    105 KBytes       
[  5]  11.00-12.00  sec  2.24 MBytes  18766 Kbits/sec    3   91.9 KBytes       
[  5]  12.00-13.00  sec  2.24 MBytes  18766 Kbits/sec    2   76.4 KBytes       
[  5]  13.00-14.00  sec  2.24 MBytes  18765 Kbits/sec    0   96.2 KBytes       
[  5]  14.00-15.00  sec  2.49 MBytes  20852 Kbits/sec    2   79.2 KBytes       
[  5]  15.00-16.00  sec  2.24 MBytes  18766 Kbits/sec    0   99.0 KBytes       
[  5]  16.00-17.00  sec  2.24 MBytes  18766 Kbits/sec    2   86.3 KBytes       
[  5]  17.00-18.00  sec  2.24 MBytes  18766 Kbits/sec    0    102 KBytes       
[  5]  18.00-19.00  sec  2.24 MBytes  18766 Kbits/sec    3   89.1 KBytes       
[  5]  19.00-20.00  sec  2.24 MBytes  18766 Kbits/sec    0    106 KBytes       
[  5]  20.00-21.00  sec  2.49 MBytes  20852 Kbits/sec    2   93.3 KBytes       
[  5]  21.00-22.00  sec  2.24 MBytes  18766 Kbits/sec    2   79.2 KBytes       
[  5]  22.00-23.00  sec  2.24 MBytes  18766 Kbits/sec    0   96.2 KBytes       
[  5]  23.00-24.00  sec  2.24 MBytes  18766 Kbits/sec    3   82.0 KBytes       
[  5]  24.00-25.00  sec  2.24 MBytes  18766 Kbits/sec    0    100 KBytes       
[  5]  25.00-26.00  sec  2.24 MBytes  18766 Kbits/sec    2   87.7 KBytes       
[  5]  26.00-27.00  sec  2.49 MBytes  20852 Kbits/sec    0    103 KBytes       
[  5]  27.00-28.00  sec  2.24 MBytes  18766 Kbits/sec    2   90.5 KBytes       
[  5]  28.00-29.00  sec  2.24 MBytes  18766 Kbits/sec    1   84.8 KBytes       
[  5]  29.00-30.00  sec  2.24 MBytes  18766 Kbits/sec    0   93.3 KBytes       
[  5]  30.00-31.00  sec  2.24 MBytes  18766 Kbits/sec    1   79.2 KBytes       
[  5]  31.00-32.00  sec  2.49 MBytes  20852 Kbits/sec    0   97.6 KBytes       
[  5]  32.00-33.00  sec  2.24 MBytes  18766 Kbits/sec    2   83.4 KBytes       
[  5]  33.00-34.00  sec  2.24 MBytes  18766 Kbits/sec    0    100 KBytes       
[  5]  34.00-35.00  sec  2.24 MBytes  18766 Kbits/sec    2   86.3 KBytes       
[  5]  35.00-36.00  sec  2.24 MBytes  18766 Kbits/sec    0    105 KBytes       
[  5]  36.00-37.00  sec  2.24 MBytes  18766 Kbits/sec    1   91.9 KBytes       
[  5]  37.00-38.00  sec  2.49 MBytes  20852 Kbits/sec    2   74.9 KBytes       
[  5]  38.00-39.00  sec  2.24 MBytes  18766 Kbits/sec    0   93.3 KBytes       
[  5]  39.00-40.00  sec  2.30 MBytes  19287 Kbits/sec    1   79.2 KBytes       
[  5]  40.00-41.00  sec  2.24 MBytes  18766 Kbits/sec    0   97.6 KBytes       
[  5]  41.00-42.00  sec  2.24 MBytes  18766 Kbits/sec    2   84.8 KBytes       
[  5]  42.00-43.00  sec  2.24 MBytes  18766 Kbits/sec    0    100 KBytes       
[  5]  43.00-43.69  sec  1.74 MBytes  21175 Kbits/sec    2   79.2 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-43.69  sec   100 MBytes  19247 Kbits/sec   52             sender
[  5]   0.00-43.69  sec  99.7 MBytes  19139 Kbits/sec                  receiver

iperf Done.
