Connecting to host h3, port 5201
[  5] local 10.10.2.1 port 38914 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.08 MBytes  34237 Kbits/sec  205   93.3 KBytes       
[  5]   1.00-2.00   sec  2.05 MBytes  17200 Kbits/sec    0   93.3 KBytes       
[  5]   2.00-3.00   sec  1.99 MBytes  16679 Kbits/sec  120   84.8 KBytes       
[  5]   3.00-4.00   sec  2.49 MBytes  20853 Kbits/sec    0   84.8 KBytes       
[  5]   4.00-5.00   sec  2.49 MBytes  20853 Kbits/sec   30   80.6 KBytes       
[  5]   5.00-6.00   sec  1.86 MBytes  15635 Kbits/sec    0   80.6 KBytes       
[  5]   6.00-7.00   sec  2.49 MBytes  20853 Kbits/sec    0   80.6 KBytes       
[  5]   7.00-8.00   sec  2.61 MBytes  21897 Kbits/sec   20   59.4 KBytes       
[  5]   8.00-9.00   sec  1.86 MBytes  15636 Kbits/sec   27   74.9 KBytes       
[  5]   9.00-10.00  sec  2.49 MBytes  20853 Kbits/sec    0   87.7 KBytes       
[  5]  10.00-11.00  sec  2.49 MBytes  20852 Kbits/sec    0   74.9 KBytes       
[  5]  11.00-12.00  sec  1.99 MBytes  16679 Kbits/sec    0   87.7 KBytes       
[  5]  12.00-13.00  sec  2.49 MBytes  20854 Kbits/sec    0   77.8 KBytes       
[  5]  13.00-14.00  sec  1.86 MBytes  15636 Kbits/sec    0   77.8 KBytes       
[  5]  14.00-15.00  sec  2.49 MBytes  20853 Kbits/sec    0   77.8 KBytes       
[  5]  15.00-16.00  sec  2.49 MBytes  20853 Kbits/sec    0   80.6 KBytes       
[  5]  16.00-17.00  sec  1.93 MBytes  16157 Kbits/sec    0   80.6 KBytes       
[  5]  17.00-18.00  sec  2.49 MBytes  20854 Kbits/sec   23   58.0 KBytes       
[  5]  18.00-19.00  sec  2.61 MBytes  21885 Kbits/sec    0   65.0 KBytes       
[  5]  19.00-20.00  sec  1.86 MBytes  15643 Kbits/sec    0   82.0 KBytes       
[  5]  20.00-21.00  sec  2.61 MBytes  21897 Kbits/sec   23   58.0 KBytes       
[  5]  21.00-22.00  sec  1.86 MBytes  15636 Kbits/sec    0   90.5 KBytes       
[  5]  22.00-23.00  sec  2.55 MBytes  21375 Kbits/sec   15   77.8 KBytes       
[  5]  23.00-24.00  sec  1.86 MBytes  15636 Kbits/sec   24   62.2 KBytes       
[  5]  24.00-25.00  sec  2.73 MBytes  22940 Kbits/sec    0   72.1 KBytes       
[  5]  25.00-26.00  sec  1.86 MBytes  15636 Kbits/sec   26   5.66 KBytes       
[  5]  26.00-27.00  sec  2.55 MBytes  21375 Kbits/sec    0   74.9 KBytes       
[  5]  27.00-28.00  sec  1.99 MBytes  16678 Kbits/sec   23   72.1 KBytes       
[  5]  28.00-29.00  sec  2.67 MBytes  22420 Kbits/sec    0   62.2 KBytes       
[  5]  29.00-30.00  sec  1.86 MBytes  15635 Kbits/sec   64   86.3 KBytes       
[  5]  30.00-31.00  sec  2.61 MBytes  21897 Kbits/sec    0   86.3 KBytes       
[  5]  31.00-32.00  sec  2.61 MBytes  21896 Kbits/sec    0   86.3 KBytes       
[  5]  32.00-33.00  sec  1.93 MBytes  16158 Kbits/sec    0   86.3 KBytes       
[  5]  33.00-34.00  sec  2.55 MBytes  21374 Kbits/sec   45   73.5 KBytes       
[  5]  34.00-35.00  sec  1.93 MBytes  16157 Kbits/sec    0   73.5 KBytes       
[  5]  35.00-36.00  sec  2.05 MBytes  17200 Kbits/sec   26   59.4 KBytes       
[  5]  36.00-37.00  sec  2.55 MBytes  21376 Kbits/sec    0   59.4 KBytes       
[  5]  37.00-38.00  sec  2.49 MBytes  20853 Kbits/sec    0   59.4 KBytes       
[  5]  38.00-39.00  sec  1.86 MBytes  15635 Kbits/sec    0   55.1 KBytes       
[  5]  39.00-40.00  sec  2.49 MBytes  20852 Kbits/sec    0   55.1 KBytes       
[  5]  40.00-41.00  sec  2.49 MBytes  20854 Kbits/sec    0   55.1 KBytes       
[  5]  41.00-42.00  sec  1.86 MBytes  15635 Kbits/sec    0   59.4 KBytes       
[  5]  42.00-43.00  sec  2.49 MBytes  20853 Kbits/sec    0   69.3 KBytes       
[  5]  43.00-43.12  sec   636 KBytes  44943 Kbits/sec    0   69.3 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-43.12  sec   100 MBytes  19485 Kbits/sec  671             sender
[  5]   0.00-43.16  sec  98.4 MBytes  19127 Kbits/sec                  receiver

iperf Done.
