Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 45490 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   708 KBytes  5796 Kbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  1.98 MBytes  16607 Kbits/sec   13    350 KBytes       
[  5]   2.00-3.00   sec  1.79 MBytes  15031 Kbits/sec    0    419 KBytes       
[  5]   3.00-4.00   sec  2.39 MBytes  20047 Kbits/sec    0    454 KBytes       
[  5]   4.00-5.00   sec  2.39 MBytes  20045 Kbits/sec    0    454 KBytes       
[  5]   5.00-6.00   sec  1.79 MBytes  15031 Kbits/sec    0    454 KBytes       
[  5]   6.00-7.00   sec  2.39 MBytes  20047 Kbits/sec    0    481 KBytes       
[  5]   7.00-8.00   sec  2.57 MBytes  21547 Kbits/sec    0    542 KBytes       
[  5]   8.00-9.00   sec  2.57 MBytes  21547 Kbits/sec    3    419 KBytes       
[  5]   9.00-10.00  sec  2.27 MBytes  19039 Kbits/sec    0    533 KBytes       
[  5]  10.00-11.00  sec  1.55 MBytes  13024 Kbits/sec    2    419 KBytes       
[  5]  11.00-12.00  sec  2.39 MBytes  20046 Kbits/sec    0    463 KBytes       
[  5]  12.00-13.00  sec  2.33 MBytes  19543 Kbits/sec    0    489 KBytes       
[  5]  13.00-14.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  14.00-15.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  15.00-16.00  sec  2.33 MBytes  19543 Kbits/sec    0    524 KBytes       
[  5]  16.00-17.00  sec  2.33 MBytes  19542 Kbits/sec    2    533 KBytes       
[  5]  17.00-18.00  sec  2.57 MBytes  21551 Kbits/sec    0    498 KBytes       
[  5]  18.00-19.00  sec  2.33 MBytes  19544 Kbits/sec    0    559 KBytes       
[  5]  19.00-20.00  sec  2.21 MBytes  18539 Kbits/sec    2    446 KBytes       
[  5]  20.00-21.00  sec  2.27 MBytes  19042 Kbits/sec    0    489 KBytes       
[  5]  21.00-22.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  22.00-23.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  23.00-24.00  sec  2.33 MBytes  19544 Kbits/sec    0    507 KBytes       
[  5]  24.00-25.00  sec  2.33 MBytes  19540 Kbits/sec    0    551 KBytes       
[  5]  25.00-26.00  sec  1.73 MBytes  14528 Kbits/sec    2    446 KBytes       
[  5]  26.00-27.00  sec  2.27 MBytes  19042 Kbits/sec    0    542 KBytes       
[  5]  27.00-28.00  sec  3.05 MBytes  25563 Kbits/sec    2    411 KBytes       
[  5]  28.00-29.00  sec  1.43 MBytes  12024 Kbits/sec    0    472 KBytes       
[  5]  29.00-30.00  sec  2.33 MBytes  19541 Kbits/sec    0    489 KBytes       
[  5]  30.00-31.00  sec  2.33 MBytes  19542 Kbits/sec    0    489 KBytes       
[  5]  31.00-32.00  sec  2.33 MBytes  19545 Kbits/sec    0    489 KBytes       
[  5]  32.00-33.00  sec  2.33 MBytes  19540 Kbits/sec    0    524 KBytes       
[  5]  33.00-34.00  sec  2.33 MBytes  19542 Kbits/sec    2    472 KBytes       
[  5]  34.00-35.00  sec  2.51 MBytes  21049 Kbits/sec    0    507 KBytes       
[  5]  35.00-36.00  sec  2.33 MBytes  19542 Kbits/sec    0    568 KBytes       
[  5]  36.00-37.00  sec  2.21 MBytes  18541 Kbits/sec    2    454 KBytes       
[  5]  37.00-38.00  sec  2.27 MBytes  19042 Kbits/sec    0    489 KBytes       
[  5]  38.00-39.00  sec  2.33 MBytes  19544 Kbits/sec    0    489 KBytes       
[  5]  39.00-40.00  sec  2.33 MBytes  19540 Kbits/sec    0    489 KBytes       
[  5]  40.00-41.00  sec  2.33 MBytes  19542 Kbits/sec    0    507 KBytes       
[  5]  41.00-42.00  sec  2.33 MBytes  19542 Kbits/sec    0    559 KBytes       
[  5]  42.00-43.00  sec  2.45 MBytes  20547 Kbits/sec    2    463 KBytes       
[  5]  43.00-44.00  sec  2.33 MBytes  19542 Kbits/sec    0    551 KBytes       
[  5]  44.00-44.57  sec  1.55 MBytes  22832 Kbits/sec    0    568 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-44.57  sec   100 MBytes  18862 Kbits/sec   32             sender
[  5]   0.00-44.81  sec  98.6 MBytes  18465 Kbits/sec                  receiver

iperf Done.
