Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 46476 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.97 MBytes  24908 Kbits/sec   25   96.1 KBytes       
[  5]   1.00-2.00   sec  2.45 MBytes  20543 Kbits/sec    6   96.1 KBytes       
[  5]   2.00-3.00   sec  2.45 MBytes  20545 Kbits/sec    5   96.1 KBytes       
[  5]   3.00-4.00   sec  2.39 MBytes  20046 Kbits/sec    7   96.1 KBytes       
[  5]   4.00-5.00   sec  2.15 MBytes  18036 Kbits/sec    6   87.4 KBytes       
[  5]   5.00-6.00   sec  2.45 MBytes  20545 Kbits/sec    5   87.4 KBytes       
[  5]   6.00-7.00   sec  2.39 MBytes  20045 Kbits/sec    7   78.6 KBytes       
[  5]   7.00-8.00   sec  2.45 MBytes  20546 Kbits/sec    5   78.6 KBytes       
[  5]   8.00-9.00   sec  2.45 MBytes  20545 Kbits/sec    4   78.6 KBytes       
[  5]   9.00-10.00  sec  2.15 MBytes  18036 Kbits/sec    8   78.6 KBytes       
[  5]  10.00-11.00  sec  2.45 MBytes  20547 Kbits/sec    6   78.6 KBytes       
[  5]  11.00-12.00  sec  2.39 MBytes  20044 Kbits/sec    4   69.9 KBytes       
[  5]  12.00-13.00  sec  2.45 MBytes  20542 Kbits/sec    8   69.9 KBytes       
[  5]  13.00-14.00  sec  2.39 MBytes  20044 Kbits/sec    3    105 KBytes       
[  5]  14.00-15.00  sec  2.09 MBytes  17537 Kbits/sec    8   78.6 KBytes       
[  5]  15.00-16.00  sec  2.45 MBytes  20545 Kbits/sec    4    105 KBytes       
[  5]  16.00-17.00  sec  2.45 MBytes  20545 Kbits/sec    4    105 KBytes       
[  5]  17.00-18.00  sec  2.45 MBytes  20545 Kbits/sec    8   96.1 KBytes       
[  5]  18.00-19.00  sec  2.15 MBytes  18040 Kbits/sec    6   96.1 KBytes       
[  5]  19.00-20.00  sec  2.39 MBytes  20044 Kbits/sec    4   87.4 KBytes       
[  5]  20.00-21.00  sec  2.45 MBytes  20545 Kbits/sec    8   96.1 KBytes       
[  5]  21.00-22.00  sec  2.45 MBytes  20543 Kbits/sec    4   87.4 KBytes       
[  5]  22.00-23.00  sec  2.39 MBytes  20044 Kbits/sec    6   87.4 KBytes       
[  5]  23.00-24.00  sec  2.15 MBytes  18040 Kbits/sec    6   78.6 KBytes       
[  5]  24.00-25.00  sec  2.39 MBytes  20042 Kbits/sec    6   78.6 KBytes       
[  5]  25.00-26.00  sec  2.45 MBytes  20547 Kbits/sec    6   78.6 KBytes       
[  5]  26.00-27.00  sec  2.45 MBytes  20545 Kbits/sec    6   78.6 KBytes       
[  5]  27.00-28.00  sec  2.39 MBytes  20041 Kbits/sec    6   78.6 KBytes       
[  5]  28.00-29.00  sec  2.15 MBytes  18038 Kbits/sec    6   69.9 KBytes       
[  5]  29.00-30.00  sec  2.45 MBytes  20547 Kbits/sec    5   69.9 KBytes       
[  5]  30.00-31.00  sec  2.39 MBytes  20042 Kbits/sec    7   69.9 KBytes       
[  5]  31.00-32.00  sec  2.45 MBytes  20547 Kbits/sec    4   69.9 KBytes       
[  5]  32.00-33.00  sec  2.45 MBytes  20545 Kbits/sec    5    105 KBytes       
[  5]  33.00-34.00  sec  2.09 MBytes  17536 Kbits/sec    6   96.1 KBytes       
[  5]  34.00-35.00  sec  2.45 MBytes  20545 Kbits/sec    6   96.1 KBytes       
[  5]  35.00-36.00  sec  2.45 MBytes  20543 Kbits/sec    5   96.1 KBytes       
[  5]  36.00-37.00  sec  2.39 MBytes  20044 Kbits/sec    7   96.1 KBytes       
[  5]  37.00-38.00  sec  2.45 MBytes  20545 Kbits/sec    5   96.1 KBytes       
[  5]  38.00-39.00  sec  2.21 MBytes  18540 Kbits/sec    6   96.1 KBytes       
[  5]  39.00-40.00  sec  2.39 MBytes  20044 Kbits/sec    4   87.4 KBytes       
[  5]  40.00-41.00  sec  2.45 MBytes  20545 Kbits/sec    8   87.4 KBytes       
[  5]  41.00-42.00  sec  2.15 MBytes  18038 Kbits/sec    4   78.6 KBytes       
[  5]  42.00-42.01  sec   306 KBytes  247598 Kbits/sec    0   78.6 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-42.01  sec   100 MBytes  20023 Kbits/sec  259             sender
[  5]   0.00-42.08  sec  99.5 MBytes  19834 Kbits/sec                  receiver

iperf Done.
